Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Alabama,4219401.0,144390.0,293.0,9.0,1821.0,1294.0,10335.0,841.0,1305.0,290.0,372.0,14.0,1161.0,1580.0,3169.0,1047.0,8406.0,2676.0,6232.0,727.0,99.0,962.0,726.0,6258.0,2947.0,30.0,135.0,3656.0,593.0,01
Alaska,543072.0,22226.0,107.0,0.0,486.0,493.0,3779.0,103.0,4599.0,431.0,94.0,22.0,146.0,0.0,172.0,202.0,1420.0,1674.0,4157.0,271.0,2196.0,989.0,853.0,1071.0,13750.0,86.0,90.0,530.0,181.0,02
Arizona,4285847.0,1213990.0,722.0,428.0,8181.0,3304.0,23157.0,3016.0,6910.0,5905.0,9377.0,1726.0,6110.0,3065.0,7699.0,2284.0,26599.0,6151.0,10970.0,1652.0,101.0,2358.0,1811.0,19254.0,19494.0,85698.0,1703.0,15490.0,1987.0,04
Arkansas,2512154.0,138017.0,74.0,0.0,1189.0,937.0,5769.0,138.0,435.0,299.0,301.0,41.0,319.0,429.0,1142.0,716.0,3611.0,999.0,1872.0,25.0,1974.0,461.0,3628.0,4638.0,2505.0,18.0,225.0,1729.0,47.0,05
California,19538773.0,9835134.0,5833.0,4494.0,63914.0,74756.0,113078.0,23473.0,146085.0,21078.0,22735.0,182794.0,185347.0,44033.0,136718.0,42915.0,1010834.0,144375.0,370269.0,75973.0,71379.0,45066.0,37299.0,495824.0,753263.0,1481.0,13555.0,137976.0,39638.0,06
Colorado,3852555.0,546341.0,371.0,140.0,5294.0,3024.0,27070.0,2098.0,14779.0,5253.0,3031.0,628.0,3660.0,730.0,4112.0,1360.0,16983.0,5455.0,15966.0,1894.0,2672.0,2576.0,1908.0,18707.0,7860.0,2624.0,1221.0,7813.0,1851.0,08
Connecticut,2656735.0,348910.0,12937.0,642.0,37553.0,37306.0,12196.0,9407.0,10937.0,37159.0,4225.0,687.0,1539.0,5289.0,9591.0,6326.0,25215.0,3505.0,6240.0,2625.0,72.0,1478.0,2823.0,7615.0,7954.0,38.0,3042.0,6891.0,2367.0,09
Delaware,731885.0,54900.0,2094.0,47.0,2709.0,557.0,3598.0,1254.0,981.0,1183.0,165.0,5.0,376.0,2062.0,2003.0,1493.0,5348.0,695.0,1453.0,38.0,0.0,280.0,131.0,1125.0,2552.0,3.0,208.0,1252.0,158.0,10
District of Columbia,479313.0,39611.0,794.0,87.0,1419.0,1146.0,2648.0,429.0,1823.0,493.0,526.0,44.0,643.0,199.0,1048.0,212.0,3424.0,817.0,1159.0,35.0,56.0,277.0,42.0,1084.0,1147.0,0.0,212.0,1406.0,513.0,11
Florida,12858182.0,3493644.0,334789.0,6453.0,51865.0,87803.0,72982.0,21158.0,34395.0,24730.0,16627.0,2731.0,9342.0,16620.0,20453.0,16460.0,51955.0,11329.0,19215.0,4931.0,1491.0,10705.0,4377.0,53742.0,57395.0,74.0,10973.0,38900.0,18747.0,12
Georgia,7759510.0,675924.0,15129.0,470.0,5290.0,13101.0,26537.0,2427.0,13386.0,3258.0,7855.0,503.0,8814.0,18589.0,20206.0,9093.0,40005.0,8057.0,46610.0,3762.0,3405.0,3196.0,4961.0,40561.0,11362.0,297.0,987.0,13414.0,2880.0,13
Hawaii,936252.0,26563.0,463.0,48.0,799.0,1659.0,4665.0,213.0,1120.0,496.0,148.0,81.0,305.0,60.0,323.0,120.0,31227.0,47717.0,18298.0,391.0,5.0,2033.0,2165.0,8166.0,56424.0,38.0,114.0,437.0,361.0,15
Idaho,1283480.0,108674.0,168.0,11.0,846.0,1336.0,4744.0,315.0,2085.0,297.0,2063.0,33.0,429.0,60.0,416.0,11.0,2648.0,1809.0,1413.0,156.0,44.0,649.0,487.0,877.0,1604.0,226.0,253.0,619.0,79.0,16
