Name,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Puerto Rico,184147.0,3107078.0,14.0,65.0,735.0,559.0,352.0,15.0,12.0,0.0,0.0,0.0,46.0,0.0,0.0,41.0,0.0,0.0,0.0,1274.0,91.0,18.0,0.0,147.0,0.0,34.0,448.0,65.0,0.0,72
Alabama,4324223.0,146478.0,1020.0,1013.0,1141.0,1206.0,7841.0,583.0,277.0,715.0,132.0,2440.0,2518.0,1237.0,196.0,1121.0,1836.0,597.0,272.0,10517.0,1893.0,8739.0,20.0,7342.0,2770.0,3466.0,6459.0,364.0,416.0,01
Alaska,574744.0,23226.0,207.0,339.0,282.0,230.0,3257.0,446.0,307.0,887.0,14.0,138.0,217.0,142.0,51.0,385.0,37.0,46.0,29.0,1389.0,1333.0,3972.0,3394.0,1071.0,3019.0,16726.0,420.0,83.0,549.0,02
Arizona,4654602.0,1308293.0,796.0,2992.0,6425.0,3562.0,20884.0,5928.0,6685.0,3840.0,1198.0,3942.0,11436.0,2304.0,2687.0,2461.0,6151.0,5238.0,3376.0,31733.0,7013.0,9852.0,104.0,23423.0,4441.0,24419.0,24275.0,2540.0,9283.0,04
Arkansas,2585911.0,146666.0,166.0,908.0,683.0,678.0,4757.0,509.0,274.0,451.0,86.0,1006.0,1892.0,1038.0,228.0,562.0,1383.0,949.0,573.0,5538.0,1021.0,1654.0,1263.0,4536.0,3828.0,2578.0,2942.0,77.0,409.0,05
California,20418288.0,10486447.0,8085.0,27951.0,57613.0,80097.0,101075.0,19677.0,19426.0,35719.0,189940.0,47693.0,183471.0,53900.0,138203.0,26287.0,57481.0,54077.0,31742.0,1180602.0,143412.0,367658.0,74666.0,547165.0,83242.0,795154.0,178553.0,42771.0,65696.0,06
Colorado,4237632.0,603303.0,874.0,2993.0,5049.0,3564.0,24263.0,4407.0,2574.0,5046.0,687.0,1511.0,6792.0,1685.0,1347.0,1000.0,3909.0,3183.0,1768.0,23941.0,6342.0,14780.0,3317.0,20197.0,4808.0,8025.0,10762.0,2112.0,13030.0,08
Connecticut,2656081.0,398297.0,18132.0,2058.0,29979.0,35769.0,9649.0,33862.0,4920.0,5706.0,635.0,7518.0,13012.0,6513.0,1454.0,5201.0,6099.0,5723.0,2671.0,29471.0,3680.0,6709.0,84.0,7630.0,3237.0,8724.0,11374.0,2543.0,1303.0,09
District of Columbia,518706.0,56512.0,801.0,536.0,1841.0,1815.0,2671.0,528.0,569.0,604.0,218.0,354.0,1256.0,536.0,155.0,467.0,159.0,97.0,279.0,5209.0,937.0,1350.0,0.0,1019.0,173.0,1825.0,2172.0,579.0,6532.0,11
Delaware,774288.0,60881.0,3054.0,1373.0,1728.0,561.0,2172.0,789.0,232.0,570.0,18.0,2304.0,2274.0,1310.0,332.0,846.0,2410.0,2054.0,845.0,7582.0,343.0,1550.0,23.0,1206.0,359.0,2628.0,1749.0,86.0,198.0,10
Florida,13669654.0,4078350.0,403839.0,16875.0,46939.0,102147.0,62533.0,22476.0,15598.0,17576.0,2325.0,19967.0,25756.0,18266.0,3340.0,10179.0,11691.0,7015.0,12571.0,72433.0,11833.0,19924.0,1185.0,59824.0,16978.0,63991.0,54386.0,21725.0,3962.0,12
Georgia,8220677.0,763901.0,15469.0,5542.0,4600.0,13757.0,23218.0,2616.0,6052.0,5521.0,269.0,24167.0,30319.0,13469.0,1979.0,7302.0,14735.0,10175.0,6375.0,47036.0,8828.0,46266.0,2807.0,47037.0,8211.0,12700.0,18768.0,3299.0,21061.0,13
Hawaii,986478.0,27328.0,162.0,231.0,1029.0,1630.0,3174.0,537.0,209.0,612.0,94.0,64.0,695.0,23.0,40.0,83.0,255.0,175.0,59.0,33285.0,45415.0,18910.0,40.0,10604.0,3717.0,58455.0,660.0,493.0,180.0,15
