Name,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Alabama,4315133.0,147816.0,928.0,878.0,1149.0,1055.0,8205.0,520.0,330.0,692.0,164.0,2594.0,2604.0,1463.0,136.0,1127.0,1666.0,606.0,334.0,9554.0,1707.0,8124.0,202.0,6946.0,2456.0,3702.0,6049.0,382.0,474.0,01
Alaska,572111.0,24078.0,150.0,249.0,272.0,204.0,3137.0,546.0,168.0,861.0,14.0,159.0,223.0,25.0,71.0,423.0,41.0,45.0,49.0,1422.0,1421.0,3747.0,3431.0,1139.0,2716.0,16460.0,516.0,259.0,489.0,02
Arizona,4601982.0,1285656.0,844.0,2949.0,6676.0,3941.0,21506.0,5815.0,7590.0,4297.0,1000.0,3926.0,10526.0,2227.0,2213.0,2669.0,6149.0,4189.0,2983.0,30222.0,6737.0,9942.0,147.0,23300.0,4568.0,23815.0,23052.0,2401.0,8797.0,04
Arkansas,2579923.0,142819.0,161.0,1069.0,746.0,736.0,5020.0,481.0,258.0,402.0,69.0,1201.0,1725.0,1171.0,314.0,560.0,1448.0,832.0,474.0,5024.0,867.0,1453.0,1523.0,4484.0,3609.0,2725.0,2670.0,31.0,374.0,05
California,20243965.0,10407915.0,7495.0,28250.0,59023.0,79593.0,105818.0,19749.0,19917.0,34014.0,192374.0,45654.0,172352.0,51265.0,134758.0,25430.0,53600.0,49906.0,29976.0,1144815.0,140697.0,370062.0,76036.0,542298.0,84791.0,792790.0,173504.0,42121.0,66941.0,06
Colorado,4172003.0,597078.0,737.0,3252.0,5290.0,3796.0,23894.0,4287.0,2472.0,4804.0,558.0,1278.0,6446.0,1438.0,1293.0,887.0,3670.0,2540.0,1552.0,23904.0,6672.0,15095.0,3131.0,19074.0,4645.0,7577.0,9990.0,1874.0,13264.0,08
Connecticut,2649470.0,391576.0,17378.0,2240.0,31617.0,36058.0,10330.0,34092.0,5226.0,5794.0,621.0,7684.0,13057.0,6536.0,1597.0,4708.0,6007.0,5498.0,2996.0,28159.0,3545.0,6608.0,66.0,7001.0,3762.0,8660.0,11704.0,2799.0,1849.0,09
Delaware,767378.0,60311.0,2376.0,1435.0,1831.0,649.0,2267.0,832.0,298.0,513.0,76.0,2296.0,2141.0,1337.0,215.0,496.0,2235.0,1479.0,814.0,7470.0,440.0,1683.0,26.0,1276.0,302.0,2298.0,1521.0,90.0,220.0,10
District of Columbia,509474.0,54247.0,728.0,507.0,2058.0,1674.0,2543.0,501.0,554.0,563.0,163.0,379.0,1403.0,460.0,73.0,426.0,124.0,112.0,203.0,5147.0,849.0,1359.0,0.0,774.0,218.0,2067.0,2127.0,610.0,6697.0,11
Florida,13512487.0,3936129.0,393505.0,17810.0,48499.0,91460.0,63476.0,23269.0,15421.0,17246.0,2183.0,20349.0,23194.0,17141.0,2643.0,9818.0,9996.0,6348.0,11217.0,69191.0,11880.0,20936.0,1177.0,59034.0,15866.0,64670.0,56143.0,21528.0,3620.0,12
Georgia,8143482.0,748955.0,16848.0,5516.0,4760.0,13272.0,23356.0,2909.0,6705.0,5238.0,365.0,22985.0,28160.0,13073.0,1971.0,7885.0,13104.0,8618.0,6413.0,45705.0,9152.0,45221.0,2996.0,44745.0,8851.0,12966.0,17333.0,2617.0,20991.0,13
Hawaii,982489.0,25854.0,116.0,336.0,915.0,1962.0,3650.0,535.0,207.0,682.0,58.0,59.0,583.0,25.0,36.0,110.0,285.0,122.0,4.0,31901.0,45204.0,18116.0,32.0,10108.0,3610.0,60202.0,628.0,542.0,132.0,15
