Name,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Minnesota,4571735.0,200863.0,1572.0,3005.0,1921.0,3376.0,19475.0,2655.0,4198.0,4653.0,88.0,1854.0,8024.0,2886.0,1049.0,2013.0,6285.0,4257.0,3197.0,23981.0,3885.0,5333.0,62881.0,23106.0,9660.0,7331.0,13635.0,1107.0,77738.0,27.0
Mississippi,2691455.0,68037.0,345.0,653.0,764.0,708.0,2515.0,328.0,26.0,131.0,0.0,445.0,1619.0,453.0,1010.0,442.0,736.0,286.0,305.0,3700.0,927.0,1295.0,36.0,5725.0,302.0,2843.0,2920.0,175.0,295.0,28.0
Missouri,5367705.0,145831.0,1098.0,10553.0,3395.0,2583.0,19451.0,1718.0,12585.0,2776.0,356.0,3172.0,5472.0,4789.0,924.0,1365.0,4393.0,1983.0,2234.0,21988.0,2618.0,6803.0,1403.0,13451.0,2218.0,7618.0,12539.0,871.0,6356.0,29.0
Montana,939716.0,14762.0,59.0,752.0,528.0,323.0,6418.0,191.0,106.0,177.0,22.0,0.0,88.0,43.0,4.0,26.0,42.0,0.0,0.0,1378.0,526.0,502.0,18.0,284.0,301.0,1093.0,425.0,314.0,39.0,30.0
Nebraska,1574067.0,131151.0,174.0,583.0,616.0,1029.0,4337.0,600.0,978.0,1460.0,32.0,221.0,1973.0,369.0,130.0,324.0,1604.0,869.0,652.0,4887.0,1317.0,1570.0,225.0,6961.0,1644.0,1744.0,5387.0,73.0,3505.0,31.0
Nevada,1907502.0,583289.0,422.0,1782.0,4260.0,3871.0,7987.0,1533.0,3190.0,3621.0,3096.0,826.0,4054.0,1643.0,2177.0,1246.0,954.0,870.0,754.0,29334.0,6041.0,10927.0,127.0,9546.0,6507.0,79356.0,4977.0,2425.0,11726.0,32.0
New Hampshire,1178986.0,27776.0,652.0,687.0,1518.0,3288.0,3166.0,1127.0,1237.0,931.0,164.0,842.0,1853.0,555.0,202.0,326.0,2075.0,1459.0,573.0,5611.0,615.0,1432.0,5.0,2374.0,1467.0,1824.0,3127.0,463.0,430.0,33.0
New Jersey,5769902.0,1356058.0,49122.0,9413.0,64378.0,76644.0,19850.0,57644.0,7838.0,21862.0,4598.0,77005.0,75014.0,29038.0,16295.0,24466.0,29948.0,25921.0,16799.0,119432.0,9847.0,76921.0,15.0,17621.0,3033.0,77800.0,66919.0,15134.0,4275.0,34.0
New Mexico,1281412.0,535918.0,100.0,681.0,1103.0,842.0,5869.0,566.0,197.0,330.0,106.0,622.0,1139.0,620.0,206.0,454.0,483.0,166.0,257.0,5067.0,1382.0,1774.0,48.0,3929.0,1102.0,3830.0,3871.0,509.0,112.0,35.0
New York,12830019.0,2769603.0,149371.0,163024.0,157840.0,42236.0,57406.0,84143.0,31842.0,38890.0,7115.0,19523.0,61924.0,73935.0,34263.0,120004.0,9858.0,10092.0,29587.0,578865.0,34300.0,97855.0,282.0,23222.0,11932.0,75807.0,102898.0,66872.0,13961.0,36.0
North Carolina,8446044.0,716899.0,5840.0,4107.0,6863.0,8421.0,21130.0,3588.0,3798.0,3753.0,382.0,13312.0,19215.0,6112.0,2373.0,2719.0,13164.0,8649.0,4888.0,36635.0,6959.0,15342.0,10304.0,23205.0,7675.0,14188.0,23405.0,1798.0,7355.0,37.0
North Dakota,656823.0,12684.0,184.0,454.0,116.0,236.0,6258.0,543.0,1010.0,376.0,0.0,164.0,532.0,98.0,44.0,165.0,74.0,42.0,7.0,1511.0,499.0,460.0,27.0,567.0,149.0,1473.0,1411.0,55.0,1908.0,38.0
Ohio,10174971.0,250520.0,1994.0,51220.0,13187.0,4076.0,45729.0,6858.0,11046.0,14096.0,555.0,8518.0,19994.0,5102.0,4698.0,3557.0,10264.0,6865.0,3719.0,46268.0,9538.0,10772.0,563.0,13277.0,4880.0,11388.0,44747.0,2220.0,22240.0,39.0
Oklahoma,3277292.0,259532.0,543.0,1348.0,926.0,1416.0,7516.0,513.0,366.0,563.0,146.0,1322.0,2302.0,2340.0,254.0,1660.0,1125.0,1024.0,2677.0,10231.0,1766.0,4275.0,3435.0,17206.0,2448.0,4017.0,5652.0,691.0,836.0,40.0
