,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,500.0,685.0,530.0,651.0,388.0,599.0,554.0,259.0,83.0,107.0,107.0
Alabama,4090.0,3889.0,3656.0,3807.0,4560.0,4549.0,4786.0,382.0,364.0,329.0,329.0
Arkansas,2053.0,1769.0,1729.0,2393.0,2704.0,2440.0,2471.0,31.0,77.0,102.0,102.0
Arizona,12464.0,14039.0,15490.0,15158.0,16865.0,18710.0,20113.0,2401.0,2540.0,2511.0,2511.0
California,128659.0,131702.0,137976.0,144973.0,153635.0,160243.0,168482.0,42121.0,42771.0,42624.0,42624.0
Colorado,7609.0,7825.0,7813.0,8991.0,9692.0,10210.0,10219.0,1874.0,2112.0,2096.0,2096.0
Connecticut,5648.0,5735.0,6891.0,8394.0,9271.0,10102.0,10835.0,2799.0,2543.0,2337.0,2337.0
District of Columbia,1262.0,1288.0,1406.0,1451.0,1599.0,1711.0,1852.0,610.0,579.0,553.0,553.0
Delaware,1854.0,1722.0,1252.0,1254.0,1628.0,1645.0,1792.0,90.0,86.0,166.0,166.0
Florida,40076.0,37285.0,38900.0,42879.0,42761.0,48486.0,53724.0,21528.0,21725.0,21875.0,21875.0
Georgia,11555.0,11578.0,13414.0,14116.0,15343.0,15654.0,17052.0,2617.0,3299.0,3943.0,3943.0
Hawaii,443.0,432.0,437.0,534.0,446.0,584.0,472.0,542.0,493.0,558.0,558.0
Iowa,2433.0,3236.0,3359.0,4210.0,4593.0,5873.0,5346.0,393.0,358.0,437.0,437.0
Idaho,816.0,457.0,619.0,750.0,1270.0,1312.0,2155.0,133.0,142.0,136.0,136.0
Illinois,43625.0,45793.0,49893.0,51497.0,56524.0,59626.0,61541.0,5247.0,5570.0,5445.0,5445.0
Indiana,5922.0,6882.0,7719.0,8492.0,9017.0,9623.0,9986.0,899.0,940.0,1030.0,1030.0
Kansas,3134.0,3247.0,3809.0,4270.0,4607.0,4858.0,5282.0,381.0,308.0,254.0,254.0
Kentucky,3535.0,4130.0,4906.0,5707.0,6715.0,7241.0,7863.0,411.0,372.0,299.0,299.0
Louisiana,6982.0,6254.0,5908.0,6043.0,6739.0,7175.0,8141.0,461.0,471.0,421.0,421.0
Massachusetts,23370.0,23620.0,25665.0,27480.0,29436.0,33466.0,33345.0,6828.0,6996.0,7086.0,7086.0
Maryland,12347.0,12629.0,13415.0,13543.0,14847.0,14492.0,15002.0,6541.0,6667.0,5734.0,5734.0
Maine,892.0,1005.0,1133.0,1262.0,1255.0,2017.0,2243.0,151.0,137.0,121.0,121.0
Michigan,100060.0,96596.0,101171.0,106506.0,111944.0,118004.0,122318.0,2265.0,2003.0,2191.0,2191.0
Minnesota,7921.0,8806.0,8570.0,8805.0,9732.0,10703.0,11473.0,1201.0,1129.0,1107.0,1107.0
Missouri,6934.0,7367.0,8663.0,9603.0,9909.0,9903.0,10160.0,1169.0,1076.0,871.0,871.0
Mississippi,2150.0,2407.0,2055.0,1975.0,2140.0,1994.0,2092.0,122.0,171.0,175.0,175.0
Montana,500.0,470.0,385.0,358.0,415.0,315.0,382.0,235.0,370.0,314.0,314.0
North Carolina,15026.0,15061.0,15155.0,16633.0,16371.0,17992.0,19041.0,1460.0,1637.0,1798.0,1798.0
North Dakota,428.0,506.0,649.0,574.0,797.0,848.0,862.0,49.0,47.0,55.0,55.0
