,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,6.0,7.0,22.0,18.0,3.0,3.0,3.0,159.0,138.0,45.0,45.0
Alabama,18.0,14.0,14.0,24.0,50.0,34.0,101.0,2594.0,2440.0,2354.0,2354.0
Arkansas,17.0,13.0,41.0,32.0,100.0,78.0,76.0,1201.0,1006.0,1336.0,1336.0
Arizona,1472.0,1922.0,1726.0,1555.0,1385.0,1447.0,914.0,3926.0,3942.0,3874.0,3874.0
California,171558.0,175917.0,182794.0,188449.0,191928.0,195501.0,194290.0,45654.0,47693.0,47651.0,47651.0
Colorado,570.0,612.0,628.0,575.0,583.0,653.0,526.0,1278.0,1511.0,1835.0,1835.0
Connecticut,760.0,811.0,687.0,634.0,731.0,773.0,587.0,7684.0,7518.0,7293.0,7293.0
District of Columbia,74.0,76.0,44.0,53.0,93.0,85.0,126.0,379.0,354.0,437.0,437.0
Delaware,29.0,27.0,5.0,69.0,62.0,58.0,74.0,2296.0,2304.0,2299.0,2299.0
Florida,2466.0,2490.0,2731.0,2307.0,2268.0,2254.0,1975.0,20349.0,19967.0,19550.0,19550.0
Georgia,593.0,519.0,503.0,641.0,449.0,343.0,455.0,22985.0,24167.0,24171.0,24171.0
Hawaii,33.0,77.0,81.0,89.0,82.0,72.0,17.0,59.0,64.0,42.0,42.0
Iowa,41.0,45.0,75.0,93.0,122.0,76.0,128.0,608.0,934.0,1231.0,1231.0
Idaho,30.0,33.0,33.0,34.0,34.0,10.0,19.0,72.0,107.0,72.0,72.0
Illinois,2653.0,2425.0,2469.0,2436.0,2794.0,2475.0,2202.0,44506.0,46315.0,46826.0,46826.0
Indiana,193.0,202.0,172.0,142.0,122.0,138.0,142.0,3412.0,3416.0,3477.0,3477.0
Kansas,73.0,88.0,70.0,96.0,113.0,91.0,67.0,820.0,1110.0,1409.0,1409.0
Kentucky,66.0,111.0,137.0,147.0,145.0,153.0,119.0,2300.0,2592.0,3185.0,3185.0
Louisiana,82.0,25.0,13.0,51.0,63.0,130.0,104.0,1253.0,1189.0,1066.0,1066.0
Massachusetts,6028.0,6762.0,7804.0,7787.0,8104.0,7834.0,7385.0,10806.0,10324.0,11971.0,11971.0
Maryland,1271.0,1451.0,1704.0,1898.0,1634.0,1745.0,1883.0,10628.0,10810.0,10967.0,10967.0
Maine,138.0,112.0,165.0,169.0,99.0,54.0,77.0,165.0,220.0,125.0,125.0
Michigan,2853.0,3049.0,2809.0,2598.0,2284.0,2238.0,2406.0,9433.0,8912.0,9166.0,9166.0
Minnesota,147.0,145.0,155.0,75.0,32.0,37.0,40.0,2352.0,1922.0,1854.0,1854.0
Missouri,209.0,149.0,179.0,205.0,187.0,141.0,185.0,2758.0,2796.0,3172.0,3172.0
Mississippi,0.0,26.0,30.0,27.0,26.0,26.0,0.0,1167.0,732.0,445.0,445.0
Montana,12.0,11.0,11.0,9.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
North Carolina,313.0,276.0,243.0,258.0,299.0,195.0,212.0,11427.0,12942.0,13312.0,13312.0
North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,69.0,164.0,164.0
Nebraska,40.0,20.0,16.0,15.0,5.0,0.0,0.0,368.0,179.0,221.0,221.0
New Hampshire,218.0,209.0,219.0,229.0,210.0,153.0,150.0,844.0,1135.0,842.0,842.0
New Jersey,6189.0,5547.0,5483.0,5815.0,5351.0,5423.0,5422.0,76782.0,81103.0,77005.0,77005.0
New Mexico,67.0,74.0,83.0,89.0,47.0,91.0,93.0,363.0,424.0,622.0,622.0
Nevada,2463.0,2534.0,2655.0,2321.0,2411.0,2742.0,3058.0,817.0,865.0,826.0,826.0
New York,7215.0,6676.0,6728.0,6672.0,6595.0,7112.0,7184.0,20098.0,19759.0,19523.0,19523.0
Ohio,435.0,477.0,563.0,572.0,482.0,448.0,438.0,9237.0,8535.0,8518.0,8518.0
Oklahoma,59.0,71.0,87.0,60.0,86.0,110.0,99.0,980.0,1254.0,1322.0,1322.0
Oregon,294.0,367.0,415.0,421.0,475.0,478.0,450.0,787.0,785.0,880.0,880.0
Pennsylvania,1968.0,1880.0,2131.0,1991.0,1979.0,1979.0,1743.0,18878.0,17345.0,19647.0,19647.0
Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0
Rhode Island,1609.0,1609.0,1301.0,1220.0,1048.0,1057.0,784.0,668.0,505.0,713.0,713.0
South Carolina,115.0,123.0,118.0,134.0,112.0,72.0,60.0,4552.0,4358.0,4066.0,4066.0
South Dakota,19.0,29.0,26.0,76.0,65.0,62.0,22.0,53.0,74.0,54.0,54.0
Tennessee,225.0,169.0,161.0,209.0,250.0,294.0,289.0,5122.0,5903.0,5203.0,5203.0
Texas,1246.0,1451.0,1266.0,1293.0,1439.0,1520.0,1493.0,29733.0,31864.0,33454.0,33454.0
Utah,602.0,554.0,708.0,703.0,609.0,654.0,744.0,229.0,380.0,456.0,456.0
Virginia,1285.0,1498.0,1569.0,1620.0,1414.0,1220.0,1212.0,9930.0,10085.0,9603.0,9603.0
Vermont,26.0,26.0,30.0,69.0,43.0,51.0,48.0,91.0,131.0,133.0,133.0
Washington,932.0,1149.0,1326.0,1226.0,1170.0,1571.0,1384.0,3420.0,3518.0,3737.0,3737.0
Wisconsin,251.0,216.0,220.0,268.0,257.0,328.0,347.0,1351.0,1811.0,1790.0,1790.0
West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,477.0,388.0,388.0
Wyoming,24.0,13.0,0.0,0.0,0.0,0.0,0.0,28.0,14.0,8.0,8.0
,216987.0,222087.0,230450.0,235474.0,237840.0,242013.0,239137.0,395007.0,405998.0,408391.0,408391.0
