,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,1032.0,1311.0,1420.0,1392.0,1634.0,1777.0,1641.0,41.0,37.0,10.0,10.0
Alabama,7766.0,8244.0,8406.0,8703.0,9461.0,9765.0,9619.0,1666.0,1836.0,2174.0,2174.0
Arkansas,2913.0,2969.0,3611.0,3238.0,4125.0,4708.0,5332.0,1448.0,1383.0,1765.0,1765.0
Arizona,22529.0,24895.0,26599.0,27297.0,28552.0,28507.0,29733.0,6149.0,6151.0,7371.0,7371.0
California,931599.0,990241.0,1010834.0,1036982.0,1058231.0,1083029.0,1116569.0,53600.0,57481.0,62613.0,62613.0
Colorado,16346.0,18228.0,16983.0,18153.0,19020.0,20937.0,22831.0,3670.0,3909.0,4103.0,4103.0
Connecticut,22230.0,23818.0,25215.0,25220.0,27002.0,28762.0,29268.0,6007.0,6099.0,5889.0,5889.0
District of Columbia,2575.0,3308.0,3424.0,3697.0,4306.0,5164.0,5217.0,124.0,159.0,155.0,155.0
Delaware,4532.0,5365.0,5348.0,5754.0,6110.0,6291.0,6460.0,2235.0,2410.0,2427.0,2427.0
Florida,46882.0,50312.0,51955.0,55442.0,59400.0,61328.0,65163.0,9996.0,11691.0,12315.0,12315.0
Georgia,33838.0,36743.0,40005.0,41117.0,42582.0,45319.0,47088.0,13104.0,14735.0,16036.0,16036.0
Hawaii,28127.0,30656.0,31227.0,32054.0,31537.0,31146.0,32758.0,285.0,255.0,160.0,160.0
Iowa,6455.0,7289.0,7767.0,8670.0,9858.0,10233.0,11438.0,2239.0,2475.0,2456.0,2456.0
Idaho,2011.0,2239.0,2648.0,2897.0,3281.0,3514.0,3897.0,214.0,215.0,167.0,167.0
Illinois,79010.0,83993.0,87227.0,91276.0,94966.0,96996.0,101460.0,20939.0,21207.0,21015.0,21015.0
Indiana,16233.0,18884.0,18965.0,21535.0,23119.0,24702.0,26029.0,3482.0,4364.0,4296.0,4296.0
Kansas,8188.0,9776.0,9893.0,9921.0,10714.0,10952.0,11134.0,3407.0,3672.0,3710.0,3710.0
Kentucky,6367.0,6586.0,6943.0,7879.0,8260.0,8658.0,8769.0,1781.0,1704.0,1809.0,1809.0
Louisiana,7404.0,8319.0,8792.0,9100.0,9471.0,9543.0,10111.0,867.0,999.0,842.0,842.0
Massachusetts,91535.0,98735.0,100536.0,103854.0,106715.0,113975.0,121445.0,8185.0,8658.0,8906.0,8906.0
Maryland,52402.0,57039.0,57908.0,60388.0,61951.0,64574.0,66019.0,8115.0,8251.0,8787.0,8787.0
Maine,2322.0,2354.0,2423.0,2616.0,2521.0,2559.0,2691.0,162.0,247.0,196.0,196.0
Michigan,35168.0,37528.0,39141.0,38222.0,39273.0,40979.0,44822.0,10762.0,12669.0,14282.0,14282.0
Minnesota,15915.0,17695.0,19178.0,20594.0,21193.0,22266.0,22715.0,5678.0,6532.0,6285.0,6285.0
Missouri,13630.0,16056.0,16882.0,18053.0,18808.0,19260.0,19979.0,4348.0,4290.0,4393.0,4393.0
Mississippi,3774.0,3749.0,4070.0,4311.0,4165.0,4002.0,3884.0,306.0,449.0,736.0,736.0
Montana,869.0,796.0,864.0,894.0,1000.0,1241.0,1357.0,50.0,50.0,42.0,42.0
North Carolina,22244.0,25412.0,26854.0,28529.0,30083.0,31303.0,33051.0,9336.0,11516.0,13164.0,13164.0
North Dakota,1104.0,1169.0,1325.0,1256.0,1122.0,1305.0,1380.0,178.0,94.0,74.0,74.0
Nebraska,3597.0,4131.0,3753.0,3758.0,4348.0,4133.0,4654.0,1413.0,1387.0,1604.0,1604.0
New Hampshire,4557.0,5014.0,4497.0,4476.0,4876.0,5124.0,5450.0,1686.0,2068.0,2075.0,2075.0
New Jersey,97974.0,106299.0,108739.0,109094.0,111151.0,114071.0,114616.0,29429.0,31104.0,29948.0,29948.0
New Mexico,4579.0,4585.0,4501.0,4918.0,4273.0,4564.0,5062.0,664.0,571.0,483.0,483.0
Nevada,19706.0,24657.0,25072.0,26781.0,27518.0,27945.0,27833.0,626.0,964.0,954.0,954.0
New York,451926.0,483722.0,493477.0,510620.0,523389.0,537382.0,553291.0,9109.0,9518.0,9858.0,9858.0
Ohio,31938.0,34226.0,35798.0,39014.0,41089.0,42390.0,44367.0,8165.0,9688.0,10264.0,10264.0
Oklahoma,6903.0,7587.0,8154.0,7896.0,8535.0,8745.0,8810.0,1116.0,896.0,1125.0,1125.0
Oregon,21044.0,22780.0,23521.0,25362.0,26410.0,27401.0,29082.0,2159.0,2475.0,3354.0,3354.0
Pennsylvania,57719.0,64437.0,65795.0,68193.0,72904.0,78148.0,83896.0,11362.0,12124.0,13314.0,13314.0
Puerto Rico,664.0,790.0,820.0,930.0,1263.0,1336.0,1215.0,0.0,0.0,34.0,34.0
Rhode Island,4474.0,5877.0,5867.0,5847.0,6073.0,6586.0,7081.0,402.0,511.0,651.0,651.0
South Carolina,7803.0,7891.0,8397.0,8035.0,9812.0,9928.0,10434.0,1072.0,1348.0,1472.0,1472.0
South Dakota,689.0,926.0,947.0,1147.0,1327.0,1545.0,1412.0,152.0,235.0,347.0,347.0
Tennessee,12027.0,12731.0,12631.0,12874.0,13150.0,13212.0,13494.0,3831.0,4015.0,4412.0,4412.0
Texas,118296.0,128374.0,131824.0,136212.0,140871.0,147130.0,155324.0,39041.0,44226.0,49983.0,49983.0
Utah,10073.0,10844.0,10606.0,10721.0,11451.0,11994.0,11824.0,1002.0,1362.0,1805.0,1805.0
Virginia,42875.0,48231.0,47491.0,47491.0,49986.0,52749.0,55100.0,19630.0,20356.0,21634.0,21634.0
Vermont,1312.0,1443.0,1530.0,1520.0,1467.0,1360.0,1452.0,39.0,13.0,75.0,75.0
Washington,67841.0,74079.0,77720.0,81129.0,81650.0,83804.0,89549.0,8687.0,9340.0,10181.0,10181.0
Wisconsin,11789.0,12260.0,13524.0,14397.0,14822.0,15191.0,15684.0,3313.0,3876.0,3293.0,3293.0
West Virginia,1733.0,1894.0,2137.0,2418.0,2469.0,2662.0,2830.0,400.0,639.0,736.0,736.0
Wyoming,536.0,612.0,578.0,571.0,735.0,926.0,891.0,23.0,29.0,36.0,36.0
,2465055.0,2657099.0,2723822.0,2812448.0,2898029.0,2991121.0,3105211.0,321695.0,350283.0,373816.0,373816.0
