,2009,2015,Net Change,Percentage
English only,85638354.0,88146613.0,2508259.0,2.928896788464664
Spanish,10327712.0,12197802.0,1870090.0,18.107495638917896
Chinese,946358.0,1205335.0,258977.0,27.36564809511834
French Creole,579251.0,744211.0,164960.0,28.47815541103943
Arabic,297990.0,400750.0,102760.0,34.48437867042518
Hindi,229400.0,303350.0,73950.0,32.236268526591104
Vietnamese,283602.0,344409.0,60807.0,21.440963039752894
Tagalog,325234.0,379629.0,54395.0,16.72488116248609
Urdu,161077.0,213568.0,52491.0,32.58752025428832
Gujarati,165531.0,210777.0,45246.0,27.33385287347989
Korean,393931.0,423591.0,29660.0,7.529237353749768
Russian,460716.0,478027.0,17311.0,3.757412375519843
Persian,101666.0,115144.0,13478.0,13.25713611236795
Mon-Khmer,63307.0,73115.0,9808.0,15.492757514966748
Thai,42881.0,48518.0,5637.0,13.145682236888131
Yiddish,146135.0,150866.0,4731.0,3.237417456461491
Hmong,15834.0,18364.0,2530.0,15.978274598964253
Laotian,31593.0,32842.0,1249.0,3.953407400373501
Navajo,1027.0,1093.0,66.0,6.426484907497566
Japanese,113048.0,112198.0,-850.0,-0.7518930012030288
Armenian,30223.0,29251.0,-972.0,-3.2160937034708668
Serbo-Croatian,99372.0,98166.0,-1206.0,-1.2136215432918729
Hebrew,137650.0,133037.0,-4613.0,-3.3512531783508903
Hungarian,49360.0,43065.0,-6295.0,-12.753241491085898
Greek,210400.0,189083.0,-21317.0,-10.131653992395437
Polish,301025.0,277282.0,-23743.0,-7.887384768706918
Portuguese,542173.0,513866.0,-28307.0,-5.221027236693822
German,392055.0,346546.0,-45509.0,-11.607810128680924
Italian,569495.0,458089.0,-111406.0,-19.562243742262883
