,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,533451.0,534077.0,543072.0,550553.0,557877.0,564319.0,568544.0,572111.0,574744.0,573373.0,573373.0
Alabama,4137110.0,4194045.0,4219401.0,4241429.0,4261611.0,4282398.0,4300026.0,4315133.0,4324223.0,4335573.0,4335573.0
Arkansas,2472084.0,2498432.0,2512154.0,2527232.0,2540974.0,2556997.0,2566546.0,2579923.0,2585911.0,2593351.0,2593351.0
Arizona,4200786.0,4215749.0,4285847.0,4352680.0,4416957.0,4477793.0,4536673.0,4601982.0,4654602.0,4740041.0,4740041.0
California,19409485.0,19429309.0,19538773.0,19651209.0,19782598.0,19992432.0,20142054.0,20243965.0,20418288.0,20487071.0,20487071.0
Colorado,3743328.0,3783688.0,3852555.0,3912773.0,3976875.0,4039626.0,4106326.0,4172003.0,4237632.0,4314327.0,4314327.0
Connecticut,2634487.0,2652446.0,2656735.0,2656382.0,2658925.0,2663586.0,2655586.0,2649470.0,2656081.0,2643514.0,2643514.0
District of Columbia,474092.0,471292.0,479313.0,486147.0,490944.0,497255.0,503735.0,509474.0,518706.0,528179.0,528179.0
Delaware,712317.0,724189.0,731885.0,739923.0,745175.0,751689.0,758393.0,767378.0,774288.0,778595.0,778595.0
Florida,12663966.0,12786704.0,12858182.0,12951107.0,13070061.0,13202757.0,13346251.0,13512487.0,13669654.0,13810811.0,13810811.0
Georgia,7713250.0,7666663.0,7759510.0,7844652.0,7921115.0,7997956.0,8069207.0,8143482.0,8220677.0,8301923.0,8301923.0
Hawaii,902493.0,929303.0,936252.0,947196.0,960182.0,973529.0,983565.0,982489.0,986478.0,983502.0,983502.0
Iowa,2603189.0,2625703.0,2635601.0,2645884.0,2657355.0,2668657.0,2681327.0,2691369.0,2698198.0,2701004.0,2701004.0
Idaho,1235789.0,1263694.0,1283480.0,1298241.0,1312576.0,1325642.0,1342470.0,1359822.0,1377849.0,1404451.0,1404451.0
Illinois,9360559.0,9315206.0,9324625.0,9329971.0,9342837.0,9347280.0,9332252.0,9328769.0,9312735.0,9274377.0,9274377.0
Indiana,5464666.0,5514295.0,5544084.0,5566819.0,5588460.0,5614514.0,5636420.0,5652387.0,5672618.0,5686192.0,5686192.0
Kansas,2323882.0,2335053.0,2347524.0,2359914.0,2371428.0,2381572.0,2387898.0,2393985.0,2396123.0,2397762.0,2397762.0
Kentucky,3796142.0,3822840.0,3845240.0,3862744.0,3879829.0,3899799.0,3910830.0,3923603.0,3929849.0,3937646.0,3937646.0
Louisiana,3759163.0,3764360.0,3809055.0,3850712.0,3887593.0,3920006.0,3949236.0,3976236.0,3991873.0,4001758.0,4001758.0
Massachusetts,4877834.0,4823127.0,4831189.0,4848772.0,4871680.0,4892060.0,4912310.0,4928575.0,4940967.0,4941922.0,4941922.0
Maryland,4474685.0,4483607.0,4501607.0,4524903.0,4553640.0,4587997.0,4603986.0,4608065.0,4613252.0,4599111.0,4599111.0
Maine,1153324.0,1167970.0,1170826.0,1172336.0,1175657.0,1177435.0,1179938.0,1183034.0,1186749.0,1188798.0,1188798.0
Michigan,8559468.0,8507947.0,8482171.0,8463248.0,8457581.0,8464978.0,8465054.0,8470560.0,8476289.0,8486297.0,8486297.0
Minnesota,4367990.0,4386970.0,4409729.0,4432890.0,4460951.0,4485551.0,4510229.0,4534228.0,4557386.0,4571735.0,4571735.0
Missouri,5194805.0,5209395.0,5231415.0,5256422.0,5279336.0,5306006.0,5326382.0,5347120.0,5358633.0,5367705.0,5367705.0
Mississippi,2608866.0,2629581.0,2639754.0,2652230.0,2663097.0,2675205.0,2680601.0,2687564.0,2686128.0,2691455.0,2691455.0
Montana,855145.0,871548.0,879470.0,887231.0,896207.0,905535.0,914850.0,924904.0,930797.0,939716.0,939716.0
North Carolina,7602910.0,7750904.0,7862319.0,7955851.0,8042027.0,8122842.0,8202268.0,8284363.0,8369406.0,8446044.0,8446044.0
North Dakota,566444.0,584946.0,590804.0,599068.0,610268.0,622371.0,635160.0,646489.0,654693.0,656823.0,656823.0
Nebraska,1491234.0,1507705.0,1515814.0,1520665.0,1530738.0,1540977.0,1551006.0,1557625.0,1566040.0,1574067.0,1574067.0
New Hampshire,1138930.0,1141853.0,1146311.0,1149608.0,1150977.0,1155256.0,1159579.0,1163411.0,1168119.0,1178986.0,1178986.0
New Jersey,5857324.0,5830812.0,5811515.0,5811132.0,5804858.0,5809850.0,5816691.0,5814062.0,5821459.0,5769902.0,5769902.0
New Mexico,1166804.0,1197144.0,1208435.0,1222929.0,1232242.0,1238084.0,1250461.0,1258377.0,1269225.0,1281412.0,1281412.0
Nevada,1705003.0,1755755.0,1776667.0,1785994.0,1799141.0,1814226.0,1832907.0,1853693.0,1881829.0,1907502.0,1907502.0
New York,13009868.0,12788323.0,12798327.0,12808501.0,12835426.0,12867700.0,12882449.0,12885786.0,12924635.0,12830019.0,12830019.0
Ohio,10111373.0,10104160.0,10106940.0,10111577.0,10124056.0,10136912.0,10150246.0,10158601.0,10163386.0,10174971.0,10174971.0
Oklahoma,3068856.0,3117161.0,3143824.0,3166489.0,3190076.0,3212248.0,3231650.0,3249160.0,3264424.0,3277292.0,3277292.0
Oregon,3000413.0,3021536.0,3046487.0,3071950.0,3096638.0,3121336.0,3148786.0,3184816.0,3214945.0,3257469.0,3257469.0
Pennsylvania,10669840.0,10710239.0,10734015.0,10754193.0,10769224.0,10773301.0,10777528.0,10762972.0,10750803.0,10721460.0,10721460.0
