,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,177.0,159.0,107.0,154.0,120.0,210.0,181.0,150.0,207.0,238.0,238.0
Alabama,438.0,568.0,293.0,338.0,333.0,353.0,698.0,928.0,1020.0,1163.0,1163.0
Arkansas,56.0,97.0,74.0,74.0,93.0,115.0,119.0,161.0,166.0,174.0,174.0
Arizona,349.0,509.0,722.0,635.0,756.0,922.0,769.0,844.0,796.0,779.0,779.0
California,5847.0,5974.0,5833.0,5901.0,6718.0,7176.0,7071.0,7495.0,8085.0,7583.0,7583.0
Colorado,638.0,466.0,371.0,285.0,382.0,631.0,723.0,737.0,874.0,1008.0,1008.0
Connecticut,10899.0,12307.0,12937.0,13811.0,14081.0,14087.0,15723.0,17378.0,18132.0,17870.0,17870.0
District of Columbia,755.0,811.0,794.0,613.0,440.0,439.0,567.0,728.0,801.0,716.0,716.0
Delaware,1387.0,1869.0,2094.0,1985.0,2562.0,2696.0,2354.0,2376.0,3054.0,3117.0,3117.0
Florida,295535.0,320427.0,334789.0,349480.0,361103.0,373552.0,386481.0,393505.0,403839.0,415809.0,415809.0
Georgia,12978.0,15087.0,15129.0,16055.0,17446.0,17040.0,17084.0,16848.0,15469.0,15332.0,15332.0
Hawaii,312.0,532.0,463.0,396.0,348.0,311.0,113.0,116.0,162.0,210.0,210.0
Iowa,136.0,122.0,107.0,38.0,31.0,120.0,294.0,304.0,515.0,890.0,890.0
Idaho,160.0,174.0,168.0,49.0,64.0,73.0,53.0,53.0,33.0,21.0,21.0
Illinois,4792.0,4745.0,4820.0,5261.0,4727.0,4500.0,4442.0,4267.0,4848.0,5218.0,5218.0
Indiana,624.0,854.0,1250.0,1138.0,1438.0,1656.0,1492.0,1757.0,1910.0,1439.0,1439.0
Kansas,378.0,402.0,452.0,518.0,337.0,276.0,304.0,361.0,384.0,371.0,371.0
Kentucky,454.0,479.0,462.0,419.0,465.0,404.0,560.0,724.0,1082.0,935.0,935.0
Louisiana,6589.0,6118.0,6041.0,6132.0,6706.0,7238.0,7209.0,7364.0,7237.0,5694.0,5694.0
Massachusetts,49609.0,53724.0,57224.0,61693.0,64549.0,68262.0,71301.0,73777.0,77930.0,81696.0,81696.0
Maryland,10175.0,10241.0,10264.0,11633.0,11932.0,12340.0,13113.0,14167.0,14874.0,14401.0,14401.0
Maine,133.0,95.0,73.0,122.0,123.0,92.0,294.0,283.0,320.0,364.0,364.0
Michigan,901.0,1072.0,949.0,1400.0,1600.0,1818.0,1590.0,1528.0,1634.0,1396.0,1396.0
Minnesota,452.0,528.0,692.0,980.0,1088.0,1341.0,1493.0,992.0,1336.0,1572.0,1572.0
Missouri,636.0,736.0,732.0,891.0,734.0,916.0,776.0,830.0,762.0,1098.0,1098.0
Mississippi,198.0,343.0,309.0,325.0,194.0,200.0,75.0,105.0,120.0,345.0,345.0
Montana,0.0,0.0,27.0,47.0,57.0,75.0,88.0,65.0,54.0,59.0,59.0
North Carolina,2336.0,2728.0,2194.0,2563.0,2655.0,2771.0,3312.0,3982.0,4756.0,5840.0,5840.0
North Dakota,83.0,25.0,32.0,47.0,40.0,50.0,50.0,119.0,107.0,184.0,184.0
Nebraska,117.0,201.0,146.0,155.0,154.0,77.0,151.0,176.0,186.0,174.0,174.0
New Hampshire,367.0,444.0,604.0,784.0,794.0,853.0,836.0,731.0,668.0,652.0,652.0
New Jersey,39544.0,41172.0,44712.0,43850.0,44092.0,43051.0,45065.0,46110.0,48073.0,49122.0,49122.0
New Mexico,63.0,38.0,23.0,42.0,75.0,39.0,56.0,108.0,64.0,100.0,100.0
Nevada,265.0,341.0,416.0,431.0,543.0,567.0,531.0,493.0,535.0,422.0,422.0
New York,134946.0,137936.0,147293.0,149509.0,153455.0,157863.0,157133.0,158313.0,156539.0,149371.0,149371.0
Ohio,2077.0,2436.0,2098.0,2010.0,1800.0,2017.0,1752.0,1921.0,1730.0,1994.0,1994.0
Oklahoma,189.0,215.0,204.0,247.0,339.0,344.0,437.0,631.0,605.0,543.0,543.0
Oregon,421.0,453.0,502.0,424.0,524.0,614.0,395.0,612.0,609.0,584.0,584.0
Pennsylvania,11107.0,13435.0,14092.0,12853.0,14996.0,17263.0,16861.0,18592.0,18461.0,18327.0,18327.0
Puerto Rico,117.0,163.0,110.0,61.0,43.0,43.0,0.0,14.0,14.0,107.0,107.0
Rhode Island,5243.0,5692.0,6055.0,6143.0,6321.0,6840.0,7185.0,7523.0,8375.0,8806.0,8806.0
South Carolina,540.0,611.0,629.0,644.0,510.0,717.0,998.0,1039.0,1060.0,1059.0,1059.0
South Dakota,0.0,0.0,0.0,6.0,9.0,8.0,9.0,22.0,41.0,55.0,55.0
Tennessee,1087.0,1017.0,1241.0,1795.0,1710.0,1575.0,1728.0,2143.0,1875.0,1930.0,1930.0
Texas,4054.0,4263.0,4798.0,5299.0,6027.0,6640.0,7372.0,7410.0,7418.0,7833.0,7833.0
Utah,250.0,310.0,277.0,405.0,407.0,387.0,300.0,367.0,257.0,255.0,255.0
Virginia,4423.0,4960.0,5211.0,5118.0,5796.0,6188.0,6177.0,6250.0,5781.0,5442.0,5442.0
Vermont,11.0,17.0,20.0,19.0,19.0,53.0,79.0,102.0,121.0,132.0,132.0
Washington,657.0,833.0,679.0,729.0,767.0,781.0,934.0,1085.0,1232.0,1333.0,1333.0
Wisconsin,387.0,322.0,263.0,187.0,254.0,214.0,224.0,340.0,440.0,493.0,493.0
West Virginia,18.0,0.0,10.0,7.0,8.0,185.0,215.0,280.0,228.0,265.0,265.0
Wyoming,0.0,0.0,0.0,0.0,3.0,2.0,3.0,62.0,79.0,37.0,37.0
,612910.0,656051.0,688785.0,713701.0,739768.0,765985.0,786770.0,806268.0,824898.0,834558.0,834558.0
