,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,3689.0,4050.0,3779.0,3790.0,3662.0,3445.0,3185.0,3137.0,3257.0,3229.0,3229.0
Alabama,10230.0,10017.0,10335.0,10069.0,10038.0,9895.0,9073.0,8205.0,7841.0,7781.0,7781.0
Arkansas,5997.0,5401.0,5769.0,6042.0,5488.0,5442.0,5268.0,5020.0,4757.0,4186.0,4186.0
Arizona,22953.0,22990.0,23157.0,22839.0,23063.0,22413.0,22354.0,21506.0,20884.0,20110.0,20110.0
California,118367.0,114575.0,113078.0,114127.0,110575.0,107118.0,107874.0,105818.0,101075.0,99129.0,99129.0
Colorado,28699.0,27415.0,27070.0,26689.0,25675.0,25211.0,25102.0,23894.0,24263.0,23951.0,23951.0
Connecticut,11254.0,11907.0,12196.0,12066.0,11533.0,10769.0,10743.0,10330.0,9649.0,9173.0,9173.0
District of Columbia,2304.0,2425.0,2648.0,2933.0,2623.0,2772.0,2713.0,2543.0,2671.0,2691.0,2691.0
Delaware,3160.0,3356.0,3598.0,3361.0,3191.0,2748.0,2381.0,2267.0,2172.0,1899.0,1899.0
Florida,73568.0,72261.0,72982.0,71438.0,69475.0,67584.0,64955.0,63476.0,62533.0,61523.0,61523.0
Georgia,27015.0,25291.0,26537.0,26136.0,25968.0,25206.0,23843.0,23356.0,23218.0,22015.0,22015.0
Hawaii,4099.0,4423.0,4665.0,4716.0,4615.0,4431.0,3782.0,3650.0,3174.0,3053.0,3053.0
Iowa,13073.0,12803.0,12434.0,12652.0,12482.0,12428.0,12492.0,12159.0,11483.0,10706.0,10706.0
Idaho,4707.0,5045.0,4744.0,4789.0,4483.0,4428.0,4121.0,4509.0,4348.0,3900.0,3900.0
Illinois,52520.0,49662.0,47876.0,47381.0,45782.0,44282.0,42272.0,40067.0,38065.0,35792.0,35792.0
Indiana,35090.0,35711.0,36229.0,36229.0,35409.0,34368.0,33698.0,32069.0,30446.0,30677.0,30677.0
Kansas,13988.0,13835.0,13448.0,13513.0,13095.0,12639.0,11420.0,10934.0,10599.0,10406.0,10406.0
Kentucky,13497.0,12991.0,13010.0,12547.0,13016.0,12705.0,13457.0,13606.0,13752.0,13845.0,13845.0
Louisiana,5955.0,5448.0,5457.0,5553.0,5412.0,5320.0,5188.0,5048.0,4947.0,4734.0,4734.0
Massachusetts,17132.0,17292.0,17727.0,18660.0,17515.0,17518.0,17773.0,16915.0,15938.0,15202.0,15202.0
Maryland,21159.0,21126.0,20355.0,20252.0,18284.0,18078.0,16922.0,17470.0,16126.0,15956.0,15956.0
Maine,4056.0,3732.0,3590.0,3957.0,3417.0,3375.0,3415.0,3321.0,2959.0,2846.0,2846.0
Michigan,44425.0,42366.0,42415.0,40841.0,39503.0,37316.0,36132.0,34579.0,33685.0,32315.0,32315.0
Minnesota,26271.0,25342.0,25106.0,25356.0,24277.0,23258.0,22315.0,20872.0,19525.0,19475.0,19475.0
Missouri,23139.0,22976.0,23299.0,23025.0,22909.0,22191.0,21596.0,19927.0,19680.0,19451.0,19451.0
Mississippi,3253.0,3116.0,2898.0,3086.0,3143.0,3060.0,3269.0,3116.0,2986.0,2515.0,2515.0
Montana,8310.0,8682.0,8276.0,7860.0,7122.0,6363.0,6399.0,6493.0,6420.0,6418.0,6418.0
North Carolina,22648.0,23401.0,23884.0,24275.0,23535.0,22652.0,22114.0,21704.0,21493.0,21130.0,21130.0
North Dakota,9841.0,9798.0,9361.0,9167.0,8541.0,8168.0,7672.0,7109.0,6401.0,6258.0,6258.0
Nebraska,6233.0,6532.0,6225.0,5913.0,5690.0,5000.0,4672.0,4546.0,4484.0,4337.0,4337.0
New Hampshire,3817.0,3388.0,3393.0,3583.0,3920.0,4132.0,3910.0,3705.0,3625.0,3166.0,3166.0
New Jersey,31047.0,29812.0,29601.0,28532.0,27412.0,26172.0,24232.0,22659.0,21016.0,19850.0,19850.0
New Mexico,7329.0,7167.0,7234.0,7600.0,7580.0,7292.0,7528.0,7159.0,6507.0,5869.0,5869.0
Nevada,9077.0,8860.0,8367.0,7943.0,7998.0,8174.0,7848.0,8068.0,8375.0,7987.0,7987.0
New York,72488.0,69731.0,68441.0,68372.0,65194.0,64420.0,60817.0,58797.0,58604.0,57406.0,57406.0
Ohio,57337.0,57217.0,58187.0,56274.0,54215.0,51687.0,49702.0,47901.0,46910.0,45729.0,45729.0
Oklahoma,10585.0,10677.0,10476.0,11276.0,10492.0,9790.0,9234.0,8804.0,8105.0,7516.0,7516.0
Oregon,17555.0,17039.0,16225.0,16241.0,15185.0,14176.0,14451.0,14439.0,14473.0,14548.0,14548.0
Pennsylvania,57776.0,56724.0,54173.0,53609.0,51345.0,48433.0,46385.0,45578.0,44182.0,43885.0,43885.0
Puerto Rico,356.0,365.0,369.0,407.0,389.0,403.0,428.0,438.0,352.0,278.0,278.0
Rhode Island,1921.0,1887.0,1930.0,1606.0,1633.0,1773.0,1730.0,1604.0,1967.0,2037.0,2037.0
South Carolina,12288.0,12302.0,12673.0,12807.0,12662.0,12230.0,12140.0,11395.0,11542.0,12138.0,12138.0
