,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,75.0,105.0,103.0,111.0,140.0,128.0,145.0,546.0,446.0,405.0,405.0
Alabama,1003.0,967.0,841.0,878.0,918.0,901.0,670.0,520.0,583.0,544.0,544.0
Arkansas,241.0,133.0,138.0,167.0,144.0,141.0,188.0,481.0,509.0,637.0,637.0
Arizona,2628.0,2770.0,3016.0,3105.0,3043.0,3146.0,3162.0,5815.0,5928.0,5970.0,5970.0
California,24310.0,23809.0,23473.0,23405.0,22932.0,23294.0,24694.0,19749.0,19677.0,19932.0,19932.0
Colorado,2610.0,1964.0,2098.0,2130.0,1910.0,1898.0,2053.0,4287.0,4407.0,4202.0,4202.0
Connecticut,9210.0,9552.0,9407.0,8794.0,8670.0,8843.0,8840.0,34092.0,33862.0,33306.0,33306.0
District of Columbia,372.0,411.0,429.0,544.0,662.0,805.0,687.0,501.0,528.0,518.0,518.0
Delaware,1055.0,1257.0,1254.0,1244.0,1288.0,1197.0,1027.0,832.0,789.0,719.0,719.0
Florida,22217.0,21803.0,21158.0,21407.0,20862.0,21083.0,20150.0,23269.0,22476.0,22643.0,22643.0
Georgia,2706.0,2484.0,2427.0,2572.0,2765.0,2814.0,2663.0,2909.0,2616.0,2514.0,2514.0
Hawaii,345.0,323.0,213.0,236.0,192.0,204.0,134.0,535.0,537.0,452.0,452.0
Iowa,497.0,394.0,463.0,468.0,562.0,540.0,555.0,453.0,514.0,549.0,549.0
Idaho,374.0,359.0,315.0,334.0,245.0,143.0,117.0,229.0,269.0,261.0,261.0
Illinois,38335.0,36371.0,34835.0,33322.0,33302.0,32100.0,31451.0,179651.0,179243.0,175937.0,175937.0
Indiana,4292.0,4407.0,3951.0,4258.0,4391.0,3764.0,4031.0,4052.0,4095.0,3891.0,3891.0
Kansas,412.0,397.0,316.0,361.0,351.0,332.0,345.0,478.0,383.0,308.0,308.0
Kentucky,1003.0,959.0,859.0,648.0,802.0,677.0,752.0,574.0,640.0,633.0,633.0
Louisiana,1037.0,759.0,506.0,513.0,540.0,788.0,932.0,603.0,505.0,455.0,455.0
Massachusetts,25666.0,24700.0,24440.0,24145.0,23991.0,23503.0,23689.0,16411.0,16762.0,15998.0,15998.0
Maryland,10011.0,10142.0,10206.0,9646.0,9848.0,9820.0,9908.0,4272.0,4326.0,4341.0,4341.0
Maine,838.0,774.0,691.0,628.0,710.0,682.0,605.0,524.0,654.0,642.0,642.0
Michigan,9010.0,8711.0,8497.0,8469.0,7887.0,8250.0,7906.0,19594.0,19209.0,19000.0,19000.0
Minnesota,1128.0,1175.0,1263.0,1132.0,1142.0,1080.0,957.0,2526.0,2561.0,2655.0,2655.0
Missouri,1801.0,1767.0,1838.0,1879.0,1474.0,1323.0,1222.0,1422.0,1580.0,1718.0,1718.0
Mississippi,346.0,321.0,177.0,184.0,229.0,226.0,193.0,324.0,326.0,328.0,328.0
Montana,262.0,158.0,122.0,166.0,160.0,112.0,132.0,204.0,222.0,191.0,191.0
North Carolina,6025.0,5762.0,5413.0,5645.0,5234.0,5896.0,5421.0,3641.0,3610.0,3588.0,3588.0
North Dakota,24.0,45.0,39.0,51.0,96.0,72.0,60.0,300.0,384.0,543.0,543.0
Nebraska,290.0,324.0,256.0,249.0,301.0,302.0,280.0,575.0,596.0,600.0,600.0
New Hampshire,2599.0,2756.0,2447.0,2774.0,2693.0,2744.0,2342.0,1210.0,1253.0,1127.0,1127.0
New Jersey,22833.0,21265.0,21434.0,21345.0,20843.0,21876.0,22329.0,60025.0,59136.0,57644.0,57644.0
New Mexico,608.0,645.0,506.0,403.0,297.0,545.0,575.0,484.0,474.0,566.0,566.0
Nevada,2022.0,2053.0,1958.0,1940.0,2236.0,2096.0,2060.0,2132.0,1889.0,1533.0,1533.0
New York,79759.0,74378.0,72363.0,72857.0,71233.0,67069.0,67005.0,87778.0,86153.0,84143.0,84143.0
Ohio,11908.0,11751.0,11072.0,10664.0,10122.0,9683.0,9580.0,7837.0,7086.0,6858.0,6858.0
Oklahoma,552.0,551.0,715.0,791.0,698.0,662.0,682.0,688.0,516.0,513.0,513.0
Oregon,900.0,815.0,906.0,840.0,850.0,848.0,953.0,1247.0,1273.0,1297.0,1297.0
Pennsylvania,15284.0,14783.0,14518.0,14378.0,14970.0,14214.0,14370.0,20094.0,18972.0,18553.0,18553.0
Puerto Rico,21.0,20.0,14.0,14.0,55.0,51.0,52.0,15.0,15.0,15.0,15.0
Rhode Island,1671.0,1586.0,1670.0,1821.0,1976.0,1670.0,1704.0,2034.0,1624.0,1484.0,1484.0
South Carolina,2676.0,2707.0,2673.0,2319.0,2252.0,2200.0,2065.0,1485.0,1617.0,1693.0,1693.0
South Dakota,81.0,60.0,59.0,74.0,48.0,31.0,33.0,54.0,63.0,75.0,75.0
Tennessee,823.0,972.0,901.0,988.0,898.0,892.0,833.0,1335.0,1175.0,1242.0,1242.0
Texas,6727.0,6099.0,6024.0,6189.0,6615.0,6208.0,6400.0,8880.0,8945.0,8543.0,8543.0
Utah,1289.0,1115.0,1115.0,1053.0,1012.0,1032.0,1087.0,822.0,959.0,840.0,840.0
Virginia,7246.0,7548.0,7287.0,7411.0,7150.0,6971.0,6383.0,3540.0,3540.0,3890.0,3890.0
Vermont,190.0,206.0,172.0,156.0,189.0,184.0,198.0,701.0,612.0,592.0,592.0
Washington,2748.0,3135.0,2931.0,2877.0,3015.0,2877.0,2582.0,4412.0,4490.0,4821.0,4821.0
Wisconsin,2771.0,2949.0,2957.0,2664.0,2372.0,2185.0,2036.0,6182.0,6274.0,6216.0,6216.0
West Virginia,414.0,459.0,378.0,402.0,405.0,383.0,384.0,491.0,381.0,331.0,331.0
Wyoming,441.0,397.0,306.0,278.0,267.0,146.0,97.0,43.0,35.0,0.0,0.0
,331686.0,319353.0,311150.0,308929.0,304987.0,298631.0,296719.0,540858.0,534719.0,525456.0,525456.0
