,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,0.0,0.0,0.0,0.0,123.0,143.0,128.0,25.0,142.0,193.0,193.0
Alabama,1248.0,1206.0,1580.0,2425.0,2630.0,2867.0,2713.0,1463.0,1237.0,1864.0,1864.0
Arkansas,558.0,360.0,429.0,595.0,917.0,1104.0,1112.0,1171.0,1038.0,985.0,985.0
Arizona,3313.0,3148.0,3065.0,4238.0,3824.0,3936.0,3965.0,2227.0,2304.0,2776.0,2776.0
California,39874.0,42086.0,44033.0,44019.0,44917.0,44645.0,46351.0,51265.0,53900.0,55208.0,55208.0
Colorado,602.0,737.0,730.0,849.0,762.0,899.0,1020.0,1438.0,1685.0,1487.0,1487.0
Connecticut,5095.0,5293.0,5289.0,5882.0,5647.0,5248.0,6383.0,6536.0,6513.0,6846.0,6846.0
District of Columbia,185.0,266.0,199.0,273.0,311.0,330.0,358.0,460.0,536.0,550.0,550.0
Delaware,1538.0,1976.0,2062.0,2020.0,2091.0,2258.0,2241.0,1337.0,1310.0,824.0,824.0
Florida,13512.0,16483.0,16620.0,18206.0,19530.0,19310.0,19180.0,17141.0,18266.0,18124.0,18124.0
Georgia,14976.0,15909.0,18589.0,18580.0,19656.0,20524.0,22207.0,13073.0,13469.0,14380.0,14380.0
Hawaii,15.0,42.0,60.0,55.0,57.0,44.0,19.0,25.0,23.0,34.0,34.0
Iowa,342.0,368.0,575.0,557.0,532.0,711.0,792.0,763.0,662.0,1072.0,1072.0
Idaho,30.0,124.0,60.0,59.0,99.0,142.0,78.0,242.0,275.0,283.0,283.0
Illinois,33595.0,37809.0,39058.0,41457.0,41596.0,42759.0,43284.0,46633.0,48405.0,51749.0,51749.0
Indiana,2515.0,3158.0,3702.0,3565.0,4007.0,3911.0,3729.0,4280.0,3661.0,3504.0,3504.0
Kansas,1158.0,1039.0,919.0,644.0,575.0,729.0,799.0,1518.0,1732.0,1637.0,1637.0
Kentucky,1226.0,994.0,1107.0,1142.0,1266.0,1742.0,2219.0,1543.0,1655.0,1552.0,1552.0
Louisiana,871.0,843.0,889.0,838.0,1079.0,1251.0,921.0,1915.0,2458.0,2054.0,2054.0
Massachusetts,7517.0,7937.0,8616.0,9577.0,8926.0,9422.0,10267.0,7283.0,7528.0,7777.0,7777.0
Maryland,8807.0,9524.0,9294.0,9392.0,9631.0,9838.0,10669.0,18671.0,20664.0,20218.0,20218.0
Maine,147.0,148.0,112.0,118.0,123.0,107.0,163.0,207.0,163.0,216.0,216.0
Michigan,8527.0,8809.0,8777.0,9146.0,9355.0,9845.0,9236.0,12794.0,13057.0,13915.0,13915.0
Minnesota,1295.0,1454.0,1440.0,1916.0,1894.0,2400.0,2692.0,2735.0,2981.0,2886.0,2886.0
Missouri,1342.0,1704.0,2042.0,1941.0,1813.0,2186.0,2709.0,4089.0,4856.0,4789.0,4789.0
Mississippi,893.0,988.0,1126.0,1303.0,1566.0,1454.0,1164.0,497.0,467.0,453.0,453.0
Montana,22.0,18.0,22.0,5.0,8.0,0.0,0.0,14.0,17.0,43.0,43.0
