,2009,2015,Net Change,Percentage
English only,28631816.0,30720059.0,2088243.0,7.293435386704078
Spanish,7232030.0,8320544.0,1088514.0,15.051292652270524
Vietnamese,195329.0,254706.0,59377.0,30.39845593844232
Chinese,144732.0,189332.0,44600.0,30.81557637564602
Hindi,50159.0,76689.0,26530.0,52.891804063079405
Tagalog,69614.0,94773.0,25159.0,36.14071882092683
Arabic,62278.0,83338.0,21060.0,33.816114839911364
Urdu,51394.0,71902.0,20508.0,39.9034906798459
Korean,60880.0,73174.0,12294.0,20.19382391590013
Portuguese,20068.0,30058.0,9990.0,49.78074546541758
Gujarati,28810.0,37501.0,8691.0,30.1666088163832
Persian,25677.0,33655.0,7978.0,31.0706079370643
Russian,21776.0,28327.0,6551.0,30.083578251285818
French Creole,11398.0,15529.0,4131.0,36.24320056150202
Mon-Khmer,10577.0,12380.0,1803.0,17.04642148057105
Hebrew,6451.0,7438.0,987.0,15.29995349558208
Hungarian,3172.0,3974.0,802.0,25.283732660781844
Thai,13020.0,13679.0,659.0,5.061443932411675
Armenian,1430.0,1867.0,437.0,30.55944055944056
Hmong,2343.0,2637.0,294.0,12.548015364916774
Japanese,23223.0,23431.0,208.0,0.8956637815958316
Navajo,63952.0,64053.0,101.0,0.15793094821115836
Polish,11068.0,10971.0,-97.0,-0.8764004336826888
Serbo-Croatian,9344.0,9228.0,-116.0,-1.2414383561643836
Yiddish,772.0,593.0,-179.0,-23.186528497409327
Greek,9962.0,8958.0,-1004.0,-10.078297530616343
Laotian,17985.0,16837.0,-1148.0,-6.38309702529886
Italian,20779.0,19257.0,-1522.0,-7.324702824967515
German,103534.0,96014.0,-7520.0,-7.263314466745224
