,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,150.0,182.0,181.0,162.0,241.0,257.0,267.0,489.0,549.0,467.0,467.0
Alabama,325.0,510.0,593.0,471.0,410.0,471.0,336.0,474.0,416.0,492.0,492.0
Arkansas,240.0,269.0,47.0,34.0,25.0,10.0,12.0,374.0,409.0,106.0,106.0
Arizona,1385.0,1692.0,1987.0,2361.0,2705.0,2722.0,2402.0,8797.0,9283.0,9507.0,9507.0
California,39519.0,38607.0,39638.0,40750.0,41311.0,40919.0,41414.0,66941.0,65696.0,62883.0,62883.0
Colorado,1961.0,1674.0,1851.0,1867.0,1650.0,2022.0,1763.0,13264.0,13030.0,13764.0,13764.0
Connecticut,2378.0,2379.0,2367.0,2634.0,2762.0,2567.0,2682.0,1849.0,1303.0,1295.0,1295.0
District of Columbia,387.0,419.0,513.0,559.0,597.0,652.0,648.0,6697.0,6532.0,6671.0,6671.0
Delaware,152.0,146.0,158.0,174.0,122.0,93.0,105.0,220.0,198.0,211.0,211.0
Florida,18743.0,19687.0,18747.0,19458.0,20002.0,20661.0,21073.0,3620.0,3962.0,4360.0,4360.0
Georgia,2899.0,3122.0,2880.0,2824.0,2794.0,2909.0,2992.0,20991.0,21061.0,21622.0,21622.0
Hawaii,187.0,287.0,361.0,360.0,290.0,320.0,433.0,132.0,180.0,223.0,223.0
Iowa,180.0,279.0,200.0,305.0,268.0,405.0,308.0,2519.0,2263.0,2482.0,2482.0
Idaho,103.0,103.0,79.0,5.0,16.0,32.0,45.0,162.0,164.0,166.0,166.0
Illinois,5898.0,5770.0,6579.0,6325.0,6666.0,6420.0,6099.0,21091.0,19475.0,19595.0,19595.0
Indiana,971.0,1014.0,1111.0,1233.0,1231.0,1113.0,1184.0,1711.0,2554.0,2617.0,2617.0
Kansas,343.0,358.0,436.0,298.0,439.0,333.0,422.0,2755.0,3380.0,3604.0,3604.0
Kentucky,232.0,235.0,135.0,211.0,347.0,372.0,375.0,3547.0,4197.0,4376.0,4376.0
Louisiana,92.0,68.0,162.0,273.0,364.0,438.0,485.0,653.0,691.0,786.0,786.0
Massachusetts,6806.0,6842.0,7678.0,7658.0,7348.0,6713.0,7108.0,9789.0,10669.0,11128.0,11128.0
Maryland,7479.0,6365.0,5690.0,5740.0,6092.0,5937.0,6191.0,26353.0,26598.0,30888.0,30888.0
Maine,182.0,206.0,186.0,178.0,146.0,189.0,138.0,2268.0,2437.0,2462.0,2462.0
Michigan,2615.0,2388.0,2539.0,2772.0,2629.0,2471.0,2424.0,30547.0,32050.0,33265.0,33265.0
Minnesota,1612.0,1546.0,1208.0,1093.0,1119.0,1125.0,1045.0,61821.0,69509.0,77738.0,77738.0
Missouri,871.0,848.0,1008.0,997.0,1203.0,1113.0,1202.0,6243.0,5868.0,6356.0,6356.0
Mississippi,58.0,51.0,54.0,49.0,39.0,32.0,139.0,461.0,449.0,295.0,295.0
Montana,144.0,143.0,92.0,94.0,176.0,134.0,210.0,28.0,46.0,39.0,39.0
North Carolina,1762.0,1839.0,1823.0,1679.0,1583.0,1396.0,1427.0,7475.0,8404.0,7355.0,7355.0
North Dakota,39.0,39.0,38.0,39.0,38.0,78.0,52.0,1267.0,1353.0,1908.0,1908.0
Nebraska,135.0,113.0,130.0,213.0,154.0,107.0,128.0,2992.0,3304.0,3505.0,3505.0
New Hampshire,514.0,440.0,344.0,432.0,438.0,310.0,482.0,493.0,159.0,430.0,430.0
New Jersey,16647.0,17050.0,15415.0,15542.0,15800.0,14558.0,14180.0,3849.0,4196.0,4275.0,4275.0
New Mexico,500.0,557.0,568.0,631.0,523.0,350.0,500.0,231.0,184.0,112.0,112.0
Nevada,1985.0,1896.0,1977.0,2200.0,2565.0,2768.0,2592.0,10063.0,10534.0,11726.0,11726.0
New York,69971.0,69654.0,67370.0,67461.0,66835.0,66516.0,67067.0,12107.0,13037.0,13961.0,13961.0
Ohio,3197.0,2869.0,2827.0,2965.0,2838.0,2892.0,2591.0,19588.0,20536.0,22240.0,22240.0
Oklahoma,491.0,491.0,458.0,492.0,489.0,635.0,660.0,719.0,737.0,836.0,836.0
Oregon,1198.0,1144.0,1061.0,1072.0,1112.0,1019.0,877.0,6046.0,6798.0,7596.0,7596.0
Pennsylvania,6946.0,6238.0,6231.0,6354.0,6272.0,6424.0,6670.0,5208.0,5257.0,6138.0,6138.0
Puerto Rico,0.0,65.0,68.0,72.0,90.0,94.0,69.0,0.0,0.0,0.0,0.0
Rhode Island,402.0,445.0,396.0,392.0,390.0,329.0,345.0,210.0,249.0,211.0,211.0
South Carolina,1232.0,792.0,981.0,780.0,697.0,738.0,842.0,976.0,970.0,1199.0,1199.0
South Dakota,30.0,36.0,67.0,87.0,27.0,38.0,30.0,1904.0,1896.0,2281.0,2281.0
Tennessee,802.0,998.0,840.0,1036.0,1042.0,854.0,737.0,5428.0,6039.0,6401.0,6401.0
Texas,5236.0,5189.0,5097.0,5373.0,5633.0,5817.0,5966.0,27364.0,29839.0,31951.0,31951.0
Utah,142.0,162.0,252.0,241.0,241.0,319.0,287.0,2249.0,2502.0,2746.0,2746.0
Virginia,1292.0,1332.0,1397.0,1358.0,1353.0,1635.0,1565.0,32890.0,37476.0,37621.0,37621.0
Vermont,96.0,119.0,122.0,140.0,125.0,84.0,78.0,758.0,796.0,684.0,684.0
Washington,2347.0,1955.0,2127.0,2241.0,2336.0,2635.0,2792.0,31893.0,32340.0,35008.0,35008.0
Wisconsin,842.0,776.0,794.0,1016.0,1077.0,905.0,836.0,2083.0,2353.0,2611.0,2611.0
West Virginia,149.0,186.0,137.0,153.0,158.0,154.0,92.0,313.0,280.0,358.0,358.0
Wyoming,29.0,39.0,37.0,33.0,29.0,9.0,18.0,82.0,86.0,61.0,61.0
,211896.0,209614.0,207037.0,210887.0,212837.0,211094.0,212385.0,469984.0,492294.0,518612.0,518612.0
