,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,930.0,1502.0,2196.0,2693.0,3107.0,3631.0,3598.0,1421.0,1333.0,1195.0,1195.0
Alabama,37.0,37.0,99.0,160.0,208.0,213.0,286.0,1707.0,1893.0,1873.0,1873.0
Arkansas,1739.0,2391.0,1974.0,1854.0,1584.0,1280.0,1436.0,867.0,1021.0,1119.0,1119.0
Arizona,36.0,39.0,101.0,170.0,234.0,186.0,253.0,6737.0,7013.0,7144.0,7144.0
California,63284.0,70088.0,71379.0,74633.0,76789.0,75628.0,74530.0,140697.0,143412.0,141461.0,141461.0
Colorado,3389.0,3302.0,2672.0,2374.0,3008.0,3162.0,3167.0,6672.0,6342.0,6053.0,6053.0
Connecticut,226.0,161.0,72.0,0.0,9.0,9.0,28.0,3545.0,3680.0,3968.0,3968.0
District of Columbia,0.0,0.0,56.0,53.0,54.0,42.0,39.0,849.0,937.0,1001.0,1001.0
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,30.0,440.0,343.0,305.0,305.0
Florida,1407.0,1450.0,1491.0,1453.0,1643.0,1341.0,1482.0,11880.0,11833.0,12339.0,12339.0
Georgia,2514.0,2911.0,3405.0,3064.0,3061.0,3099.0,2911.0,9152.0,8828.0,8689.0,8689.0
Hawaii,41.0,40.0,5.0,29.0,23.0,33.0,41.0,45204.0,45415.0,43031.0,43031.0
Iowa,189.0,108.0,223.0,309.0,299.0,651.0,747.0,1433.0,1381.0,1197.0,1197.0
Idaho,0.0,0.0,44.0,29.0,42.0,71.0,106.0,1052.0,1363.0,1347.0,1347.0
Illinois,500.0,430.0,352.0,269.0,415.0,464.0,504.0,13589.0,13643.0,13641.0,13641.0
Indiana,38.0,134.0,85.0,83.0,237.0,257.0,344.0,5542.0,6050.0,5884.0,5884.0
Kansas,1365.0,1639.0,1494.0,1456.0,1474.0,1398.0,1274.0,2095.0,2226.0,2042.0,2042.0
Kentucky,87.0,61.0,126.0,65.0,86.0,81.0,79.0,4416.0,4598.0,4205.0,4205.0
Louisiana,0.0,0.0,76.0,71.0,67.0,75.0,128.0,1754.0,1461.0,1663.0,1663.0
Massachusetts,490.0,318.0,215.0,365.0,563.0,740.0,694.0,8915.0,9344.0,8408.0,8408.0
Maryland,87.0,0.0,21.0,10.0,7.0,78.0,70.0,6303.0,6198.0,6738.0,6738.0
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,494.0,824.0,824.0
Michigan,5541.0,5312.0,4516.0,4811.0,4887.0,4871.0,4100.0,11853.0,12252.0,12292.0,12292.0
Minnesota,46398.0,53058.0,53879.0,54790.0,55037.0,57513.0,58833.0,3422.0,3781.0,3885.0,3885.0
Missouri,707.0,792.0,944.0,808.0,949.0,1142.0,1371.0,2506.0,2604.0,2618.0,2618.0
Mississippi,0.0,4.0,1.0,4.0,8.0,18.0,26.0,1022.0,903.0,927.0,927.0
Montana,193.0,279.0,336.0,290.0,92.0,0.0,0.0,521.0,477.0,526.0,526.0
North Carolina,8476.0,9191.0,9276.0,9416.0,8786.0,9352.0,9156.0,6085.0,6607.0,6959.0,6959.0
North Dakota,0.0,0.0,26.0,15.0,11.0,9.0,14.0,287.0,477.0,499.0,499.0
Nebraska,0.0,0.0,46.0,38.0,37.0,95.0,187.0,1427.0,1323.0,1317.0,1317.0
New Hampshire,0.0,0.0,0.0,0.0,9.0,6.0,5.0,750.0,594.0,615.0,615.0
