,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,376.0,438.0,486.0,497.0,444.0,395.0,337.0,272.0,282.0,306.0,306.0
Alabama,1796.0,1638.0,1821.0,1790.0,1672.0,1581.0,1459.0,1149.0,1141.0,1105.0,1105.0
Arkansas,1091.0,1202.0,1189.0,1089.0,963.0,903.0,786.0,746.0,683.0,747.0,747.0
Arizona,7982.0,8229.0,8181.0,8242.0,7901.0,7798.0,7010.0,6676.0,6425.0,6620.0,6620.0
California,66665.0,64934.0,63914.0,63833.0,62621.0,62018.0,60355.0,59023.0,57613.0,57596.0,57596.0
Colorado,5695.0,5565.0,5294.0,5409.0,5767.0,5311.0,5489.0,5290.0,5049.0,4857.0,4857.0
Connecticut,38282.0,37918.0,37553.0,37151.0,36571.0,34973.0,33268.0,31617.0,29979.0,28209.0,28209.0
District of Columbia,1323.0,1280.0,1419.0,1457.0,1759.0,2007.0,2038.0,2058.0,1841.0,1694.0,1694.0
Delaware,2733.0,2653.0,2709.0,2379.0,2282.0,2194.0,2133.0,1831.0,1728.0,1568.0,1568.0
Florida,56527.0,53693.0,51865.0,50503.0,49161.0,48636.0,49434.0,48499.0,46939.0,46199.0,46199.0
Georgia,5528.0,5724.0,5290.0,4988.0,4846.0,4803.0,4542.0,4760.0,4600.0,4586.0,4586.0
Hawaii,923.0,871.0,799.0,668.0,655.0,621.0,643.0,915.0,1029.0,1026.0,1026.0
Iowa,1072.0,1067.0,1087.0,1095.0,1083.0,1079.0,1036.0,1036.0,981.0,1111.0,1111.0
Idaho,842.0,781.0,846.0,719.0,660.0,623.0,634.0,504.0,697.0,625.0,625.0
Illinois,43136.0,40962.0,41374.0,40018.0,40223.0,38248.0,36751.0,33963.0,33295.0,30577.0,30577.0
Indiana,3691.0,3909.0,3473.0,3368.0,3574.0,3751.0,3359.0,3485.0,3226.0,3107.0,3107.0
Kansas,1219.0,1425.0,1412.0,1339.0,1058.0,948.0,743.0,887.0,732.0,853.0,853.0
Kentucky,1146.0,1220.0,1262.0,1150.0,943.0,971.0,1096.0,838.0,1006.0,1168.0,1168.0
Louisiana,3061.0,2684.0,2344.0,2495.0,2450.0,2072.0,2087.0,1869.0,1914.0,1964.0,1964.0
Massachusetts,46057.0,43184.0,42279.0,41366.0,38919.0,37544.0,36387.0,35274.0,32968.0,32444.0,32444.0
Maryland,12454.0,11711.0,10927.0,10768.0,10135.0,9593.0,9565.0,8960.0,8650.0,8267.0,8267.0
Maine,998.0,1016.0,965.0,1048.0,1019.0,1112.0,1115.0,1019.0,1012.0,968.0,968.0
Michigan,21113.0,20227.0,20399.0,20334.0,19934.0,19073.0,18929.0,16960.0,15882.0,15143.0,15143.0
Minnesota,2300.0,2473.0,2344.0,2439.0,2503.0,2419.0,2191.0,2200.0,1962.0,1921.0,1921.0
Missouri,4848.0,4951.0,4560.0,4439.0,4391.0,4096.0,3711.0,3692.0,3309.0,3395.0,3395.0
Mississippi,965.0,1033.0,1250.0,1110.0,890.0,865.0,717.0,644.0,590.0,764.0,764.0
Montana,618.0,594.0,596.0,523.0,619.0,584.0,523.0,499.0,501.0,528.0,528.0
North Carolina,6948.0,7493.0,7511.0,7480.0,7394.0,7017.0,6418.0,6993.0,6719.0,6863.0,6863.0
North Dakota,112.0,134.0,151.0,214.0,246.0,239.0,285.0,256.0,215.0,116.0,116.0
Nebraska,943.0,1050.0,1117.0,1392.0,1364.0,1281.0,981.0,997.0,787.0,616.0,616.0
New Hampshire,2123.0,2084.0,2104.0,1963.0,1798.0,1846.0,1421.0,1504.0,1471.0,1518.0,1518.0
New Jersey,87790.0,85220.0,82520.0,81056.0,78856.0,77585.0,74149.0,69178.0,67373.0,64378.0,64378.0
New Mexico,1430.0,1430.0,1455.0,1775.0,1729.0,1800.0,1777.0,1614.0,1290.0,1103.0,1103.0
Nevada,6427.0,5777.0,5625.0,5316.0,4794.0,4528.0,4411.0,4136.0,4098.0,4260.0,4260.0
New York,232810.0,212832.0,205877.0,199854.0,191569.0,184947.0,176880.0,171133.0,165083.0,157840.0,157840.0
Ohio,20454.0,19268.0,18880.0,18563.0,17966.0,17139.0,15771.0,14529.0,13878.0,13187.0,13187.0
Oklahoma,1368.0,1200.0,1071.0,954.0,1009.0,879.0,1062.0,1035.0,1041.0,926.0,926.0
Oregon,3231.0,2993.0,3032.0,2829.0,2816.0,2656.0,2703.0,2193.0,2247.0,2732.0,2732.0
Pennsylvania,52684.0,51651.0,48535.0,46975.0,44686.0,43948.0,41521.0,39731.0,36863.0,35766.0,35766.0
Puerto Rico,434.0,402.0,301.0,299.0,388.0,438.0,490.0,661.0,735.0,694.0,694.0
Rhode Island,9697.0,8954.0,8760.0,8890.0,8003.0,7324.0,7412.0,6721.0,6281.0,6137.0,6137.0
South Carolina,2380.0,2470.0,2457.0,2782.0,2752.0,2751.0,2680.0,2553.0,2319.0,2813.0,2813.0
South Dakota,150.0,135.0,149.0,165.0,267.0,258.0,302.0,260.0,286.0,247.0,247.0
Tennessee,2597.0,2432.0,2620.0,2490.0,2482.0,2748.0,2643.0,2389.0,2276.0,2249.0,2249.0
Texas,12436.0,11384.0,11498.0,12306.0,11386.0,12372.0,12431.0,12588.0,12216.0,11527.0,11527.0
Utah,3244.0,3132.0,3520.0,3393.0,3064.0,2779.0,2703.0,2190.0,2186.0,2242.0,2242.0
Virginia,10188.0,9934.0,10390.0,9842.0,9830.0,9881.0,9124.0,8728.0,9011.0,8461.0,8461.0
Vermont,732.0,734.0,625.0,684.0,712.0,752.0,783.0,826.0,812.0,803.0,803.0
Washington,6034.0,6249.0,6359.0,6634.0,6624.0,6088.0,5555.0,5456.0,4590.0,4444.0,4444.0
Wisconsin,5938.0,5561.0,5665.0,5391.0,4940.0,4457.0,4230.0,3849.0,3388.0,3474.0,3474.0
West Virginia,1564.0,1470.0,1606.0,1573.0,1380.0,1324.0,1257.0,1285.0,1388.0,1424.0,1424.0
Wyoming,300.0,313.0,274.0,303.0,256.0,331.0,302.0,395.0,401.0,375.0,375.0
,804455.0,765684.0,747740.0,733340.0,709354.0,689586.0,663629.0,635866.0,610988.0,591543.0,591543.0
