,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,3896.0,3853.0,4157.0,4023.0,3937.0,4182.0,4061.0,49.0,29.0,29.0,29.0
Alabama,5450.0,5860.0,6232.0,6660.0,7475.0,7689.0,8331.0,334.0,272.0,380.0,380.0
Arkansas,2039.0,1874.0,1872.0,1611.0,1591.0,1367.0,1514.0,474.0,573.0,627.0,627.0
Arizona,9467.0,9656.0,10970.0,11182.0,10733.0,10112.0,10526.0,2983.0,3376.0,3627.0,3627.0
California,339426.0,366414.0,370269.0,375383.0,372742.0,376306.0,375856.0,29976.0,31742.0,34135.0,34135.0
Colorado,14592.0,15811.0,15966.0,15185.0,15629.0,16348.0,16134.0,1552.0,1768.0,2065.0,2065.0
Connecticut,6342.0,6339.0,6240.0,6033.0,6456.0,6385.0,6540.0,2996.0,2671.0,3009.0,3009.0
District of Columbia,879.0,1168.0,1159.0,1202.0,1290.0,1271.0,1195.0,203.0,279.0,370.0,370.0
Delaware,1516.0,1178.0,1453.0,1515.0,1598.0,1566.0,1972.0,814.0,845.0,909.0,909.0
Florida,19211.0,20336.0,19215.0,18944.0,18720.0,19385.0,20498.0,11217.0,12571.0,12244.0,12244.0
Georgia,39172.0,44834.0,46610.0,47259.0,44978.0,45220.0,45633.0,6413.0,6375.0,6559.0,6559.0
Hawaii,17117.0,18405.0,18298.0,18079.0,17276.0,17190.0,18337.0,4.0,59.0,83.0,83.0
Iowa,2486.0,2771.0,3289.0,2936.0,3037.0,3073.0,2972.0,805.0,694.0,936.0,936.0
Idaho,1222.0,1390.0,1413.0,1209.0,1128.0,1449.0,1226.0,48.0,54.0,68.0,68.0
Illinois,47028.0,48316.0,49951.0,49052.0,49323.0,47835.0,47422.0,16990.0,17148.0,17355.0,17355.0
Indiana,6469.0,6637.0,7132.0,7675.0,7588.0,7384.0,7389.0,1420.0,1777.0,1974.0,1974.0
Kansas,3858.0,3874.0,3763.0,3484.0,3556.0,3319.0,3226.0,732.0,735.0,851.0,851.0
Kentucky,2655.0,2865.0,2978.0,3072.0,3091.0,3241.0,3206.0,684.0,790.0,832.0,832.0
Louisiana,2734.0,2399.0,2276.0,2769.0,3112.0,2830.0,2855.0,501.0,466.0,546.0,546.0
Massachusetts,14070.0,15175.0,16875.0,16588.0,16962.0,16775.0,17594.0,4854.0,5312.0,5722.0,5722.0
Maryland,37440.0,39869.0,39659.0,38452.0,38029.0,37970.0,38105.0,5758.0,5200.0,5179.0,5179.0
Maine,832.0,968.0,979.0,973.0,873.0,558.0,452.0,24.0,31.0,70.0,70.0
Michigan,15239.0,15460.0,15939.0,15704.0,15356.0,16186.0,16150.0,7403.0,8060.0,8909.0,8909.0
Minnesota,5641.0,5443.0,5563.0,5763.0,6000.0,5070.0,5469.0,2755.0,2999.0,3197.0,3197.0
Missouri,7374.0,7815.0,7236.0,7003.0,6918.0,7505.0,6967.0,1572.0,1901.0,2234.0,2234.0
Mississippi,1386.0,1392.0,1273.0,1317.0,1524.0,1768.0,1713.0,295.0,284.0,305.0,305.0
Montana,525.0,550.0,418.0,440.0,431.0,520.0,622.0,20.0,18.0,0.0,0.0
North Carolina,12778.0,14604.0,15041.0,15545.0,15685.0,15501.0,14849.0,4065.0,4438.0,4888.0,4888.0
North Dakota,194.0,217.0,156.0,168.0,238.0,321.0,268.0,19.0,9.0,7.0,7.0
Nebraska,980.0,897.0,992.0,965.0,1160.0,1407.0,1501.0,343.0,609.0,652.0,652.0
New Hampshire,1056.0,1163.0,1305.0,1506.0,1420.0,1369.0,1273.0,784.0,721.0,573.0,573.0
New Jersey,69977.0,73535.0,76747.0,76790.0,76224.0,81118.0,79033.0,17466.0,17269.0,16799.0,16799.0
New Mexico,1402.0,1275.0,1499.0,1398.0,1288.0,1630.0,1834.0,141.0,157.0,257.0,257.0
Nevada,8185.0,9560.0,9195.0,9199.0,10507.0,10652.0,11120.0,779.0,900.0,754.0,754.0
New York,106740.0,111921.0,113077.0,113038.0,109551.0,106891.0,105873.0,27221.0,29567.0,29587.0,29587.0
Ohio,9784.0,10345.0,11080.0,11026.0,12560.0,11690.0,12094.0,3545.0,3297.0,3719.0,3719.0
Oklahoma,3718.0,4091.0,4258.0,4231.0,4498.0,4305.0,4079.0,2586.0,2676.0,2677.0,2677.0
Oregon,11500.0,10578.0,10614.0,10531.0,10382.0,10805.0,11213.0,1452.0,1484.0,1545.0,1545.0
Pennsylvania,27118.0,30381.0,30027.0,28643.0,28884.0,29222.0,28550.0,12836.0,14001.0,14048.0,14048.0
Puerto Rico,37.0,46.0,45.0,50.0,69.0,54.0,26.0,0.0,0.0,0.0,0.0
Rhode Island,1420.0,1687.0,1481.0,1247.0,1114.0,1235.0,1014.0,318.0,354.0,424.0,424.0
South Carolina,3003.0,3341.0,4043.0,3986.0,4239.0,4651.0,4614.0,682.0,878.0,974.0,974.0
South Dakota,331.0,442.0,726.0,627.0,600.0,588.0,530.0,64.0,69.0,59.0,59.0
Tennessee,8071.0,8291.0,8442.0,8768.0,8831.0,8177.0,8300.0,2245.0,1977.0,2113.0,2113.0
Texas,47869.0,52700.0,53183.0,56015.0,55794.0,58450.0,56927.0,35715.0,37866.0,42747.0,42747.0
Utah,3976.0,4307.0,4948.0,4933.0,4614.0,4310.0,4296.0,438.0,300.0,373.0,373.0
Virginia,52200.0,57702.0,57821.0,57334.0,56184.0,56189.0,56126.0,5370.0,5619.0,6006.0,6006.0
Vermont,414.0,439.0,452.0,585.0,436.0,333.0,536.0,21.0,57.0,55.0,55.0
Washington,47055.0,50608.0,50762.0,49475.0,48065.0,49438.0,48425.0,3960.0,5070.0,5848.0,5848.0
Wisconsin,4411.0,4737.0,4736.0,4649.0,4467.0,4256.0,4329.0,1480.0,1746.0,1668.0,1668.0
West Virginia,642.0,626.0,765.0,1020.0,906.0,975.0,929.0,248.0,187.0,223.0,223.0
Wyoming,172.0,144.0,225.0,303.0,343.0,339.0,411.0,4.0,17.0,27.0,27.0
,1031099.0,1104289.0,1122805.0,1125545.0,1117412.0,1126410.0,1124115.0,222658.0,235297.0,248238.0,248238.0
