,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,780.0,896.0,853.0,1290.0,1469.0,1408.0,1065.0,3431.0,3394.0,3950.0,3950.0
Alabama,921.0,904.0,726.0,802.0,935.0,1193.0,1353.0,202.0,20.0,29.0,29.0
Arkansas,3101.0,3234.0,3628.0,3603.0,3429.0,3286.0,2698.0,1523.0,1263.0,1600.0,1600.0
Arizona,1977.0,1589.0,1811.0,1483.0,1397.0,1644.0,1580.0,147.0,104.0,149.0,149.0
California,36245.0,36970.0,37299.0,36319.0,36849.0,35906.0,38367.0,76036.0,74666.0,74328.0,74328.0
Colorado,1812.0,1818.0,1908.0,2288.0,2175.0,1875.0,1892.0,3131.0,3317.0,3055.0,3055.0
Connecticut,2565.0,2656.0,2823.0,3229.0,2981.0,3409.0,2912.0,66.0,84.0,157.0,157.0
District of Columbia,16.0,13.0,42.0,47.0,53.0,37.0,41.0,0.0,0.0,0.0,0.0
Delaware,190.0,103.0,131.0,82.0,42.0,83.0,105.0,26.0,23.0,24.0,24.0
Florida,4361.0,4602.0,4377.0,4082.0,4224.0,4537.0,4215.0,1177.0,1185.0,1393.0,1393.0
Georgia,4796.0,5029.0,4961.0,4945.0,5143.0,5246.0,5441.0,2996.0,2807.0,3223.0,3223.0
Hawaii,1738.0,1960.0,2165.0,2357.0,2279.0,2233.0,1999.0,32.0,40.0,27.0,27.0
Iowa,3437.0,3702.0,3594.0,3984.0,4039.0,4228.0,4214.0,701.0,844.0,928.0,928.0
Idaho,664.0,480.0,487.0,711.0,787.0,607.0,715.0,72.0,118.0,167.0,167.0
Illinois,4630.0,5460.0,5301.0,4316.0,3931.0,4202.0,4228.0,445.0,465.0,404.0,404.0
Indiana,1255.0,989.0,956.0,620.0,670.0,679.0,642.0,248.0,396.0,360.0,360.0
Kansas,3836.0,4401.0,3776.0,3397.0,3672.0,4072.0,3437.0,1354.0,1441.0,1468.0,1468.0
Kentucky,387.0,557.0,543.0,630.0,423.0,572.0,480.0,76.0,54.0,80.0,80.0
Louisiana,1381.0,1893.0,1944.0,1725.0,2002.0,1896.0,1444.0,78.0,72.0,68.0,68.0
Massachusetts,2300.0,2745.0,2525.0,3196.0,3113.0,3199.0,2959.0,746.0,522.0,427.0,427.0
Maryland,970.0,909.0,833.0,925.0,914.0,825.0,804.0,85.0,99.0,110.0,110.0
Maine,81.0,122.0,101.0,67.0,96.0,66.0,43.0,0.0,0.0,0.0,0.0
Michigan,2717.0,2893.0,2532.0,2010.0,2137.0,2218.0,2393.0,4742.0,4845.0,5034.0,5034.0
Minnesota,9353.0,9736.0,9111.0,9007.0,9900.0,9664.0,9460.0,60402.0,61911.0,62881.0,62881.0
Missouri,404.0,747.0,801.0,859.0,1058.0,1074.0,623.0,1063.0,1224.0,1403.0,1403.0
Mississippi,128.0,205.0,171.0,124.0,215.0,424.0,366.0,37.0,32.0,36.0,36.0
Montana,0.0,0.0,2.0,4.0,5.0,38.0,41.0,0.0,18.0,18.0,18.0
North Carolina,4554.0,4334.0,4130.0,4588.0,4695.0,5294.0,4769.0,9832.0,9697.0,10304.0,10304.0
North Dakota,21.0,61.0,60.0,49.0,46.0,54.0,7.0,7.0,19.0,27.0,27.0
Nebraska,833.0,568.0,417.0,517.0,734.0,715.0,763.0,164.0,215.0,225.0,225.0
New Hampshire,343.0,357.0,440.0,695.0,555.0,567.0,593.0,14.0,13.0,5.0,5.0
New Jersey,436.0,442.0,466.0,462.0,244.0,295.0,415.0,32.0,22.0,15.0,15.0
New Mexico,400.0,815.0,756.0,503.0,542.0,502.0,487.0,56.0,44.0,48.0,48.0
Nevada,1710.0,1557.0,1655.0,1449.0,1842.0,1730.0,1937.0,36.0,80.0,127.0,127.0
New York,2412.0,3256.0,3702.0,3607.0,3184.0,3333.0,3010.0,173.0,289.0,282.0,282.0
Ohio,2399.0,2460.0,2358.0,2836.0,3287.0,2763.0,2664.0,526.0,494.0,563.0,563.0
Oklahoma,1552.0,1609.0,1541.0,1705.0,1610.0,1733.0,1705.0,3047.0,3250.0,3435.0,3435.0
Oregon,2598.0,2452.0,2798.0,2786.0,2594.0,2127.0,2008.0,1600.0,1820.0,2307.0,2307.0
Pennsylvania,1950.0,2210.0,2566.0,2793.0,2064.0,2375.0,2020.0,835.0,712.0,569.0,569.0
Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhode Island,3131.0,2617.0,2985.0,3110.0,3172.0,2991.0,2453.0,466.0,441.0,481.0,481.0
South Carolina,1021.0,1083.0,1020.0,924.0,833.0,735.0,869.0,1576.0,1207.0,1183.0,1183.0
South Dakota,122.0,204.0,177.0,272.0,263.0,171.0,204.0,48.0,47.0,54.0,54.0
Tennessee,6320.0,6627.0,6313.0,6134.0,5544.0,5484.0,6230.0,410.0,452.0,419.0,419.0
Texas,12054.0,12315.0,11156.0,11330.0,10999.0,10830.0,10489.0,963.0,908.0,1098.0,1098.0
Utah,1829.0,1806.0,1759.0,1542.0,1400.0,1857.0,2256.0,84.0,115.0,157.0,157.0
Virginia,2445.0,2886.0,2895.0,3222.0,2551.0,2378.0,1993.0,336.0,275.0,254.0,254.0
Vermont,38.0,62.0,64.0,132.0,188.0,157.0,181.0,0.0,0.0,0.0,0.0
Washington,7918.0,8010.0,7694.0,7592.0,7566.0,7684.0,7492.0,1796.0,1411.0,1537.0,1537.0
Wisconsin,4448.0,5231.0,5105.0,4989.0,4733.0,3478.0,2740.0,46243.0,45546.0,45068.0,45068.0
West Virginia,0.0,8.0,11.0,39.0,61.0,57.0,60.0,22.0,21.0,24.0,24.0
Wyoming,0.0,0.0,0.0,0.0,2.0,1.0,3.0,37.0,30.0,4.0,4.0
,148579.0,155583.0,153469.0,153378.0,152647.0,151932.0,148865.0,227119.0,226052.0,229505.0,229505.0
