,2009,2015,Net Change,Percentage
English only,67823592.0,69159433.0,1335841.0,1.9695816169689158
Spanish,3618323.0,4040677.0,422354.0,11.672645034730177
Arabic,224003.0,312787.0,88784.0,39.635183457364406
Chinese,249013.0,336147.0,87134.0,34.99174741880946
Hindi,89159.0,119025.0,29866.0,33.49745959465674
Hmong,93735.0,116573.0,22838.0,24.364431642396116
Vietnamese,134682.0,156705.0,22023.0,16.35185102686328
Tagalog,138664.0,159174.0,20510.0,14.79114982980442
Gujarati,63494.0,81200.0,17706.0,27.88609947396604
Urdu,70782.0,84438.0,13656.0,19.293040603543275
Portuguese,26294.0,32570.0,6276.0,23.868563170305013
Korean,118239.0,123902.0,5663.0,4.7894518729014965
Persian,26224.0,30013.0,3789.0,14.448596705308114
French Creole,12313.0,15302.0,2989.0,24.27515633882888
Mon-Khmer,21852.0,24712.0,2860.0,13.088046860699249
Thai,21662.0,23038.0,1376.0,6.352137383436432
Navajo,1180.0,1628.0,448.0,37.96610169491525
Russian,116061.0,116048.0,-13.0,-0.011201006367341311
Hebrew,18258.0,18093.0,-165.0,-0.9037134406835359
Armenian,7264.0,6484.0,-780.0,-10.737885462555067
Laotian,41714.0,39790.0,-1924.0,-4.612360358632593
Yiddish,6082.0,3748.0,-2334.0,-38.375534363696154
Japanese,65887.0,63416.0,-2471.0,-3.7503604656457266
Hungarian,19792.0,16127.0,-3665.0,-18.517582861762328
Serbo-Croatian,107344.0,102510.0,-4834.0,-4.5032791772246235
Greek,72927.0,60723.0,-12204.0,-16.734542761940023
Italian,110087.0,93090.0,-16997.0,-15.439606856395397
Polish,262629.0,231337.0,-31292.0,-11.914906579242961
German,368277.0,318694.0,-49583.0,-13.463507088414428
