,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,184.0,271.0,271.0,184.0,205.0,239.0,193.0,1422.0,1389.0,1433.0,1433.0
Alabama,804.0,769.0,727.0,836.0,887.0,699.0,749.0,9554.0,10517.0,10049.0,10049.0
Arkansas,0.0,0.0,25.0,149.0,273.0,290.0,354.0,5024.0,5538.0,5608.0,5608.0
Arizona,1446.0,1813.0,1652.0,2024.0,2055.0,1864.0,1856.0,30222.0,31733.0,34917.0,34917.0
California,70374.0,74759.0,75973.0,78353.0,79882.0,79813.0,77845.0,1144815.0,1180602.0,1217206.0,1217206.0
Colorado,1663.0,1700.0,1894.0,2025.0,2210.0,2155.0,1602.0,23904.0,23941.0,24813.0,24813.0
Connecticut,2280.0,1979.0,2625.0,2190.0,2456.0,2461.0,2939.0,28159.0,29471.0,29080.0,29080.0
District of Columbia,42.0,48.0,35.0,32.0,53.0,62.0,74.0,5147.0,5209.0,5121.0,5121.0
Delaware,7.0,63.0,38.0,43.0,49.0,93.0,163.0,7470.0,7582.0,7463.0,7463.0
Florida,4501.0,4827.0,4931.0,5173.0,4679.0,4483.0,4694.0,69191.0,72433.0,74711.0,74711.0
Georgia,3876.0,3712.0,3762.0,3871.0,4475.0,4462.0,4595.0,45705.0,47036.0,49100.0,49100.0
Hawaii,220.0,287.0,391.0,242.0,274.0,243.0,196.0,31901.0,33285.0,33741.0,33741.0
Iowa,334.0,414.0,430.0,519.0,528.0,460.0,513.0,11583.0,11798.0,12313.0,12313.0
Idaho,135.0,160.0,156.0,185.0,98.0,127.0,107.0,3445.0,4542.0,4697.0,4697.0
Illinois,2832.0,3060.0,3272.0,3034.0,3650.0,3333.0,3462.0,102065.0,102953.0,105748.0,105748.0
Indiana,1071.0,907.0,1145.0,1136.0,1060.0,1229.0,1296.0,26846.0,26486.0,28011.0,28011.0
Kansas,673.0,656.0,759.0,882.0,655.0,800.0,1271.0,10714.0,10749.0,10728.0,10728.0
Kentucky,434.0,548.0,963.0,1044.0,1122.0,903.0,1027.0,7734.0,7215.0,7076.0,7076.0
Louisiana,286.0,378.0,242.0,396.0,334.0,377.0,406.0,9865.0,9266.0,8707.0,8707.0
Massachusetts,21725.0,23023.0,22909.0,22890.0,21869.0,23631.0,24047.0,124592.0,129412.0,134582.0,134582.0
Maryland,1858.0,2456.0,2195.0,2362.0,1974.0,1774.0,1802.0,67027.0,68633.0,69447.0,69447.0
Maine,1190.0,1032.0,1026.0,948.0,984.0,1020.0,1050.0,3158.0,3468.0,3480.0,3480.0
Michigan,1422.0,1576.0,1730.0,1793.0,1511.0,1462.0,1229.0,46425.0,49002.0,50366.0,50366.0
Minnesota,6111.0,6981.0,6936.0,5756.0,5732.0,7388.0,6927.0,22503.0,23366.0,23981.0,23981.0
Missouri,835.0,941.0,1043.0,1086.0,1095.0,1118.0,1036.0,20134.0,20573.0,21988.0,21988.0
Mississippi,105.0,143.0,102.0,82.0,111.0,126.0,108.0,3740.0,3489.0,3700.0,3700.0
Montana,0.0,0.0,8.0,8.0,6.0,8.0,11.0,1222.0,1194.0,1378.0,1378.0
North Carolina,4264.0,4402.0,4700.0,4524.0,5239.0,4969.0,4788.0,33874.0,34508.0,36635.0,36635.0
North Dakota,91.0,116.0,63.0,76.0,53.0,23.0,21.0,1374.0,1715.0,1511.0,1511.0
Nebraska,353.0,144.0,91.0,106.0,84.0,124.0,167.0,4980.0,5096.0,4887.0,4887.0
New Hampshire,641.0,627.0,717.0,759.0,792.0,902.0,867.0,5662.0,5601.0,5611.0,5611.0
New Jersey,870.0,666.0,708.0,759.0,745.0,833.0,980.0,116434.0,121495.0,119432.0,119432.0
New Mexico,41.0,37.0,38.0,15.0,36.0,80.0,71.0,4550.0,4873.0,5067.0,5067.0
Nevada,775.0,1030.0,1218.0,1178.0,1198.0,1243.0,1356.0,28503.0,28617.0,29334.0,29334.0
New York,3480.0,4408.0,4117.0,4679.0,4578.0,4675.0,4303.0,565187.0,588310.0,578865.0,578865.0
Ohio,4812.0,4359.0,4196.0,4427.0,3992.0,4099.0,4436.0,44400.0,45786.0,46268.0,46268.0
Oklahoma,312.0,246.0,400.0,382.0,404.0,392.0,504.0,9673.0,9684.0,10231.0,10231.0
Oregon,2204.0,2394.0,2867.0,2870.0,2947.0,3276.0,3472.0,28975.0,29681.0,31001.0,31001.0
Pennsylvania,8790.0,10976.0,10526.0,11524.0,11188.0,11908.0,11841.0,83429.0,87245.0,88410.0,88410.0
