,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,166.0,107.0,86.0,172.0,133.0,172.0,151.0,16460.0,16726.0,18126.0,18126.0
Alabama,39.0,45.0,30.0,79.0,96.0,130.0,124.0,3702.0,3466.0,3503.0,3503.0
Arkansas,17.0,20.0,18.0,17.0,20.0,20.0,20.0,2725.0,2578.0,2566.0,2566.0
Arizona,87943.0,86293.0,85698.0,84865.0,83792.0,84190.0,82956.0,23815.0,24419.0,26633.0,26633.0
California,1573.0,1520.0,1481.0,1376.0,1401.0,1551.0,1343.0,792790.0,795154.0,798884.0,798884.0
Colorado,2509.0,2672.0,2624.0,2975.0,2937.0,3068.0,2449.0,7577.0,8025.0,8164.0,8164.0
Connecticut,70.0,58.0,38.0,26.0,0.0,0.0,0.0,8660.0,8724.0,7211.0,7211.0
District of Columbia,0.0,0.0,0.0,0.0,0.0,14.0,18.0,2067.0,1825.0,2022.0,2022.0
Delaware,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2298.0,2628.0,2966.0,2966.0
Florida,94.0,75.0,74.0,87.0,79.0,57.0,54.0,64670.0,63991.0,65966.0,65966.0
Georgia,144.0,195.0,297.0,257.0,233.0,169.0,136.0,12966.0,12700.0,13048.0,13048.0
Hawaii,63.0,52.0,38.0,13.0,13.0,42.0,48.0,60202.0,58455.0,58832.0,58832.0
Iowa,28.0,37.0,39.0,54.0,39.0,5.0,0.0,2562.0,2658.0,2947.0,2947.0
Idaho,295.0,176.0,226.0,153.0,153.0,168.0,198.0,2201.0,1841.0,2344.0,2344.0
Illinois,99.0,95.0,107.0,72.0,53.0,53.0,16.0,81878.0,83021.0,81617.0,81617.0
Indiana,73.0,38.0,114.0,135.0,133.0,73.0,92.0,7502.0,8349.0,8519.0,8519.0
Kansas,129.0,171.0,418.0,490.0,641.0,620.0,661.0,3391.0,3985.0,3579.0,3579.0
Kentucky,0.0,0.0,13.0,14.0,13.0,16.0,93.0,3586.0,3894.0,4570.0,4570.0
Louisiana,32.0,71.0,48.0,53.0,45.0,55.0,39.0,4304.0,4594.0,5173.0,5173.0
Massachusetts,56.0,54.0,42.0,49.0,52.0,56.0,51.0,7646.0,8099.0,8327.0,8327.0
Maryland,24.0,27.0,18.0,20.0,97.0,94.0,177.0,32434.0,33226.0,33448.0,33448.0
Maine,36.0,32.0,25.0,18.0,17.0,5.0,11.0,1641.0,1431.0,1455.0,1455.0
Michigan,88.0,75.0,99.0,120.0,102.0,72.0,13.0,15345.0,15737.0,16348.0,16348.0
Minnesota,24.0,29.0,16.0,62.0,84.0,48.0,67.0,6331.0,7001.0,7331.0,7331.0
Missouri,170.0,136.0,138.0,70.0,65.0,46.0,18.0,7379.0,7482.0,7618.0,7618.0
Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2837.0,2968.0,2843.0,2843.0
