,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,120.0,118.0,146.0,111.0,100.0,72.0,70.0,223.0,217.0,147.0,147.0
Alabama,994.0,1303.0,1161.0,1080.0,1010.0,896.0,760.0,2604.0,2518.0,2782.0,2782.0
Arkansas,337.0,312.0,319.0,290.0,519.0,511.0,523.0,1725.0,1892.0,1888.0,1888.0
Arizona,5925.0,5332.0,6110.0,6234.0,6111.0,6147.0,6861.0,10526.0,11436.0,12927.0,12927.0
California,177218.0,178552.0,185347.0,190110.0,191138.0,193721.0,196036.0,172352.0,183471.0,192859.0,192859.0
Colorado,3430.0,3264.0,3660.0,3725.0,4090.0,4196.0,4720.0,6446.0,6792.0,7670.0,7670.0
Connecticut,1555.0,1560.0,1539.0,1558.0,1488.0,1815.0,1932.0,13057.0,13012.0,13614.0,13614.0
District of Columbia,692.0,660.0,643.0,564.0,663.0,834.0,1116.0,1403.0,1256.0,1173.0,1173.0
Delaware,458.0,424.0,376.0,287.0,262.0,460.0,503.0,2141.0,2274.0,2416.0,2416.0
Florida,8746.0,8769.0,9342.0,9473.0,9435.0,9754.0,10535.0,23194.0,25756.0,27109.0,27109.0
Georgia,7871.0,8195.0,8814.0,8840.0,9228.0,8749.0,8207.0,28160.0,30319.0,30549.0,30549.0
Hawaii,283.0,280.0,305.0,466.0,476.0,424.0,715.0,583.0,695.0,832.0,832.0
Iowa,486.0,493.0,371.0,400.0,327.0,291.0,321.0,2778.0,2827.0,2921.0,2921.0
Idaho,319.0,279.0,429.0,344.0,484.0,505.0,459.0,749.0,853.0,859.0,859.0
Illinois,6274.0,6237.0,7243.0,6576.0,6628.0,6649.0,6839.0,43035.0,43862.0,47542.0,47542.0
Indiana,953.0,1121.0,1346.0,1290.0,1480.0,1503.0,1396.0,7161.0,7093.0,7277.0,7277.0
Kansas,1235.0,1152.0,1338.0,1571.0,1485.0,1783.0,1740.0,3243.0,3965.0,4327.0,4327.0
Kentucky,965.0,989.0,873.0,889.0,1021.0,1217.0,1281.0,2613.0,2927.0,3162.0,3162.0
Louisiana,624.0,752.0,866.0,1069.0,1454.0,1490.0,1559.0,2445.0,2750.0,2399.0,2399.0
Massachusetts,5816.0,6051.0,6308.0,6099.0,6453.0,6441.0,6268.0,20675.0,21610.0,23447.0,23447.0
Maryland,12155.0,11983.0,12054.0,12998.0,13898.0,13983.0,13633.0,18926.0,19405.0,20484.0,20484.0
Maine,392.0,233.0,180.0,460.0,572.0,511.0,576.0,466.0,412.0,306.0,306.0
Michigan,3185.0,2907.0,2456.0,2913.0,2644.0,2876.0,2977.0,17270.0,18381.0,19342.0,19342.0
Minnesota,1639.0,1607.0,1402.0,1552.0,1653.0,1537.0,1807.0,7759.0,7313.0,8024.0,8024.0
Missouri,2204.0,2693.0,3225.0,3087.0,3068.0,3133.0,2442.0,5141.0,5675.0,5472.0,5472.0
Mississippi,271.0,201.0,216.0,133.0,174.0,200.0,297.0,1394.0,1544.0,1619.0,1619.0
Montana,0.0,12.0,54.0,45.0,29.0,81.0,50.0,84.0,21.0,88.0,88.0
North Carolina,3251.0,3852.0,4409.0,4578.0,4150.0,3737.0,4129.0,16304.0,17285.0,19215.0,19215.0
