,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,531.0,637.0,431.0,447.0,426.0,508.0,493.0,861.0,887.0,958.0,958.0
Alabama,453.0,341.0,290.0,292.0,384.0,435.0,443.0,692.0,715.0,806.0,806.0
Arkansas,270.0,307.0,299.0,320.0,315.0,365.0,519.0,402.0,451.0,408.0,408.0
Arizona,6896.0,6324.0,5905.0,5789.0,5844.0,5781.0,5874.0,4297.0,3840.0,3509.0,3509.0
California,21529.0,21941.0,21078.0,20177.0,19699.0,18785.0,19250.0,34014.0,35719.0,36828.0,36828.0
Colorado,4439.0,4810.0,5253.0,5143.0,5365.0,5065.0,4717.0,4804.0,5046.0,5299.0,5299.0
Connecticut,35263.0,37286.0,37159.0,37454.0,37704.0,37100.0,35829.0,5794.0,5706.0,5548.0,5548.0
District of Columbia,699.0,588.0,493.0,481.0,483.0,462.0,511.0,563.0,604.0,774.0,774.0
Delaware,1131.0,1229.0,1183.0,964.0,1014.0,1147.0,941.0,513.0,570.0,665.0,665.0
Florida,24951.0,23934.0,24730.0,24555.0,23937.0,23997.0,24119.0,17246.0,17576.0,18662.0,18662.0
Georgia,3444.0,3518.0,3258.0,3621.0,3767.0,3249.0,3114.0,5238.0,5521.0,5466.0,5466.0
Hawaii,487.0,493.0,496.0,311.0,513.0,568.0,494.0,682.0,612.0,539.0,539.0
Iowa,910.0,812.0,690.0,569.0,522.0,427.0,496.0,1357.0,1403.0,1166.0,1166.0
Idaho,289.0,217.0,297.0,264.0,225.0,207.0,209.0,1406.0,1043.0,1509.0,1509.0
Illinois,194583.0,190192.0,186227.0,185433.0,185121.0,185087.0,182179.0,35007.0,36706.0,37987.0,37987.0
Indiana,4942.0,5144.0,5309.0,4983.0,4965.0,4627.0,4427.0,4928.0,4562.0,4689.0,4689.0
Kansas,482.0,397.0,440.0,509.0,469.0,346.0,401.0,597.0,678.0,690.0,690.0
Kentucky,731.0,833.0,735.0,686.0,535.0,567.0,499.0,1443.0,1347.0,1445.0,1445.0
Louisiana,751.0,700.0,742.0,850.0,844.0,721.0,753.0,676.0,830.0,651.0,651.0
Massachusetts,23144.0,21812.0,20617.0,20077.0,19235.0,18013.0,17220.0,7724.0,8073.0,8913.0,8913.0
Maryland,4956.0,5360.0,5352.0,4770.0,4356.0,4428.0,4100.0,5114.0,4568.0,4678.0,4678.0
Maine,807.0,687.0,636.0,664.0,673.0,634.0,509.0,459.0,525.0,700.0,700.0
Michigan,30113.0,26966.0,26146.0,25070.0,23042.0,21922.0,21349.0,11831.0,11735.0,12489.0,12489.0
Minnesota,3632.0,3519.0,3533.0,3419.0,2923.0,2790.0,2592.0,4921.0,4676.0,4653.0,4653.0
Missouri,2378.0,2051.0,1718.0,1600.0,1500.0,1358.0,1362.0,2277.0,2069.0,2776.0,2776.0
Mississippi,209.0,204.0,196.0,140.0,175.0,280.0,278.0,215.0,121.0,131.0,131.0
