,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,419.0,469.0,493.0,281.0,279.0,211.0,163.0,204.0,230.0,204.0,204.0
Alabama,1294.0,1293.0,1294.0,1326.0,1374.0,1459.0,1274.0,1055.0,1206.0,1395.0,1395.0
Arkansas,697.0,734.0,937.0,1028.0,1050.0,1166.0,809.0,736.0,678.0,683.0,683.0
Arizona,3032.0,3189.0,3304.0,4191.0,4401.0,4307.0,3919.0,3941.0,3562.0,3593.0,3593.0
California,76778.0,76320.0,74756.0,77598.0,79572.0,77870.0,77729.0,79593.0,80097.0,82114.0,82114.0
Colorado,2797.0,2828.0,3024.0,3299.0,3370.0,3218.0,3595.0,3796.0,3564.0,3843.0,3843.0
Connecticut,37121.0,38371.0,37306.0,36815.0,37016.0,35901.0,36016.0,36058.0,35769.0,35491.0,35491.0
District of Columbia,1062.0,1140.0,1146.0,1205.0,1449.0,1684.0,1676.0,1674.0,1815.0,1736.0,1736.0
Delaware,559.0,513.0,557.0,697.0,696.0,671.0,731.0,649.0,561.0,584.0,584.0
Florida,86457.0,87403.0,87803.0,86856.0,87311.0,86998.0,86583.0,91460.0,102147.0,110832.0,110832.0
Georgia,15303.0,13697.0,13101.0,12862.0,12148.0,11573.0,12021.0,13272.0,13757.0,15287.0,15287.0
Hawaii,1571.0,1507.0,1659.0,1785.0,1915.0,1860.0,2048.0,1962.0,1630.0,1504.0,1504.0
Iowa,892.0,708.0,641.0,695.0,668.0,779.0,833.0,860.0,1299.0,1509.0,1509.0
Idaho,1439.0,1430.0,1336.0,1414.0,1563.0,1558.0,1490.0,1454.0,1478.0,1334.0,1334.0
Illinois,5812.0,6650.0,6565.0,6895.0,6699.0,6838.0,6706.0,6915.0,7226.0,7726.0,7726.0
Indiana,1764.0,1841.0,2020.0,1792.0,1878.0,1751.0,2368.0,2211.0,2607.0,2674.0,2674.0
Kansas,1092.0,1150.0,1373.0,1380.0,1342.0,1468.0,1375.0,1556.0,1942.0,1957.0,1957.0
Kentucky,987.0,1014.0,1084.0,938.0,771.0,683.0,731.0,912.0,1121.0,1225.0,1225.0
Louisiana,2187.0,2476.0,2469.0,2958.0,3117.0,2824.0,2878.0,3100.0,2897.0,2894.0,2894.0
Massachusetts,188290.0,180975.0,179071.0,180556.0,181917.0,181251.0,179245.0,180020.0,184962.0,190569.0,190569.0
Maryland,10286.0,9811.0,10277.0,10485.0,10971.0,10624.0,11391.0,11296.0,11325.0,12758.0,12758.0
Maine,800.0,662.0,664.0,561.0,673.0,836.0,814.0,1201.0,1323.0,1538.0,1538.0
Michigan,3192.0,3440.0,3285.0,3733.0,4031.0,4294.0,4429.0,4796.0,4713.0,5338.0,5338.0
Minnesota,2121.0,2381.0,2380.0,2300.0,2414.0,2443.0,2549.0,2561.0,3145.0,3376.0,3376.0
Missouri,1974.0,2031.0,2232.0,2224.0,2653.0,3099.0,2841.0,2665.0,2973.0,2583.0,2583.0
Mississippi,275.0,266.0,380.0,335.0,472.0,680.0,799.0,680.0,718.0,708.0,708.0
Montana,239.0,257.0,149.0,144.0,135.0,180.0,191.0,243.0,299.0,323.0,323.0
North Carolina,5454.0,5780.0,6311.0,6715.0,6189.0,5946.0,6364.0,6860.0,7344.0,8421.0,8421.0
North Dakota,86.0,79.0,59.0,105.0,158.0,314.0,409.0,418.0,331.0,236.0,236.0
Nebraska,538.0,630.0,622.0,582.0,792.0,825.0,1030.0,941.0,947.0,1029.0,1029.0
New Hampshire,4511.0,4224.0,3834.0,3402.0,3347.0,2925.0,3055.0,3229.0,3415.0,3288.0,3288.0
New Jersey,88676.0,85058.0,85999.0,83381.0,84180.0,80075.0,77896.0,77118.0,76347.0,76644.0,76644.0
New Mexico,689.0,722.0,725.0,731.0,753.0,806.0,819.0,1110.0,939.0,842.0,842.0
Nevada,2196.0,2135.0,2388.0,2537.0,2786.0,3095.0,3637.0,3574.0,3840.0,3871.0,3871.0
New York,46018.0,45102.0,45572.0,46452.0,45070.0,43867.0,42642.0,42542.0,42332.0,42236.0,42236.0
Ohio,3207.0,3148.0,3673.0,3515.0,3459.0,3340.0,3797.0,3548.0,3889.0,4076.0,4076.0
Oklahoma,1305.0,953.0,896.0,909.0,962.0,1210.0,1237.0,1279.0,1144.0,1416.0,1416.0
Oregon,1638.0,1708.0,1713.0,1965.0,2007.0,2165.0,2723.0,3135.0,3062.0,3155.0,3155.0
Pennsylvania,12950.0,12223.0,12482.0,12442.0,12504.0,12685.0,12155.0,13395.0,14237.0,15277.0,15277.0
Puerto Rico,605.0,580.0,523.0,522.0,506.0,560.0,589.0,560.0,559.0,440.0,440.0
Rhode Island,33923.0,33178.0,33522.0,32588.0,32159.0,31081.0,31504.0,31606.0,30744.0,29637.0,29637.0
South Carolina,3062.0,2872.0,2627.0,3130.0,3456.0,3559.0,3593.0,3989.0,4055.0,4354.0,4354.0
South Dakota,107.0,143.0,174.0,222.0,219.0,180.0,144.0,158.0,126.0,122.0,122.0
Tennessee,2034.0,1812.0,2323.0,2267.0,2317.0,2520.0,2405.0,2176.0,2391.0,2467.0,2467.0
Texas,14926.0,16098.0,17225.0,18099.0,19762.0,21683.0,23479.0,24403.0,24797.0,26431.0,26431.0
Utah,7706.0,7310.0,7538.0,7218.0,7151.0,7173.0,7387.0,7997.0,9603.0,10521.0,10521.0
Virginia,7995.0,7911.0,8082.0,8026.0,8439.0,8766.0,9180.0,9182.0,9054.0,9888.0,9888.0
