,2009,2015,Net Change,Percentage
English only,8353541.0,9125715.0,772174.0,9.243672832874108
Spanish,883083.0,1007629.0,124546.0,14.10354406097728
Chinese,29835.0,40800.0,10965.0,36.75213675213676
Arabic,10526.0,16727.0,6201.0,58.911267338020146
Vietnamese,24079.0,28356.0,4277.0,17.76236554674197
Korean,20487.0,22689.0,2202.0,10.748279396690585
Persian,5282.0,7412.0,2130.0,40.325634229458544
Tagalog,13434.0,15482.0,2048.0,15.244900997469108
Russian,21059.0,22613.0,1554.0,7.379267771499122
Hindi,6040.0,7441.0,1401.0,23.195364238410594
Portuguese,12309.0,12958.0,649.0,5.272564789991064
Laotian,4305.0,4907.0,602.0,13.983739837398373
Gujarati,889.0,1378.0,489.0,55.005624296962885
Urdu,2192.0,2455.0,263.0,11.998175182481752
Serbo-Croatian,8588.0,8825.0,237.0,2.75966464834653
Polish,5907.0,6043.0,136.0,2.3023531403419675
Thai,4485.0,4610.0,125.0,2.787068004459309
French Creole,1048.0,1167.0,119.0,11.354961832061068
Yiddish,170.0,241.0,71.0,41.76470588235294
Armenian,1238.0,1293.0,55.0,4.44264943457189
Hungarian,1910.0,1926.0,16.0,0.8376963350785341
Hebrew,2379.0,2323.0,-56.0,-2.3539302227826817
Japanese,13472.0,13391.0,-81.0,-0.6012470308788599
Mon-Khmer,3648.0,3456.0,-192.0,-5.263157894736842
Hmong,3815.0,3436.0,-379.0,-9.934469200524246
Italian,10699.0,9651.0,-1048.0,-9.79530797270773
Greek,4976.0,3486.0,-1490.0,-29.943729903536976
Navajo,12957.0,10352.0,-2605.0,-20.104962568495793
German,54111.0,45346.0,-8765.0,-16.198185211879284
