,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,3688.0,4266.0,4599.0,4465.0,4426.0,4794.0,4758.0,168.0,307.0,274.0,274.0
Alabama,1467.0,1327.0,1305.0,1268.0,1325.0,1529.0,1615.0,330.0,277.0,157.0,157.0
Arkansas,629.0,477.0,435.0,505.0,515.0,607.0,734.0,258.0,274.0,241.0,241.0
Arizona,7888.0,7408.0,6910.0,6446.0,6602.0,7358.0,8044.0,7590.0,6685.0,7166.0,7166.0
California,142981.0,141884.0,146085.0,148697.0,151685.0,154001.0,156323.0,19917.0,19426.0,20222.0,20222.0
Colorado,14189.0,13975.0,14779.0,14832.0,15124.0,15424.0,16198.0,2472.0,2574.0,2742.0,2742.0
Connecticut,11057.0,11851.0,10937.0,10922.0,10684.0,10624.0,9959.0,5226.0,4920.0,5012.0,5012.0
District of Columbia,1143.0,1170.0,1823.0,1717.0,1895.0,2112.0,2144.0,554.0,569.0,638.0,638.0
Delaware,892.0,793.0,981.0,949.0,999.0,868.0,944.0,298.0,232.0,257.0,257.0
Florida,33373.0,32148.0,34395.0,35706.0,35974.0,37209.0,39447.0,15421.0,15598.0,17499.0,17499.0
Georgia,13841.0,12438.0,13386.0,14457.0,14848.0,14879.0,15753.0,6705.0,6052.0,5631.0,5631.0
Hawaii,632.0,694.0,1120.0,1167.0,1169.0,1109.0,1124.0,207.0,209.0,275.0,275.0
Iowa,1951.0,1922.0,1944.0,2174.0,1936.0,2052.0,1718.0,8957.0,8769.0,7898.0,7898.0
Idaho,1815.0,2160.0,2085.0,2395.0,1878.0,1774.0,1561.0,2514.0,2318.0,1883.0,1883.0
Illinois,40826.0,40795.0,41086.0,41695.0,41404.0,41308.0,41561.0,31136.0,29527.0,28558.0,28558.0
Indiana,5799.0,5539.0,5276.0,4819.0,4835.0,4209.0,3817.0,5276.0,5286.0,5167.0,5167.0
Kansas,2161.0,2312.0,2775.0,2708.0,2860.0,2796.0,2435.0,850.0,734.0,792.0,792.0
Kentucky,2529.0,2212.0,2071.0,2066.0,2108.0,1918.0,2264.0,4760.0,4622.0,4933.0,4933.0
Louisiana,1589.0,1955.0,2113.0,1897.0,1779.0,1602.0,1212.0,1056.0,973.0,909.0,909.0
Massachusetts,36970.0,36252.0,36595.0,37351.0,36549.0,36844.0,38496.0,4587.0,4605.0,4213.0,4213.0
Maryland,19982.0,19264.0,20729.0,22406.0,21388.0,21812.0,22667.0,1804.0,2077.0,1730.0,1730.0
Maine,1867.0,1884.0,1868.0,1552.0,1567.0,1567.0,1427.0,471.0,461.0,550.0,550.0
Michigan,11631.0,11606.0,11955.0,11913.0,11819.0,11754.0,11360.0,12510.0,12490.0,12407.0,12407.0
Minnesota,13635.0,13447.0,14089.0,14147.0,14039.0,14106.0,14532.0,4293.0,4419.0,4198.0,4198.0
Missouri,7210.0,7598.0,8211.0,7905.0,8678.0,8153.0,7731.0,11709.0,12008.0,12585.0,12585.0
Mississippi,627.0,600.0,565.0,526.0,467.0,484.0,537.0,72.0,43.0,26.0,26.0
Montana,504.0,752.0,675.0,679.0,615.0,608.0,562.0,101.0,110.0,106.0,106.0
North Carolina,9002.0,9371.0,9943.0,10101.0,10351.0,9802.0,10766.0,3619.0,3493.0,3798.0,3798.0
North Dakota,454.0,540.0,727.0,758.0,746.0,645.0,705.0,1378.0,871.0,1010.0,1010.0
Nebraska,987.0,1186.0,1408.0,1543.0,1324.0,1499.0,1321.0,813.0,959.0,978.0,978.0
New Hampshire,1531.0,1557.0,1434.0,1562.0,1774.0,1808.0,1943.0,1630.0,1549.0,1237.0,1237.0
New Jersey,45915.0,44927.0,45160.0,44078.0,44795.0,44863.0,45961.0,9545.0,8811.0,7838.0,7838.0
New Mexico,1022.0,983.0,1116.0,1287.0,1341.0,1451.0,1595.0,290.0,344.0,197.0,197.0
Nevada,3597.0,3659.0,4277.0,4554.0,5168.0,5336.0,5493.0,3388.0,3594.0,3190.0,3190.0
New York,231957.0,217906.0,218771.0,222710.0,226290.0,226596.0,227836.0,31270.0,31537.0,31842.0,31842.0
Ohio,15223.0,15706.0,16068.0,15835.0,16917.0,16735.0,16594.0,10950.0,11130.0,11046.0,11046.0
