,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,142.0,101.0,94.0,29.0,32.0,126.0,163.0,14.0,14.0,16.0,16.0
Alabama,416.0,479.0,372.0,349.0,465.0,446.0,311.0,164.0,132.0,129.0,129.0
Arkansas,474.0,287.0,301.0,240.0,211.0,195.0,288.0,69.0,86.0,63.0,63.0
Arizona,9711.0,9215.0,9377.0,8517.0,8370.0,8139.0,8082.0,1000.0,1198.0,1364.0,1364.0
California,22717.0,22156.0,22735.0,23159.0,22753.0,21237.0,20458.0,192374.0,189940.0,190976.0,190976.0
Colorado,2994.0,2965.0,3031.0,2799.0,2531.0,2683.0,2826.0,558.0,687.0,660.0,660.0
Connecticut,5091.0,5090.0,4225.0,4261.0,4160.0,4787.0,5086.0,621.0,635.0,671.0,671.0
District of Columbia,478.0,482.0,526.0,485.0,486.0,413.0,476.0,163.0,218.0,226.0,226.0
Delaware,392.0,156.0,165.0,227.0,216.0,212.0,267.0,76.0,18.0,22.0,22.0
Florida,15357.0,16517.0,16627.0,16840.0,17890.0,19116.0,17329.0,2183.0,2325.0,2163.0,2163.0
Georgia,8017.0,8121.0,7855.0,8658.0,7444.0,7437.0,6671.0,365.0,269.0,319.0,319.0
Hawaii,274.0,226.0,148.0,243.0,187.0,177.0,250.0,58.0,94.0,90.0,90.0
Iowa,7441.0,7668.0,7761.0,7713.0,8635.0,8253.0,8481.0,51.0,55.0,48.0,48.0
Idaho,1748.0,1915.0,2063.0,2167.0,2533.0,2274.0,2379.0,15.0,40.0,44.0,44.0
Illinois,32256.0,28639.0,28187.0,30037.0,31264.0,30877.0,31872.0,2004.0,2003.0,1686.0,1686.0
Indiana,6822.0,7498.0,7233.0,7131.0,7265.0,6041.0,5733.0,146.0,95.0,118.0,118.0
Kansas,1022.0,815.0,588.0,639.0,675.0,666.0,608.0,70.0,24.0,29.0,29.0
Kentucky,4643.0,5402.0,5221.0,5218.0,5067.0,5105.0,4456.0,128.0,73.0,59.0,59.0
Louisiana,507.0,738.0,621.0,830.0,990.0,1024.0,930.0,165.0,136.0,41.0,41.0
Massachusetts,3688.0,3863.0,3830.0,4166.0,4806.0,4446.0,4287.0,6762.0,7077.0,6551.0,6551.0
Maryland,1852.0,1512.0,1722.0,1771.0,2121.0,1931.0,2124.0,1673.0,1709.0,1727.0,1727.0
Maine,372.0,545.0,523.0,325.0,251.0,272.0,424.0,35.0,39.0,35.0,35.0
Michigan,13745.0,13150.0,13485.0,13112.0,13009.0,13131.0,13829.0,2336.0,2425.0,2321.0,2321.0
Minnesota,3805.0,3458.0,3796.0,3619.0,3948.0,4351.0,4374.0,85.0,110.0,88.0,88.0
Missouri,13726.0,12130.0,12878.0,13150.0,13498.0,13127.0,11988.0,220.0,216.0,356.0,356.0
Mississippi,166.0,107.0,73.0,102.0,97.0,74.0,67.0,0.0,0.0,0.0,0.0
Montana,167.0,87.0,92.0,103.0,81.0,45.0,97.0,4.0,4.0,22.0,22.0
North Carolina,3340.0,3083.0,3300.0,3550.0,3479.0,3244.0,3835.0,304.0,370.0,382.0,382.0
North Dakota,954.0,1110.0,1065.0,717.0,649.0,1042.0,1254.0,0.0,0.0,0.0,0.0
Nebraska,907.0,699.0,675.0,589.0,556.0,751.0,633.0,0.0,33.0,32.0,32.0
New Hampshire,1668.0,1619.0,1333.0,1238.0,1504.0,1677.0,1672.0,191.0,141.0,164.0,164.0
New Jersey,10386.0,10095.0,9420.0,9284.0,8967.0,9512.0,9153.0,5266.0,4983.0,4598.0,4598.0
New Mexico,202.0,307.0,343.0,331.0,409.0,272.0,341.0,99.0,84.0,106.0,106.0
Nevada,3935.0,3709.0,3651.0,3292.0,3824.0,3141.0,3227.0,3148.0,3264.0,3096.0,3096.0
New York,34604.0,33002.0,33683.0,34359.0,34025.0,32553.0,31484.0,7443.0,7310.0,7115.0,7115.0
Ohio,13468.0,13358.0,13636.0,13358.0,12868.0,12903.0,12076.0,413.0,430.0,555.0,555.0
Oklahoma,141.0,175.0,191.0,206.0,286.0,346.0,339.0,89.0,128.0,146.0,146.0
Oregon,1392.0,1545.0,1936.0,1824.0,1801.0,1960.0,1880.0,341.0,569.0,494.0,494.0
Pennsylvania,8531.0,8162.0,9078.0,8886.0,8533.0,8589.0,8185.0,1780.0,1842.0,1697.0,1697.0
Puerto Rico,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0
Rhode Island,71.0,67.0,149.0,263.0,294.0,251.0,249.0,800.0,769.0,689.0,689.0
South Carolina,686.0,724.0,745.0,769.0,713.0,610.0,722.0,53.0,28.0,90.0,90.0
South Dakota,923.0,829.0,765.0,809.0,676.0,643.0,741.0,23.0,2.0,2.0,2.0
Tennessee,2325.0,2722.0,2630.0,2233.0,2490.0,2071.0,1498.0,337.0,143.0,164.0,164.0
Texas,7579.0,8270.0,8707.0,8150.0,7897.0,7695.0,7291.0,1829.0,1808.0,1871.0,1871.0
Utah,3615.0,3486.0,3702.0,4173.0,3842.0,3627.0,3484.0,665.0,695.0,751.0,751.0
Virginia,3874.0,4047.0,4029.0,4010.0,4552.0,4910.0,5022.0,1019.0,1045.0,985.0,985.0
Vermont,1321.0,1412.0,1325.0,1426.0,1196.0,1081.0,1340.0,94.0,96.0,126.0,126.0
Washington,5092.0,5149.0,5459.0,5761.0,5259.0,5476.0,5542.0,1332.0,1515.0,1251.0,1251.0
Wisconsin,5166.0,5170.0,5084.0,5227.0,4915.0,5069.0,4628.0,444.0,365.0,352.0,352.0
West Virginia,122.0,149.0,239.0,246.0,218.0,270.0,316.0,11.0,11.0,12.0,12.0
Wyoming,64.0,54.0,49.0,50.0,41.0,26.0,39.0,0.0,0.0,0.0,0.0
