,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,22735.0,22447.0,22226.0,22475.0,22425.0,22548.0,23555.0,24078.0,23226.0,24378.0,24378.0
Alabama,113179.0,137617.0,144390.0,149070.0,151384.0,150809.0,150337.0,147816.0,146478.0,148420.0,148420.0
Arkansas,122443.0,131717.0,138017.0,141370.0,143540.0,142081.0,144270.0,142819.0,146666.0,149618.0,149618.0
Arizona,1261134.0,1199689.0,1213990.0,1224570.0,1230732.0,1251975.0,1272191.0,1285656.0,1308293.0,1338389.0,1338389.0
California,9462163.0,9706949.0,9835134.0,9961284.0,10105424.0,10217938.0,10329154.0,10407915.0,10486447.0,10529621.0,10529621.0
Colorado,532705.0,542257.0,546341.0,557825.0,565058.0,576094.0,584233.0,597078.0,603303.0,612425.0,612425.0
Connecticut,314619.0,339414.0,348910.0,360746.0,371024.0,377238.0,385971.0,391576.0,398297.0,400036.0,400036.0
District of Columbia,40741.0,40324.0,39611.0,40664.0,44457.0,47496.0,50782.0,54247.0,56512.0,57321.0,57321.0
Delaware,48254.0,54227.0,54900.0,56025.0,57255.0,59204.0,59814.0,60311.0,60881.0,62657.0,62657.0
Florida,3221199.0,3408312.0,3493644.0,3566368.0,3640750.0,3743708.0,3849991.0,3936129.0,4078350.0,4199678.0,4199678.0
Georgia,618059.0,652397.0,675924.0,693520.0,709563.0,727616.0,740917.0,748955.0,763901.0,770037.0,770037.0
Hawaii,25229.0,25285.0,26563.0,26779.0,25491.0,25114.0,25776.0,25854.0,27328.0,29100.0,29100.0
Iowa,98953.0,106888.0,109822.0,111984.0,113173.0,113588.0,114553.0,113633.0,115267.0,118709.0,118709.0
Idaho,102251.0,106792.0,108674.0,111878.0,114558.0,118178.0,119097.0,120847.0,123817.0,126615.0,126615.0
Illinois,1476535.0,1517245.0,1545592.0,1561322.0,1570809.0,1586555.0,1600975.0,1596091.0,1608654.0,1616278.0,1616278.0
Indiana,245303.0,264317.0,267472.0,271917.0,277381.0,280273.0,282611.0,285410.0,288236.0,288582.0,288582.0
Kansas,166513.0,182110.0,186525.0,191117.0,195103.0,197689.0,201948.0,203505.0,205710.0,209025.0,209025.0
Kentucky,89070.0,96868.0,99979.0,102950.0,104471.0,103832.0,105529.0,106467.0,107735.0,111393.0,111393.0
Louisiana,119593.0,136282.0,144062.0,145951.0,150424.0,155056.0,155887.0,156774.0,161384.0,161432.0,161432.0
Massachusetts,431636.0,457990.0,473389.0,488334.0,502625.0,519521.0,534262.0,548794.0,564401.0,581553.0,581553.0
