,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,12897.0,14857.0,13750.0,14705.0,14177.0,14310.0,15718.0,2716.0,3019.0,2749.0,2749.0
Alabama,2141.0,2546.0,2947.0,3025.0,3115.0,3195.0,3570.0,2456.0,2770.0,2270.0,2270.0
Arkansas,2131.0,2454.0,2505.0,2575.0,2901.0,2919.0,2678.0,3609.0,3828.0,4059.0,4059.0
Arizona,16083.0,18244.0,19494.0,19732.0,20664.0,21888.0,23037.0,4568.0,4441.0,4207.0,4207.0
California,699611.0,743408.0,753263.0,765033.0,764743.0,775347.0,788136.0,84791.0,83242.0,81184.0,81184.0
Colorado,7056.0,7261.0,7860.0,7811.0,7293.0,7223.0,7195.0,4645.0,4808.0,5140.0,5140.0
Connecticut,7454.0,8113.0,7954.0,8076.0,8539.0,9146.0,9245.0,3762.0,3237.0,3290.0,3290.0
District of Columbia,1552.0,1169.0,1147.0,1496.0,1436.0,1580.0,1773.0,218.0,173.0,105.0,105.0
Delaware,2051.0,2554.0,2552.0,2474.0,2293.0,2274.0,2205.0,302.0,359.0,472.0,472.0
Florida,52141.0,55071.0,57395.0,59344.0,60165.0,61509.0,64335.0,15866.0,16978.0,15604.0,15604.0
Georgia,10300.0,11019.0,11362.0,11903.0,12205.0,12013.0,12323.0,8851.0,8211.0,7390.0,7390.0
Hawaii,50858.0,55544.0,56424.0,58197.0,58345.0,59621.0,59627.0,3610.0,3717.0,3552.0,3552.0
Iowa,2181.0,2095.0,2333.0,2358.0,2348.0,2542.0,2616.0,6059.0,5441.0,5296.0,5296.0
Idaho,1477.0,1378.0,1604.0,1701.0,1886.0,1925.0,2243.0,1045.0,886.0,1373.0,1373.0
Illinois,73509.0,77002.0,77727.0,77739.0,80655.0,84242.0,84223.0,11563.0,11691.0,11135.0,11135.0
Indiana,5865.0,6567.0,6715.0,6145.0,5667.0,6530.0,7225.0,1839.0,2131.0,2222.0,2222.0
Kansas,2762.0,3083.0,3291.0,3685.0,3786.0,3813.0,3621.0,4844.0,5048.0,5199.0,5199.0
Kentucky,3416.0,3474.0,3122.0,3154.0,2885.0,2767.0,3357.0,1405.0,1497.0,1582.0,1582.0
Louisiana,2730.0,3437.0,4040.0,4284.0,4580.0,4706.0,4375.0,2623.0,2770.0,2820.0,2820.0
Massachusetts,7633.0,8810.0,9169.0,8129.0,8214.0,7587.0,7682.0,5565.0,5691.0,5822.0,5822.0
Maryland,22893.0,27619.0,29886.0,31277.0,32818.0,35413.0,34660.0,4521.0,4887.0,4745.0,4745.0
Maine,918.0,1004.0,1141.0,1211.0,1423.0,1381.0,1643.0,534.0,331.0,441.0,441.0
