,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,805.0,909.0,989.0,835.0,1105.0,1074.0,1120.0,3747.0,3972.0,3833.0,3833.0
Alabama,876.0,757.0,962.0,835.0,828.0,988.0,1163.0,8124.0,8739.0,9208.0,9208.0
Arkansas,286.0,270.0,461.0,439.0,438.0,463.0,672.0,1453.0,1654.0,1675.0,1675.0
Arizona,2157.0,2291.0,2358.0,2341.0,2492.0,3096.0,3117.0,9942.0,9852.0,9983.0,9983.0
California,42824.0,46477.0,45066.0,45345.0,46434.0,47488.0,47156.0,370062.0,367658.0,368099.0,368099.0
Colorado,2392.0,2421.0,2576.0,2342.0,1950.0,1938.0,2323.0,15095.0,14780.0,14299.0,14299.0
Connecticut,1087.0,1371.0,1478.0,1776.0,1401.0,1248.0,1089.0,6608.0,6709.0,6173.0,6173.0
District of Columbia,271.0,296.0,277.0,361.0,386.0,322.0,309.0,1359.0,1350.0,1342.0,1342.0
Delaware,164.0,280.0,280.0,247.0,183.0,144.0,116.0,1683.0,1550.0,1603.0,1603.0
Florida,9455.0,10277.0,10705.0,10868.0,9870.0,10937.0,11475.0,20936.0,19924.0,20365.0,20365.0
Georgia,2792.0,2711.0,3196.0,3278.0,3186.0,3717.0,3851.0,45221.0,46266.0,47552.0,47552.0
Hawaii,2033.0,2132.0,2033.0,1858.0,1920.0,1884.0,1815.0,18116.0,18910.0,19328.0,19328.0
Iowa,1255.0,1404.0,1373.0,1243.0,1679.0,1523.0,1454.0,2659.0,2964.0,2859.0,2859.0
Idaho,782.0,936.0,649.0,509.0,412.0,320.0,394.0,851.0,912.0,674.0,674.0
Illinois,5788.0,6209.0,6868.0,6781.0,7266.0,6871.0,6916.0,44848.0,43305.0,41833.0,41833.0
Indiana,1203.0,1260.0,1251.0,1388.0,975.0,1008.0,918.0,7089.0,7371.0,6900.0,6900.0
Kansas,795.0,952.0,868.0,717.0,663.0,808.0,844.0,3778.0,3756.0,3788.0,3788.0
Kentucky,454.0,493.0,818.0,767.0,843.0,1010.0,1012.0,3214.0,3283.0,3404.0,3404.0
Louisiana,782.0,688.0,627.0,588.0,506.0,649.0,841.0,3009.0,2938.0,2734.0,2734.0
Massachusetts,3154.0,3228.0,3130.0,3015.0,2753.0,2664.0,2677.0,16298.0,16205.0,15802.0,15802.0
Maryland,4405.0,4035.0,3542.0,3534.0,3710.0,3200.0,3338.0,37819.0,39347.0,38017.0,38017.0
Maine,155.0,265.0,425.0,527.0,489.0,506.0,510.0,421.0,432.0,430.0,430.0
Michigan,1721.0,1548.0,1721.0,1825.0,1447.0,1501.0,1525.0,15605.0,15732.0,15463.0,15463.0
Minnesota,1521.0,1992.0,1599.0,1865.0,2226.0,1864.0,1646.0,5532.0,5815.0,5333.0,5333.0
Missouri,1775.0,1640.0,1720.0,1758.0,1512.0,1047.0,1294.0,6769.0,6618.0,6803.0,6803.0
Mississippi,270.0,278.0,246.0,264.0,197.0,178.0,143.0,1718.0,1756.0,1295.0,1295.0
Montana,132.0,146.0,146.0,170.0,185.0,178.0,186.0,649.0,592.0,502.0,502.0
North Carolina,2416.0,2911.0,3324.0,3332.0,2794.0,2245.0,1978.0,14761.0,14413.0,15342.0,15342.0
North Dakota,43.0,46.0,77.0,86.0,130.0,156.0,202.0,253.0,275.0,460.0,460.0
Nebraska,456.0,510.0,577.0,801.0,835.0,855.0,960.0,1490.0,1575.0,1570.0,1570.0
New Hampshire,475.0,457.0,432.0,437.0,237.0,265.0,381.0,1296.0,1424.0,1432.0,1432.0
New Jersey,2497.0,2516.0,2882.0,2925.0,2920.0,2557.0,2661.0,78100.0,78324.0,76921.0,76921.0
New Mexico,696.0,597.0,479.0,360.0,453.0,547.0,650.0,1533.0,1663.0,1774.0,1774.0
Nevada,4351.0,4874.0,4892.0,4986.0,5168.0,5640.0,5785.0,10969.0,11739.0,10927.0,10927.0
New York,6443.0,7342.0,8334.0,8780.0,9395.0,9750.0,9498.0,103229.0,102039.0,97855.0,97855.0
Ohio,2472.0,2780.0,2943.0,2788.0,2590.0,2322.0,2526.0,11394.0,11048.0,10772.0,10772.0
Oklahoma,991.0,1308.0,1182.0,1065.0,991.0,1229.0,1097.0,4422.0,4347.0,4275.0,4275.0
Oregon,2224.0,2388.0,2335.0,2338.0,2130.0,2354.0,2392.0,10115.0,9897.0,9968.0,9968.0
Pennsylvania,1931.0,2241.0,2431.0,2470.0,2304.0,2157.0,2002.0,29158.0,29007.0,28390.0,28390.0
