,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,146.0,211.0,202.0,133.0,272.0,105.0,26.0,423.0,385.0,241.0,241.0
Alabama,895.0,958.0,1047.0,1190.0,1306.0,1435.0,1599.0,1127.0,1121.0,1070.0,1070.0
Arkansas,722.0,697.0,716.0,605.0,628.0,882.0,1217.0,560.0,562.0,856.0,856.0
Arizona,1857.0,1941.0,2284.0,2287.0,2380.0,2366.0,2328.0,2669.0,2461.0,2768.0,2768.0
California,37658.0,40888.0,42915.0,44016.0,45609.0,46487.0,47754.0,25430.0,26287.0,28176.0,28176.0
Colorado,1300.0,1691.0,1360.0,1583.0,1613.0,1471.0,1454.0,887.0,1000.0,1588.0,1588.0
Connecticut,5494.0,6447.0,6326.0,6200.0,6282.0,6661.0,6121.0,4708.0,5201.0,5465.0,5465.0
District of Columbia,156.0,225.0,212.0,304.0,261.0,304.0,440.0,426.0,467.0,470.0,470.0
Delaware,1037.0,1410.0,1493.0,1654.0,1746.0,1547.0,1287.0,496.0,846.0,1447.0,1447.0
Florida,13731.0,14492.0,16460.0,15752.0,17383.0,16686.0,17424.0,9818.0,10179.0,11259.0,11259.0
Georgia,8970.0,9964.0,9093.0,8486.0,9407.0,9334.0,10449.0,7885.0,7302.0,8238.0,8238.0
Hawaii,142.0,95.0,120.0,81.0,45.0,36.0,44.0,110.0,83.0,35.0,35.0
Iowa,557.0,629.0,644.0,520.0,806.0,758.0,843.0,693.0,757.0,741.0,741.0
Idaho,85.0,52.0,11.0,17.0,30.0,198.0,180.0,43.0,75.0,70.0,70.0
Illinois,40154.0,41738.0,40448.0,42177.0,42613.0,43617.0,45658.0,6080.0,5801.0,5543.0,5543.0
Indiana,2135.0,2225.0,2498.0,3101.0,3573.0,3599.0,4245.0,1261.0,1566.0,1886.0,1886.0
Kansas,1352.0,1108.0,936.0,900.0,1203.0,1260.0,1261.0,1315.0,1261.0,1216.0,1216.0
Kentucky,1086.0,1196.0,1082.0,1091.0,1245.0,1269.0,1349.0,489.0,459.0,450.0,450.0
Louisiana,1820.0,2060.0,2237.0,2053.0,2223.0,2053.0,2082.0,571.0,527.0,550.0,550.0
Massachusetts,4691.0,5378.0,5854.0,6058.0,6303.0,5916.0,5963.0,5746.0,6530.0,6575.0,6575.0
Maryland,11101.0,12665.0,14806.0,15321.0,16765.0,17286.0,18160.0,8028.0,7867.0,7661.0,7661.0
Maine,147.0,165.0,145.0,243.0,225.0,243.0,285.0,37.0,37.0,70.0,70.0
Michigan,9664.0,11244.0,11125.0,11205.0,11294.0,11602.0,11903.0,17268.0,18532.0,20172.0,20172.0
Minnesota,2483.0,2469.0,2128.0,2634.0,2660.0,2539.0,2774.0,1605.0,1721.0,2013.0,2013.0
Missouri,2629.0,2801.0,2741.0,2830.0,3456.0,4293.0,3939.0,1453.0,1404.0,1365.0,1365.0
Mississippi,709.0,667.0,500.0,485.0,414.0,430.0,452.0,389.0,360.0,442.0,442.0
Montana,29.0,47.0,63.0,56.0,51.0,57.0,5.0,15.0,24.0,26.0,26.0
North Carolina,5583.0,6050.0,5330.0,5333.0,5293.0,6160.0,6344.0,2644.0,2781.0,2719.0,2719.0
North Dakota,143.0,166.0,154.0,156.0,196.0,114.0,37.0,155.0,172.0,165.0,165.0
Nebraska,340.0,359.0,360.0,428.0,389.0,262.0,277.0,391.0,477.0,324.0,324.0
New Hampshire,137.0,264.0,397.0,463.0,717.0,688.0,662.0,429.0,473.0,326.0,326.0
New Jersey,22941.0,25859.0,25904.0,27077.0,27961.0,28814.0,30396.0,23431.0,24926.0,24466.0,24466.0
New Mexico,246.0,217.0,142.0,242.0,183.0,321.0,301.0,433.0,256.0,454.0,454.0
Nevada,800.0,1005.0,1079.0,1356.0,1536.0,1435.0,1486.0,1248.0,1220.0,1246.0,1246.0
New York,57206.0,65328.0,67179.0,67104.0,71425.0,74090.0,74420.0,114031.0,120636.0,120004.0,120004.0
Ohio,4971.0,4912.0,5111.0,5389.0,5132.0,4786.0,4298.0,3012.0,3169.0,3557.0,3557.0
Oklahoma,1596.0,1538.0,1378.0,1488.0,1781.0,1835.0,1680.0,1209.0,1460.0,1660.0,1660.0
Oregon,565.0,504.0,627.0,775.0,813.0,1030.0,947.0,919.0,1075.0,1477.0,1477.0
Pennsylvania,7679.0,8580.0,9018.0,8288.0,8322.0,9586.0,10595.0,9528.0,10814.0,12557.0,12557.0
Puerto Rico,10.0,10.0,11.0,11.0,12.0,0.0,0.0,0.0,41.0,36.0,36.0
Rhode Island,413.0,448.0,370.0,456.0,461.0,616.0,586.0,473.0,463.0,265.0,265.0
South Carolina,873.0,864.0,937.0,995.0,1123.0,1152.0,1254.0,519.0,499.0,476.0,476.0
South Dakota,22.0,31.0,84.0,80.0,65.0,65.0,251.0,58.0,123.0,80.0,80.0
Tennessee,1379.0,1650.0,1745.0,1854.0,1712.0,2248.0,2183.0,1641.0,1398.0,1278.0,1278.0
Texas,47002.0,52684.0,54719.0,56589.0,57662.0,62818.0,66251.0,18722.0,19520.0,20841.0,20841.0
Utah,673.0,780.0,620.0,475.0,547.0,678.0,733.0,572.0,510.0,249.0,249.0
Virginia,20270.0,22357.0,23122.0,24704.0,25200.0,27343.0,29066.0,12386.0,14121.0,14872.0,14872.0
Vermont,231.0,234.0,272.0,210.0,100.0,221.0,167.0,115.0,159.0,155.0,155.0
Washington,2732.0,3080.0,3426.0,3206.0,3398.0,3902.0,3964.0,2382.0,2749.0,3176.0,3176.0
Wisconsin,2271.0,2664.0,2972.0,3136.0,3188.0,3569.0,3740.0,1066.0,1053.0,1209.0,1209.0
West Virginia,573.0,503.0,507.0,602.0,421.0,355.0,389.0,210.0,467.0,479.0,479.0
Wyoming,105.0,81.0,95.0,75.0,84.0,96.0,83.0,98.0,45.0,79.0,79.0
,329511.0,363631.0,373005.0,381474.0,397514.0,414618.0,429352.0,295204.0,311422.0,322543.0,322543.0
