,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,1031.0,1103.0,1071.0,1303.0,1286.0,867.0,1141.0,1139.0,1071.0,1072.0,1072.0
Alabama,5256.0,5716.0,6258.0,6337.0,6839.0,6950.0,7131.0,6946.0,7342.0,7585.0,7585.0
Arkansas,4278.0,4322.0,4638.0,4732.0,4589.0,4749.0,5206.0,4484.0,4536.0,5043.0,5043.0
Arizona,16634.0,17750.0,19254.0,19289.0,20608.0,21774.0,22504.0,23300.0,23423.0,23792.0,23792.0
California,457012.0,484766.0,495824.0,512456.0,521534.0,533437.0,539256.0,542298.0,547165.0,548129.0,548129.0
Colorado,16614.0,18807.0,18707.0,18395.0,20099.0,19738.0,19112.0,19074.0,20197.0,19998.0,19998.0
Connecticut,6589.0,7750.0,7615.0,8193.0,7735.0,7706.0,6994.0,7001.0,7630.0,7957.0,7957.0
District of Columbia,876.0,988.0,1084.0,1095.0,1166.0,762.0,899.0,774.0,1019.0,1068.0,1068.0
Delaware,1223.0,1229.0,1125.0,1207.0,1095.0,1056.0,1390.0,1276.0,1206.0,1244.0,1244.0
Florida,47673.0,53249.0,53742.0,57300.0,56119.0,61028.0,59694.0,59034.0,59824.0,61725.0,61725.0
Georgia,36034.0,39498.0,40561.0,40542.0,41108.0,42254.0,43958.0,44745.0,47037.0,45853.0,45853.0
Hawaii,7690.0,9053.0,8166.0,8201.0,9418.0,9387.0,9389.0,10108.0,10604.0,9415.0,9415.0
Iowa,7452.0,8258.0,8242.0,8456.0,7499.0,7410.0,7397.0,7751.0,7939.0,8549.0,8549.0
Idaho,1141.0,1018.0,877.0,1006.0,1049.0,1020.0,1293.0,1487.0,1274.0,1652.0,1652.0
Illinois,19372.0,19783.0,20998.0,21001.0,20907.0,20452.0,20683.0,20808.0,22523.0,24328.0,24328.0
Indiana,5962.0,5736.0,5694.0,5720.0,4951.0,5506.0,6323.0,6710.0,6425.0,7649.0,7649.0
Kansas,10739.0,11112.0,12137.0,12450.0,12557.0,12594.0,13747.0,12659.0,12796.0,13207.0,13207.0
Kentucky,3722.0,4566.0,4545.0,4840.0,4964.0,4930.0,4374.0,4636.0,4628.0,5093.0,5093.0
Louisiana,23056.0,24370.0,25512.0,26526.0,26185.0,27066.0,29629.0,29570.0,29008.0,28941.0,28941.0
Massachusetts,34557.0,35306.0,37631.0,39744.0,40302.0,40245.0,41140.0,40023.0,40633.0,41976.0,41976.0
Maryland,18446.0,19355.0,20979.0,21325.0,21268.0,21924.0,22485.0,22142.0,21276.0,21932.0,21932.0
Maine,1244.0,1640.0,1697.0,2068.0,1807.0,2214.0,1904.0,1966.0,1213.0,1159.0,1159.0
Michigan,14709.0,15009.0,15354.0,14800.0,15130.0,14884.0,15378.0,15277.0,13747.0,14373.0,14373.0
Minnesota,18233.0,19307.0,20286.0,21262.0,21640.0,21915.0,23092.0,22963.0,22918.0,23106.0,23106.0
Missouri,13121.0,12194.0,11746.0,11702.0,12185.0,12447.0,12814.0,13680.0,13727.0,13451.0,13451.0
Mississippi,4928.0,5313.0,6332.0,5949.0,6564.0,6777.0,6991.0,5951.0,6102.0,5725.0,5725.0
Montana,390.0,340.0,272.0,279.0,133.0,147.0,144.0,235.0,224.0,284.0,284.0
North Carolina,16659.0,19945.0,20456.0,21436.0,22459.0,23270.0,23484.0,23959.0,24155.0,23205.0,23205.0
North Dakota,425.0,521.0,656.0,766.0,819.0,779.0,823.0,524.0,525.0,567.0,567.0
Nebraska,6224.0,6596.0,6952.0,7622.0,7616.0,7955.0,8289.0,7908.0,7550.0,6961.0,6961.0
New Hampshire,1312.0,1969.0,1832.0,1887.0,2087.0,2067.0,1675.0,1909.0,2121.0,2374.0,2374.0
