,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,0.0,0.0,0.0,0.0,0.0,4.0,3.0,249.0,339.0,337.0,337.0
Alabama,23.0,29.0,9.0,20.0,18.0,45.0,48.0,878.0,1013.0,905.0,905.0
Arkansas,33.0,22.0,0.0,0.0,0.0,17.0,23.0,1069.0,908.0,844.0,844.0
Arizona,358.0,414.0,428.0,426.0,445.0,420.0,449.0,2949.0,2992.0,2973.0,2973.0
California,5129.0,4883.0,4494.0,3862.0,3272.0,3419.0,3062.0,28250.0,27951.0,26716.0,26716.0
Colorado,138.0,123.0,140.0,120.0,135.0,167.0,165.0,3252.0,2993.0,3042.0,3042.0
Connecticut,643.0,671.0,642.0,430.0,353.0,367.0,329.0,2240.0,2058.0,2137.0,2137.0
District of Columbia,80.0,90.0,87.0,74.0,7.0,17.0,18.0,507.0,536.0,519.0,519.0
Delaware,120.0,88.0,47.0,70.0,75.0,65.0,67.0,1435.0,1373.0,1676.0,1676.0
Florida,7884.0,7153.0,6453.0,6298.0,5785.0,5181.0,4215.0,17810.0,16875.0,17578.0,17578.0
Georgia,318.0,371.0,470.0,554.0,551.0,499.0,414.0,5516.0,5542.0,4284.0,4284.0
Hawaii,42.0,39.0,48.0,36.0,39.0,40.0,40.0,336.0,231.0,304.0,304.0
Iowa,60.0,122.0,103.0,177.0,253.0,187.0,219.0,4052.0,4334.0,4543.0,4543.0
Idaho,13.0,10.0,11.0,11.0,20.0,12.0,12.0,855.0,824.0,819.0,819.0
Illinois,2350.0,1975.0,1830.0,1869.0,1372.0,1593.0,1242.0,7110.0,6605.0,6280.0,6280.0
Indiana,77.0,156.0,180.0,219.0,185.0,127.0,55.0,25945.0,26562.0,27048.0,27048.0
Kansas,186.0,164.0,90.0,68.0,70.0,67.0,20.0,1997.0,2152.0,2056.0,2056.0
Kentucky,50.0,58.0,43.0,120.0,109.0,156.0,129.0,6167.0,6278.0,6100.0,6100.0
Louisiana,27.0,39.0,47.0,60.0,52.0,54.0,47.0,744.0,753.0,643.0,643.0
Massachusetts,1057.0,948.0,1026.0,901.0,785.0,668.0,711.0,4154.0,3986.0,3877.0,3877.0
Maryland,1223.0,1399.0,1213.0,1195.0,1003.0,1033.0,841.0,4550.0,3988.0,3955.0,3955.0
Maine,17.0,12.0,1.0,11.0,42.0,46.0,40.0,697.0,612.0,694.0,694.0
Michigan,1427.0,1002.0,988.0,668.0,579.0,546.0,702.0,9899.0,10030.0,10822.0,10822.0
Minnesota,302.0,255.0,385.0,362.0,145.0,202.0,267.0,2901.0,2915.0,3005.0,3005.0
Missouri,263.0,283.0,214.0,251.0,221.0,174.0,163.0,10026.0,10043.0,10553.0,10553.0
Mississippi,0.0,24.0,50.0,40.0,45.0,49.0,29.0,487.0,676.0,653.0,653.0
Montana,0.0,0.0,4.0,3.0,35.0,52.0,64.0,753.0,687.0,752.0,752.0
North Carolina,142.0,176.0,98.0,91.0,74.0,117.0,99.0,3572.0,4038.0,4107.0,4107.0
North Dakota,7.0,9.0,6.0,0.0,0.0,0.0,2.0,326.0,526.0,454.0,454.0
Nebraska,12.0,21.0,80.0,118.0,148.0,120.0,99.0,460.0,497.0,583.0,583.0
New Hampshire,15.0,10.0,7.0,6.0,14.0,15.0,16.0,664.0,747.0,687.0,687.0
New Jersey,6403.0,6915.0,6318.0,6047.0,6587.0,6433.0,6473.0,10147.0,9975.0,9413.0,9413.0
New Mexico,118.0,132.0,161.0,164.0,125.0,63.0,57.0,877.0,765.0,681.0,681.0
Nevada,283.0,286.0,347.0,435.0,367.0,381.0,324.0,1504.0,1390.0,1782.0,1782.0
New York,125780.0,121860.0,124417.0,127059.0,128760.0,131883.0,135836.0,158211.0,159439.0,163024.0,163024.0
Ohio,935.0,956.0,810.0,770.0,689.0,623.0,518.0,46234.0,48996.0,51220.0,51220.0
Oklahoma,57.0,73.0,56.0,51.0,48.0,60.0,36.0,1201.0,1146.0,1348.0,1348.0
Oregon,130.0,109.0,84.0,68.0,154.0,174.0,188.0,2951.0,3024.0,3008.0,3008.0
Pennsylvania,2095.0,1872.0,1994.0,1997.0,1867.0,1706.0,1521.0,69439.0,71145.0,74189.0,74189.0
Puerto Rico,34.0,22.0,38.0,0.0,0.0,0.0,0.0,48.0,65.0,53.0,53.0
Rhode Island,65.0,77.0,93.0,98.0,66.0,46.0,32.0,199.0,163.0,138.0,138.0
South Carolina,122.0,115.0,108.0,89.0,93.0,65.0,69.0,1328.0,1489.0,1590.0,1590.0
South Dakota,9.0,8.0,18.0,15.0,18.0,17.0,19.0,304.0,393.0,395.0,395.0
Tennessee,89.0,67.0,36.0,23.0,45.0,53.0,77.0,4000.0,3647.0,3630.0,3630.0
Texas,571.0,468.0,436.0,396.0,231.0,262.0,389.0,9426.0,10325.0,10836.0,10836.0
Utah,17.0,6.0,5.0,4.0,3.0,0.0,0.0,2019.0,2012.0,1973.0,1973.0
Virginia,247.0,322.0,322.0,390.0,250.0,203.0,119.0,4351.0,4510.0,4277.0,4277.0
Vermont,4.0,0.0,11.0,12.0,71.0,76.0,71.0,574.0,580.0,535.0,535.0
Washington,195.0,238.0,263.0,214.0,198.0,211.0,163.0,4457.0,4871.0,4708.0,4708.0
Wisconsin,258.0,268.0,264.0,242.0,178.0,226.0,200.0,10980.0,10775.0,10883.0,10883.0
West Virginia,0.0,0.0,0.0,0.0,0.0,2.0,13.0,294.0,217.0,415.0,415.0
Wyoming,2.0,2.0,2.0,2.0,0.0,0.0,0.0,130.0,131.0,178.0,178.0
,159410.0,154342.0,154977.0,156136.0,155582.0,157943.0,159695.0,478524.0,484122.0,493222.0,493222.0
