State,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Connecticut,2634487.0,314619.0,10899.0,643.0,38282.0,37121.0,11254.0,9210.0,11057.0,35263.0,5091.0,760.0,1555.0,5095.0,8251.0,5494.0,22230.0,3252.0,6342.0,2280.0,226.0,1087.0,2565.0,6589.0,7454.0,70.0,2950.0,5648.0,2378.0,9,2009
Connecticut,2652446.0,339414.0,12307.0,671.0,37918.0,38371.0,11907.0,9552.0,11851.0,37286.0,5090.0,811.0,1560.0,5293.0,9815.0,6447.0,23818.0,3333.0,6339.0,1979.0,161.0,1371.0,2656.0,7750.0,8113.0,58.0,2809.0,5735.0,2379.0,9,2010
Connecticut,2656735.0,348910.0,12937.0,642.0,37553.0,37306.0,12196.0,9407.0,10937.0,37159.0,4225.0,687.0,1539.0,5289.0,9591.0,6326.0,25215.0,3505.0,6240.0,2625.0,72.0,1478.0,2823.0,7615.0,7954.0,38.0,3042.0,6891.0,2367.0,9,2011
Connecticut,2656382.0,360746.0,13811.0,430.0,37151.0,36815.0,12066.0,8794.0,10922.0,37454.0,4261.0,634.0,1558.0,5882.0,10895.0,6200.0,25220.0,3248.0,6033.0,2190.0,0.0,1776.0,3229.0,8193.0,8076.0,26.0,3038.0,8394.0,2634.0,9,2012
Connecticut,2658925.0,371024.0,14081.0,353.0,36571.0,37016.0,11533.0,8670.0,10684.0,37704.0,4160.0,731.0,1488.0,5647.0,11430.0,6282.0,27002.0,3391.0,6456.0,2456.0,9.0,1401.0,2981.0,7735.0,8539.0,0.0,2764.0,9271.0,2762.0,9,2013
Connecticut,2663586.0,377238.0,14087.0,367.0,34973.0,35901.0,10769.0,8843.0,10624.0,37100.0,4787.0,773.0,1815.0,5248.0,12043.0,6661.0,28762.0,3265.0,6385.0,2461.0,9.0,1248.0,3409.0,7706.0,9146.0,0.0,2687.0,10102.0,2567.0,9,2014
Connecticut,2655586.0,385971.0,15723.0,329.0,33268.0,36016.0,10743.0,8840.0,9959.0,35829.0,5086.0,587.0,1932.0,6383.0,12704.0,6121.0,29268.0,3459.0,6540.0,2939.0,28.0,1089.0,2912.0,6994.0,9245.0,0.0,2750.0,10835.0,2682.0,9,2015
Delaware,712317.0,48254.0,1387.0,120.0,2733.0,559.0,3160.0,1055.0,892.0,1131.0,392.0,29.0,458.0,1538.0,2004.0,1037.0,4532.0,688.0,1516.0,7.0,0.0,164.0,190.0,1223.0,2051.0,0.0,255.0,1854.0,152.0,10,2009
Delaware,724189.0,54227.0,1869.0,88.0,2653.0,513.0,3356.0,1257.0,793.0,1229.0,156.0,27.0,424.0,1976.0,1786.0,1410.0,5365.0,709.0,1178.0,63.0,0.0,280.0,103.0,1229.0,2554.0,0.0,256.0,1722.0,146.0,10,2010
Delaware,731885.0,54900.0,2094.0,47.0,2709.0,557.0,3598.0,1254.0,981.0,1183.0,165.0,5.0,376.0,2062.0,2003.0,1493.0,5348.0,695.0,1453.0,38.0,0.0,280.0,131.0,1125.0,2552.0,3.0,208.0,1252.0,158.0,10,2011
Delaware,739923.0,56025.0,1985.0,70.0,2379.0,697.0,3361.0,1244.0,949.0,964.0,227.0,69.0,287.0,2020.0,1946.0,1654.0,5754.0,650.0,1515.0,43.0,0.0,247.0,82.0,1207.0,2474.0,2.0,154.0,1254.0,174.0,10,2012
Delaware,745175.0,57255.0,2562.0,75.0,2282.0,696.0,3191.0,1288.0,999.0,1014.0,216.0,62.0,262.0,2091.0,1895.0,1746.0,6110.0,562.0,1598.0,49.0,0.0,183.0,42.0,1095.0,2293.0,0.0,141.0,1628.0,122.0,10,2013
Delaware,751689.0,59204.0,2696.0,65.0,2194.0,671.0,2748.0,1197.0,868.0,1147.0,212.0,58.0,460.0,2258.0,1934.0,1547.0,6291.0,591.0,1566.0,93.0,0.0,144.0,83.0,1056.0,2274.0,0.0,63.0,1645.0,93.0,10,2014
Delaware,758393.0,59814.0,2354.0,67.0,2133.0,731.0,2381.0,1027.0,944.0,941.0,267.0,74.0,503.0,2241.0,2570.0,1287.0,6460.0,511.0,1972.0,163.0,30.0,116.0,105.0,1390.0,2205.0,0.0,35.0,1792.0,105.0,10,2015
Florida,12663966.0,3221199.0,295535.0,7884.0,56527.0,86457.0,73568.0,22217.0,33373.0,24951.0,15357.0,2466.0,8746.0,13512.0,19009.0,13731.0,46882.0,11604.0,19211.0,4501.0,1407.0,9455.0,4361.0,47673.0,52141.0,94.0,11353.0,40076.0,18743.0,12,2009
Florida,12786704.0,3408312.0,320427.0,7153.0,53693.0,87403.0,72261.0,21803.0,32148.0,23934.0,16517.0,2490.0,8769.0,16483.0,20157.0,14492.0,50312.0,11789.0,20336.0,4827.0,1450.0,10277.0,4602.0,53249.0,55071.0,75.0,10627.0,37285.0,19687.0,12,2010
