,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,192.0,227.0,172.0,196.0,290.0,292.0,233.0,71.0,51.0,80.0,80.0
Alabama,3193.0,3471.0,3169.0,3238.0,3236.0,2889.0,2867.0,136.0,196.0,181.0,181.0
Arkansas,762.0,1042.0,1142.0,1417.0,1413.0,1421.0,1423.0,314.0,228.0,317.0,317.0
Arizona,7672.0,8130.0,7699.0,7802.0,8474.0,8437.0,9538.0,2213.0,2687.0,2829.0,2829.0
California,118625.0,130387.0,136718.0,145762.0,149301.0,157604.0,166255.0,134758.0,138203.0,139919.0,139919.0
Colorado,4134.0,4225.0,4112.0,4327.0,4171.0,4834.0,5433.0,1293.0,1347.0,1295.0,1295.0
Connecticut,8251.0,9815.0,9591.0,10895.0,11430.0,12043.0,12704.0,1597.0,1454.0,1529.0,1529.0
District of Columbia,854.0,1104.0,1048.0,1171.0,1245.0,1009.0,1380.0,73.0,155.0,182.0,182.0
Delaware,2004.0,1786.0,2003.0,1946.0,1895.0,1934.0,2570.0,215.0,332.0,271.0,271.0
Florida,19009.0,20157.0,20453.0,19923.0,19848.0,20840.0,22989.0,2643.0,3340.0,2916.0,2916.0
Georgia,18496.0,19932.0,20206.0,20510.0,21744.0,23682.0,25824.0,1971.0,1979.0,2215.0,2215.0
Hawaii,262.0,252.0,323.0,467.0,410.0,522.0,543.0,36.0,40.0,29.0,29.0
Iowa,1678.0,1758.0,2539.0,2781.0,2628.0,3136.0,3357.0,324.0,355.0,279.0,279.0
Idaho,521.0,360.0,416.0,362.0,296.0,530.0,630.0,121.0,126.0,246.0,246.0
Illinois,32344.0,34618.0,36971.0,38555.0,37982.0,40978.0,42361.0,6287.0,5637.0,6258.0,6258.0
Indiana,4610.0,6017.0,5752.0,6407.0,7225.0,7473.0,7077.0,5632.0,5818.0,5662.0,5662.0
Kansas,2253.0,2609.0,2579.0,2677.0,2919.0,2975.0,3257.0,811.0,908.0,1150.0,1150.0
