,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,88.0,73.0,90.0,77.0,90.0,189.0,153.0,516.0,420.0,457.0,457.0
Alabama,154.0,154.0,135.0,132.0,145.0,119.0,227.0,6049.0,6459.0,5806.0,5806.0
Arkansas,206.0,185.0,225.0,199.0,94.0,56.0,51.0,2670.0,2942.0,2516.0,2516.0
Arizona,1904.0,1808.0,1703.0,1710.0,1499.0,1629.0,1466.0,23052.0,24275.0,25342.0,25342.0
California,15014.0,14122.0,13555.0,13072.0,13236.0,12498.0,12448.0,173504.0,178553.0,183194.0,183194.0
Colorado,1246.0,1215.0,1221.0,1307.0,1322.0,1358.0,1330.0,9990.0,10762.0,11666.0,11666.0
Connecticut,2950.0,2809.0,3042.0,3038.0,2764.0,2687.0,2750.0,11704.0,11374.0,11903.0,11903.0
District of Columbia,169.0,169.0,212.0,178.0,275.0,219.0,179.0,2127.0,2172.0,2375.0,2375.0
Delaware,255.0,256.0,208.0,154.0,141.0,63.0,35.0,1521.0,1749.0,1702.0,1702.0
Florida,11353.0,10627.0,10973.0,10686.0,10658.0,10532.0,10249.0,56143.0,54386.0,58147.0,58147.0
Georgia,838.0,886.0,987.0,954.0,956.0,1054.0,1056.0,17333.0,18768.0,18798.0,18798.0
Hawaii,102.0,119.0,114.0,123.0,139.0,136.0,129.0,628.0,660.0,812.0,812.0
Iowa,104.0,128.0,130.0,96.0,82.0,109.0,117.0,5829.0,6462.0,7986.0,7986.0
Idaho,205.0,230.0,253.0,114.0,108.0,121.0,88.0,2569.0,2659.0,3431.0,3431.0
Illinois,3539.0,3405.0,3031.0,3062.0,2928.0,2695.0,3016.0,61598.0,67644.0,68241.0,68241.0
Indiana,1238.0,1078.0,899.0,934.0,995.0,885.0,911.0,10865.0,10399.0,11778.0,11778.0
Kansas,90.0,142.0,168.0,123.0,172.0,194.0,221.0,4824.0,4872.0,4761.0,4761.0
Kentucky,332.0,131.0,224.0,257.0,299.0,305.0,288.0,8399.0,8371.0,8096.0,8096.0
Louisiana,305.0,356.0,342.0,291.0,303.0,353.0,183.0,8974.0,9426.0,9834.0,9834.0
Massachusetts,1741.0,1896.0,1959.0,1733.0,1518.0,1571.0,1497.0,34654.0,33313.0,35090.0,35090.0
Maryland,1839.0,1925.0,2164.0,1947.0,2057.0,1895.0,1664.0,16533.0,18125.0,18158.0,18158.0
Maine,46.0,48.0,26.0,27.0,25.0,23.0,39.0,2544.0,2302.0,2508.0,2508.0
Michigan,3136.0,2985.0,2881.0,2681.0,2510.0,2363.0,2269.0,128073.0,135336.0,138749.0,138749.0
Minnesota,630.0,592.0,569.0,558.0,467.0,449.0,517.0,12422.0,12724.0,13635.0,13635.0
Missouri,838.0,928.0,916.0,915.0,874.0,1131.0,864.0,11049.0,11479.0,12539.0,12539.0
Mississippi,91.0,77.0,89.0,65.0,32.0,29.0,17.0,2114.0,2828.0,2920.0,2920.0
Montana,94.0,111.0,60.0,57.0,57.0,73.0,73.0,497.0,457.0,425.0,425.0
North Carolina,962.0,979.0,1367.0,1187.0,1262.0,1740.0,1663.0,20745.0,22187.0,23405.0,23405.0
North Dakota,23.0,77.0,73.0,80.0,94.0,87.0,38.0,691.0,946.0,1411.0,1411.0
Nebraska,87.0,77.0,50.0,42.0,30.0,12.0,11.0,5170.0,5299.0,5387.0,5387.0
New Hampshire,241.0,181.0,203.0,141.0,187.0,286.0,357.0,2732.0,3396.0,3127.0,3127.0
New Jersey,7271.0,6975.0,7049.0,6143.0,6296.0,6363.0,6167.0,67536.0,67451.0,66919.0,66919.0
New Mexico,386.0,384.0,340.0,364.0,375.0,213.0,188.0,3384.0,3576.0,3871.0,3871.0
Nevada,1641.0,1667.0,1700.0,1691.0,1792.0,1550.0,1310.0,6021.0,5698.0,4977.0,4977.0
New York,14359.0,13122.0,12776.0,12284.0,12314.0,12015.0,11641.0,94364.0,97158.0,102898.0,102898.0
Ohio,8400.0,8496.0,7872.0,7767.0,7144.0,6820.0,6399.0,40957.0,42618.0,44747.0,44747.0
Oklahoma,221.0,219.0,198.0,226.0,176.0,126.0,156.0,5315.0,5093.0,5652.0,5652.0
Oregon,913.0,804.0,740.0,1003.0,859.0,833.0,707.0,8613.0,8056.0,8069.0,8069.0
Pennsylvania,4550.0,4150.0,4119.0,3995.0,3857.0,3630.0,3424.0,35016.0,36129.0,35767.0,35767.0
Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,448.0,380.0,380.0
Rhode Island,86.0,166.0,135.0,129.0,161.0,238.0,208.0,3376.0,3035.0,3010.0,3010.0
South Carolina,748.0,726.0,780.0,743.0,593.0,624.0,533.0,5061.0,5326.0,4724.0,4724.0
South Dakota,55.0,46.0,46.0,43.0,42.0,44.0,132.0,732.0,723.0,997.0,997.0
Tennessee,546.0,409.0,378.0,395.0,512.0,539.0,578.0,21176.0,23463.0,24200.0,24200.0
Texas,2030.0,2030.0,2488.0,2994.0,2902.0,3138.0,3308.0,68142.0,77686.0,86165.0,86165.0
Utah,338.0,295.0,286.0,199.0,314.0,359.0,343.0,4258.0,4257.0,4577.0,4577.0
Virginia,1825.0,1962.0,1942.0,1797.0,1486.0,1437.0,1550.0,50409.0,50869.0,53946.0,53946.0
Vermont,122.0,87.0,78.0,49.0,55.0,39.0,82.0,835.0,759.0,652.0,652.0
Washington,1464.0,1477.0,1514.0,1494.0,1410.0,1389.0,1335.0,15947.0,15944.0,16449.0,16449.0
Wisconsin,553.0,513.0,503.0,491.0,544.0,582.0,610.0,7822.0,7899.0,8233.0,8233.0
West Virginia,174.0,140.0,138.0,186.0,179.0,141.0,150.0,1957.0,2018.0,2373.0,2373.0
Wyoming,27.0,8.0,25.0,18.0,76.0,73.0,92.0,368.0,415.0,416.0,416.0
,95529.0,91445.0,90976.0,87951.0,86406.0,85014.0,82819.0,1087291.0,1129366.0,1173221.0,1173221.0
