,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,1499.0,1846.0,1674.0,1902.0,1752.0,1912.0,1498.0,45.0,46.0,32.0,32.0
Alabama,2967.0,3170.0,2676.0,2306.0,1814.0,1586.0,1649.0,606.0,597.0,475.0,475.0
Arkansas,962.0,979.0,999.0,978.0,942.0,941.0,990.0,832.0,949.0,927.0,927.0
Arizona,6584.0,6526.0,6151.0,5870.0,6237.0,6150.0,6473.0,4189.0,5238.0,5467.0,5467.0
California,146321.0,147373.0,144375.0,141329.0,140575.0,141009.0,142358.0,49906.0,54077.0,56036.0,56036.0
Colorado,6051.0,6177.0,5455.0,5671.0,6071.0,6176.0,6471.0,2540.0,3183.0,3155.0,3155.0
Connecticut,3252.0,3333.0,3505.0,3248.0,3391.0,3265.0,3459.0,5498.0,5723.0,6225.0,6225.0
District of Columbia,760.0,751.0,817.0,650.0,820.0,948.0,895.0,112.0,97.0,208.0,208.0
Delaware,688.0,709.0,695.0,650.0,562.0,591.0,511.0,1479.0,2054.0,1790.0,1790.0
Florida,11604.0,11789.0,11329.0,12169.0,12041.0,12020.0,12190.0,6348.0,7015.0,8236.0,8236.0
Georgia,8110.0,8350.0,8057.0,8264.0,8474.0,8397.0,8206.0,8618.0,10175.0,10986.0,10986.0
Hawaii,47505.0,48016.0,47717.0,45621.0,45633.0,45356.0,45190.0,122.0,175.0,184.0,184.0
Iowa,1445.0,1358.0,1127.0,1158.0,1142.0,1416.0,1379.0,1325.0,1195.0,1075.0,1075.0
Idaho,1880.0,1956.0,1809.0,1884.0,1595.0,1446.0,1131.0,308.0,352.0,332.0,332.0
Illinois,12759.0,12952.0,12602.0,12362.0,12611.0,12494.0,12785.0,13000.0,13228.0,14400.0,14400.0
Indiana,5647.0,5282.0,5284.0,5081.0,5857.0,6052.0,5658.0,2569.0,2898.0,3388.0,3388.0
Kansas,1617.0,1631.0,1785.0,1723.0,1918.0,1987.0,2283.0,1540.0,1415.0,1719.0,1719.0
Kentucky,5145.0,4874.0,4858.0,4736.0,4813.0,4688.0,4415.0,933.0,1109.0,1228.0,1228.0
Louisiana,1637.0,1882.0,2017.0,2125.0,2079.0,2175.0,1899.0,943.0,776.0,680.0,680.0
Massachusetts,8929.0,9206.0,8300.0,8081.0,8408.0,8422.0,8490.0,8860.0,9374.0,10001.0,10001.0
Maryland,6371.0,7013.0,6398.0,6277.0,6249.0,6570.0,6341.0,7265.0,7150.0,6930.0,6930.0
Maine,722.0,599.0,734.0,787.0,839.0,714.0,715.0,129.0,86.0,161.0,161.0
Michigan,13921.0,14061.0,12759.0,12046.0,12022.0,11192.0,11363.0,7179.0,8179.0,8763.0,8763.0
Minnesota,3354.0,3798.0,3891.0,3616.0,3743.0,3450.0,3225.0,4103.0,4265.0,4257.0,4257.0
Missouri,2708.0,2995.0,3091.0,2988.0,2818.0,2628.0,2789.0,2071.0,2025.0,1983.0,1983.0
Mississippi,1438.0,754.0,548.0,709.0,778.0,689.0,865.0,72.0,160.0,286.0,286.0
Montana,606.0,622.0,718.0,794.0,715.0,752.0,638.0,0.0,0.0,0.0,0.0
North Carolina,6268.0,6765.0,6307.0,5915.0,5717.0,5767.0,5338.0,6852.0,7785.0,8649.0,8649.0
North Dakota,222.0,587.0,534.0,351.0,391.0,405.0,261.0,54.0,49.0,42.0,42.0
Nebraska,1131.0,1265.0,1182.0,1097.0,1075.0,1082.0,1177.0,588.0,803.0,869.0,869.0
New Hampshire,585.0,609.0,586.0,715.0,795.0,755.0,745.0,1383.0,1340.0,1459.0,1459.0
New Jersey,11631.0,11819.0,11595.0,12408.0,12032.0,11442.0,10623.0,22170.0,24295.0,25921.0,25921.0
New Mexico,1448.0,1747.0,1952.0,1972.0,1941.0,1974.0,1716.0,160.0,131.0,166.0,166.0
Nevada,6306.0,6178.0,5649.0,5683.0,5811.0,5958.0,6355.0,768.0,817.0,870.0,870.0
New York,33671.0,35850.0,35215.0,34970.0,34294.0,34802.0,34489.0,10088.0,10556.0,10092.0,10092.0
Ohio,8992.0,9044.0,9464.0,9647.0,9510.0,9929.0,9777.0,6518.0,6639.0,6865.0,6865.0
Oklahoma,2007.0,1750.0,1623.0,1960.0,2007.0,1931.0,1882.0,928.0,838.0,1024.0,1024.0
Oregon,10294.0,10689.0,9938.0,9801.0,9313.0,9610.0,9556.0,1607.0,1951.0,2067.0,2067.0
Pennsylvania,7041.0,6832.0,6977.0,6398.0,6546.0,6528.0,6826.0,6715.0,7183.0,8184.0,8184.0
Puerto Rico,54.0,45.0,82.0,118.0,122.0,106.0,97.0,0.0,0.0,0.0,0.0
Rhode Island,615.0,566.0,389.0,494.0,498.0,643.0,740.0,427.0,737.0,893.0,893.0
South Carolina,2354.0,2500.0,2753.0,2853.0,2824.0,2594.0,2574.0,1078.0,1163.0,1336.0,1336.0
South Dakota,358.0,340.0,345.0,211.0,288.0,229.0,208.0,49.0,57.0,36.0,36.0
Tennessee,4370.0,4319.0,4194.0,4178.0,3845.0,4148.0,3920.0,1354.0,2015.0,2133.0,2133.0
Texas,14771.0,15175.0,15399.0,15872.0,15675.0,15688.0,16312.0,24300.0,27274.0,31265.0,31265.0
Utah,4611.0,4443.0,4585.0,4652.0,4375.0,4598.0,4920.0,1238.0,1377.0,1228.0,1228.0
Virginia,9784.0,9680.0,9683.0,9960.0,10160.0,9836.0,9958.0,9988.0,10319.0,10960.0,10960.0
Vermont,432.0,291.0,287.0,332.0,288.0,277.0,311.0,36.0,0.0,0.0,0.0
Washington,23793.0,24766.0,24224.0,24991.0,25418.0,24300.0,25198.0,8944.0,8893.0,9045.0,9045.0
Wisconsin,2211.0,2023.0,1850.0,1835.0,1937.0,2077.0,2294.0,2501.0,2545.0,2409.0,2409.0
West Virginia,991.0,799.0,713.0,613.0,605.0,632.0,682.0,253.0,207.0,218.0,218.0
Wyoming,324.0,370.0,292.0,292.0,231.0,212.0,231.0,108.0,116.0,89.0,89.0
,458746.0,466454.0,455189.0,450343.0,449597.0,448549.0,450056.0,238699.0,258631.0,274744.0,274744.0
