,2009,2015,Net Change,Percentage
English only,34788849.0,36516001.0,1727152.0,4.964671294528888
Spanish,11954786.0,13076716.0,1121930.0,9.384776942054838
Chinese,1091878.0,1327165.0,235287.0,21.54883604212192
Tagalog,889116.0,1024510.0,135394.0,15.227934262795856
Vietnamese,559016.0,666489.0,107473.0,19.225388897634417
Hindi,144667.0,205246.0,60579.0,41.87478830693939
Arabic,159683.0,219611.0,59928.0,37.52935503466242
Korean,436646.0,479538.0,42892.0,9.82306032804606
Russian,227354.0,253718.0,26364.0,11.5960132656562
Armenian,176758.0,200116.0,23358.0,13.214677694927529
Persian,197509.0,219810.0,22301.0,11.291131037066664
Mon-Khmer,87274.0,102670.0,15396.0,17.640992735522605
Hmong,68095.0,81756.0,13661.0,20.061678537337542
Urdu,43900.0,56549.0,12649.0,28.813211845102504
Gujarati,46249.0,54734.0,8485.0,18.346342623624295
Thai,58835.0,66843.0,8008.0,13.610945865556218
Portuguese,90579.0,95925.0,5346.0,5.902030271917332
Hebrew,46771.0,50777.0,4006.0,8.565136516217315
French Creole,8028.0,9994.0,1966.0,24.4892874937718
Laotian,52966.0,54448.0,1482.0,2.7980213722010348
Greek,33028.0,33730.0,702.0,2.125469298776795
Yiddish,6137.0,4229.0,-1908.0,-31.09010917386345
Hungarian,21126.0,17548.0,-3578.0,-16.93647637981634
Serbo-Croatian,43263.0,39602.0,-3661.0,-8.46219633404988
Polish,38231.0,34352.0,-3879.0,-10.146216421228846
Navajo,91628.0,86025.0,-5603.0,-6.11494303051469
Japanese,242302.0,236628.0,-5674.0,-2.341705805152248
Italian,91638.0,81014.0,-10624.0,-11.593443767869225
German,209773.0,189609.0,-20164.0,-9.612295195282519
