Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Alaska,533451.0,22735.0,177.0,0.0,376.0,419.0,3689.0,75.0,3688.0,531.0,142.0,6.0,120.0,0.0,192.0,146.0,1032.0,1499.0,3896.0,184.0,930.0,805.0,780.0,1031.0,12897.0,166.0,88.0,500.0,150.0,2,2009
Alabama,4137110.0,113179.0,438.0,23.0,1796.0,1294.0,10230.0,1003.0,1467.0,453.0,416.0,18.0,994.0,1248.0,3193.0,895.0,7766.0,2967.0,5450.0,804.0,37.0,876.0,921.0,5256.0,2141.0,39.0,154.0,4090.0,325.0,1,2009
Arkansas,2472084.0,122443.0,56.0,33.0,1091.0,697.0,5997.0,241.0,629.0,270.0,474.0,17.0,337.0,558.0,762.0,722.0,2913.0,962.0,2039.0,0.0,1739.0,286.0,3101.0,4278.0,2131.0,17.0,206.0,2053.0,240.0,5,2009
Arizona,4200786.0,1261134.0,349.0,358.0,7982.0,3032.0,22953.0,2628.0,7888.0,6896.0,9711.0,1472.0,5925.0,3313.0,7672.0,1857.0,22529.0,6584.0,9467.0,1446.0,36.0,2157.0,1977.0,16634.0,16083.0,87943.0,1904.0,12464.0,1385.0,4,2009
California,19409485.0,9462163.0,5847.0,5129.0,66665.0,76778.0,118367.0,24310.0,142981.0,21529.0,22717.0,171558.0,177218.0,39874.0,118625.0,37658.0,931599.0,146321.0,339426.0,70374.0,63284.0,42824.0,36245.0,457012.0,699611.0,1573.0,15014.0,128659.0,39519.0,6,2009
Colorado,3743328.0,532705.0,638.0,138.0,5695.0,2797.0,28699.0,2610.0,14189.0,4439.0,2994.0,570.0,3430.0,602.0,4134.0,1300.0,16346.0,6051.0,14592.0,1663.0,3389.0,2392.0,1812.0,16614.0,7056.0,2509.0,1246.0,7609.0,1961.0,8,2009
Connecticut,2634487.0,314619.0,10899.0,643.0,38282.0,37121.0,11254.0,9210.0,11057.0,35263.0,5091.0,760.0,1555.0,5095.0,8251.0,5494.0,22230.0,3252.0,6342.0,2280.0,226.0,1087.0,2565.0,6589.0,7454.0,70.0,2950.0,5648.0,2378.0,9,2009
District of Columbia,474092.0,40741.0,755.0,80.0,1323.0,1062.0,2304.0,372.0,1143.0,699.0,478.0,74.0,692.0,185.0,854.0,156.0,2575.0,760.0,879.0,42.0,0.0,271.0,16.0,876.0,1552.0,0.0,169.0,1262.0,387.0,11,2009
Delaware,712317.0,48254.0,1387.0,120.0,2733.0,559.0,3160.0,1055.0,892.0,1131.0,392.0,29.0,458.0,1538.0,2004.0,1037.0,4532.0,688.0,1516.0,7.0,0.0,164.0,190.0,1223.0,2051.0,0.0,255.0,1854.0,152.0,10,2009
Florida,12663966.0,3221199.0,295535.0,7884.0,56527.0,86457.0,73568.0,22217.0,33373.0,24951.0,15357.0,2466.0,8746.0,13512.0,19009.0,13731.0,46882.0,11604.0,19211.0,4501.0,1407.0,9455.0,4361.0,47673.0,52141.0,94.0,11353.0,40076.0,18743.0,12,2009
Georgia,7713250.0,618059.0,12978.0,318.0,5528.0,15303.0,27015.0,2706.0,13841.0,3444.0,8017.0,593.0,7871.0,14976.0,18496.0,8970.0,33838.0,8110.0,39172.0,3876.0,2514.0,2792.0,4796.0,36034.0,10300.0,144.0,838.0,11555.0,2899.0,13,2009
Hawaii,902493.0,25229.0,312.0,42.0,923.0,1571.0,4099.0,345.0,632.0,487.0,274.0,33.0,283.0,15.0,262.0,142.0,28127.0,47505.0,17117.0,220.0,41.0,2033.0,1738.0,7690.0,50858.0,63.0,102.0,443.0,187.0,15,2009
Iowa,2603189.0,98953.0,136.0,60.0,1072.0,892.0,13073.0,497.0,1951.0,910.0,7441.0,41.0,486.0,342.0,1678.0,557.0,6455.0,1445.0,2486.0,334.0,189.0,1255.0,3437.0,7452.0,2181.0,28.0,104.0,2433.0,180.0,19,2009
