Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Alabama,4137110.0,113179.0,438.0,23.0,1796.0,1294.0,10230.0,1003.0,1467.0,453.0,416.0,18.0,994.0,1248.0,3193.0,895.0,7766.0,2967.0,5450.0,804.0,37.0,876.0,921.0,5256.0,2141.0,39.0,154.0,4090.0,325.0,1,2009
Alabama,4194045.0,137617.0,568.0,29.0,1638.0,1293.0,10017.0,967.0,1327.0,341.0,479.0,14.0,1303.0,1206.0,3471.0,958.0,8244.0,3170.0,5860.0,769.0,37.0,757.0,904.0,5716.0,2546.0,45.0,154.0,3889.0,510.0,1,2010
Alabama,4219401.0,144390.0,293.0,9.0,1821.0,1294.0,10335.0,841.0,1305.0,290.0,372.0,14.0,1161.0,1580.0,3169.0,1047.0,8406.0,2676.0,6232.0,727.0,99.0,962.0,726.0,6258.0,2947.0,30.0,135.0,3656.0,593.0,1,2011
Alabama,4241429.0,149070.0,338.0,20.0,1790.0,1326.0,10069.0,878.0,1268.0,292.0,349.0,24.0,1080.0,2425.0,3238.0,1190.0,8703.0,2306.0,6660.0,836.0,160.0,835.0,802.0,6337.0,3025.0,79.0,132.0,3807.0,471.0,1,2012
Alabama,4261611.0,151384.0,333.0,18.0,1672.0,1374.0,10038.0,918.0,1325.0,384.0,465.0,50.0,1010.0,2630.0,3236.0,1306.0,9461.0,1814.0,7475.0,887.0,208.0,828.0,935.0,6839.0,3115.0,96.0,145.0,4560.0,410.0,1,2013
Alabama,4282398.0,150809.0,353.0,45.0,1581.0,1459.0,9895.0,901.0,1529.0,435.0,446.0,34.0,896.0,2867.0,2889.0,1435.0,9765.0,1586.0,7689.0,699.0,213.0,988.0,1193.0,6950.0,3195.0,130.0,119.0,4549.0,471.0,1,2014
Alabama,4300026.0,150337.0,698.0,48.0,1459.0,1274.0,9073.0,670.0,1615.0,443.0,311.0,101.0,760.0,2713.0,2867.0,1599.0,9619.0,1649.0,8331.0,749.0,286.0,1163.0,1353.0,7131.0,3570.0,124.0,227.0,4786.0,336.0,1,2015
Alaska,533451.0,22735.0,177.0,0.0,376.0,419.0,3689.0,75.0,3688.0,531.0,142.0,6.0,120.0,0.0,192.0,146.0,1032.0,1499.0,3896.0,184.0,930.0,805.0,780.0,1031.0,12897.0,166.0,88.0,500.0,150.0,2,2009
Alaska,534077.0,22447.0,159.0,0.0,438.0,469.0,4050.0,105.0,4266.0,637.0,101.0,7.0,118.0,0.0,227.0,211.0,1311.0,1846.0,3853.0,271.0,1502.0,909.0,896.0,1103.0,14857.0,107.0,73.0,685.0,182.0,2,2010
Alaska,543072.0,22226.0,107.0,0.0,486.0,493.0,3779.0,103.0,4599.0,431.0,94.0,22.0,146.0,0.0,172.0,202.0,1420.0,1674.0,4157.0,271.0,2196.0,989.0,853.0,1071.0,13750.0,86.0,90.0,530.0,181.0,2,2011
Alaska,550553.0,22475.0,154.0,0.0,497.0,281.0,3790.0,111.0,4465.0,447.0,29.0,18.0,111.0,0.0,196.0,133.0,1392.0,1902.0,4023.0,184.0,2693.0,835.0,1290.0,1303.0,14705.0,172.0,77.0,651.0,162.0,2,2012
Alaska,557877.0,22425.0,120.0,0.0,444.0,279.0,3662.0,140.0,4426.0,426.0,32.0,3.0,100.0,123.0,290.0,272.0,1634.0,1752.0,3937.0,205.0,3107.0,1105.0,1469.0,1286.0,14177.0,133.0,90.0,388.0,241.0,2,2013
Alaska,564319.0,22548.0,210.0,4.0,395.0,211.0,3445.0,128.0,4794.0,508.0,126.0,3.0,72.0,143.0,292.0,105.0,1777.0,1912.0,4182.0,239.0,3631.0,1074.0,1408.0,867.0,14310.0,172.0,189.0,599.0,257.0,2,2014
Alaska,568544.0,23555.0,181.0,3.0,337.0,163.0,3185.0,145.0,4758.0,493.0,163.0,3.0,70.0,128.0,233.0,26.0,1641.0,1498.0,4061.0,193.0,3598.0,1120.0,1065.0,1141.0,15718.0,151.0,153.0,554.0,267.0,2,2015
Arizona,4200786.0,1261134.0,349.0,358.0,7982.0,3032.0,22953.0,2628.0,7888.0,6896.0,9711.0,1472.0,5925.0,3313.0,7672.0,1857.0,22529.0,6584.0,9467.0,1446.0,36.0,2157.0,1977.0,16634.0,16083.0,87943.0,1904.0,12464.0,1385.0,4,2009
