Name,English only,Spanish,French,Yaddish,French Creole,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Alabama,4194045.0,137617.0,7736.0,29.0,568.0,1638.0,1293.0,10017.0,967.0,1327.0,341.0,479.0,14.0,1303.0,1206.0,3471.0,958.0,8244.0,3170.0,5860.0,769.0,37.0,757.0,904.0,5716.0,2546.0,45.0,154.0,3889.0,510.0,01
Alaska,534077.0,22447.0,1969.0,0.0,159.0,438.0,469.0,4050.0,105.0,4266.0,637.0,101.0,7.0,118.0,0.0,227.0,211.0,1311.0,1846.0,3853.0,271.0,1502.0,909.0,896.0,1103.0,14857.0,107.0,73.0,685.0,182.0,02
Arizona,4215749.0,1199689.0,15815.0,414.0,509.0,8229.0,3189.0,22990.0,2770.0,7408.0,6324.0,9215.0,1922.0,5332.0,3148.0,8130.0,1941.0,24895.0,6526.0,9656.0,1813.0,39.0,2291.0,1589.0,17750.0,18244.0,86293.0,1808.0,14039.0,1692.0,04
Arkansas,2498432.0,131717.0,4645.0,22.0,97.0,1202.0,734.0,5401.0,133.0,477.0,307.0,287.0,13.0,312.0,360.0,1042.0,697.0,2969.0,979.0,1874.0,0.0,2391.0,270.0,3234.0,4322.0,2454.0,20.0,185.0,1769.0,269.0,05
California,19429309.0,9706949.0,125515.0,4883.0,5974.0,64934.0,76320.0,114575.0,23809.0,141884.0,21941.0,22156.0,175917.0,178552.0,42086.0,130387.0,40888.0,990241.0,147373.0,366414.0,74759.0,70088.0,46477.0,36970.0,484766.0,743408.0,1520.0,14122.0,131702.0,38607.0,06
Colorado,3783688.0,542257.0,16751.0,123.0,466.0,5565.0,2828.0,27415.0,1964.0,13975.0,4810.0,2965.0,612.0,3264.0,737.0,4225.0,1691.0,18228.0,6177.0,15811.0,1700.0,3302.0,2421.0,1818.0,18807.0,7261.0,2672.0,1215.0,7825.0,1674.0,08
Connecticut,2652446.0,339414.0,38128.0,671.0,12307.0,37918.0,38371.0,11907.0,9552.0,11851.0,37286.0,5090.0,811.0,1560.0,5293.0,9815.0,6447.0,23818.0,3333.0,6339.0,1979.0,161.0,1371.0,2656.0,7750.0,8113.0,58.0,2809.0,5735.0,2379.0,09
Delaware,724189.0,54227.0,3681.0,88.0,1869.0,2653.0,513.0,3356.0,1257.0,793.0,1229.0,156.0,27.0,424.0,1976.0,1786.0,1410.0,5365.0,709.0,1178.0,63.0,0.0,280.0,103.0,1229.0,2554.0,0.0,256.0,1722.0,146.0,10
District of Columbia,471292.0,40324.0,8073.0,90.0,811.0,1280.0,1140.0,2425.0,411.0,1170.0,588.0,482.0,76.0,660.0,266.0,1104.0,225.0,3308.0,751.0,1168.0,48.0,0.0,296.0,13.0,988.0,1169.0,0.0,169.0,1288.0,419.0,11
Florida,12786704.0,3408312.0,111395.0,7153.0,320427.0,53693.0,87403.0,72261.0,21803.0,32148.0,23934.0,16517.0,2490.0,8769.0,16483.0,20157.0,14492.0,50312.0,11789.0,20336.0,4827.0,1450.0,10277.0,4602.0,53249.0,55071.0,75.0,10627.0,37285.0,19687.0,12
Georgia,7666663.0,652397.0,39361.0,371.0,15087.0,5724.0,13697.0,25291.0,2484.0,12438.0,3518.0,8121.0,519.0,8195.0,15909.0,19932.0,9964.0,36743.0,8350.0,44834.0,3712.0,2911.0,2711.0,5029.0,39498.0,11019.0,195.0,886.0,11578.0,3122.0,13
Hawaii,929303.0,25285.0,4691.0,39.0,532.0,871.0,1507.0,4423.0,323.0,694.0,493.0,226.0,77.0,280.0,42.0,252.0,95.0,30656.0,48016.0,18405.0,287.0,40.0,2132.0,1960.0,9053.0,55544.0,52.0,119.0,432.0,287.0,15
Idaho,1263694.0,106792.0,3338.0,10.0,174.0,781.0,1430.0,5045.0,359.0,2160.0,217.0,1915.0,33.0,279.0,124.0,360.0,52.0,2239.0,1956.0,1390.0,160.0,0.0,936.0,480.0,1018.0,1378.0,176.0,230.0,457.0,103.0,16
Illinois,9315206.0,1517245.0,34665.0,1975.0,4745.0,40962.0,6650.0,49662.0,36371.0,40795.0,190192.0,28639.0,2425.0,6237.0,37809.0,34618.0,41738.0,83993.0,12952.0,48316.0,3060.0,430.0,6209.0,5460.0,19783.0,77002.0,95.0,3405.0,45793.0,5770.0,17
Indiana,5514295.0,264317.0,13834.0,156.0,854.0,3909.0,1841.0,35711.0,4407.0,5539.0,5144.0,7498.0,202.0,1121.0,3158.0,6017.0,2225.0,18884.0,5282.0,6637.0,907.0,134.0,1260.0,989.0,5736.0,6567.0,38.0,1078.0,6882.0,1014.0,18
Iowa,2625703.0,106888.0,5311.0,122.0,122.0,1067.0,708.0,12803.0,394.0,1922.0,812.0,7668.0,45.0,493.0,368.0,1758.0,629.0,7289.0,1358.0,2771.0,414.0,108.0,1404.0,3702.0,8258.0,2095.0,37.0,128.0,3236.0,279.0,19
Kansas,2335053.0,182110.0,5347.0,164.0,402.0,1425.0,1150.0,13835.0,397.0,2312.0,397.0,815.0,88.0,1152.0,1039.0,2609.0,1108.0,9776.0,1631.0,3874.0,656.0,1639.0,952.0,4401.0,11112.0,3083.0,171.0,142.0,3247.0,358.0,20
Kentucky,3822840.0,96868.0,7852.0,58.0,479.0,1220.0,1014.0,12991.0,959.0,2212.0,833.0,5402.0,111.0,989.0,994.0,2368.0,1196.0,6586.0,4874.0,2865.0,548.0,61.0,493.0,557.0,4566.0,3474.0,0.0,131.0,4130.0,235.0,21
Louisiana,3764360.0,136282.0,136406.0,39.0,6118.0,2684.0,2476.0,5448.0,759.0,1955.0,700.0,738.0,25.0,752.0,843.0,1627.0,2060.0,8319.0,1882.0,2399.0,378.0,0.0,688.0,1893.0,24370.0,3437.0,71.0,356.0,6254.0,68.0,22
Maine,1167970.0,13017.0,49259.0,12.0,95.0,1016.0,662.0,3732.0,774.0,1884.0,687.0,545.0,112.0,233.0,148.0,609.0,165.0,2354.0,599.0,968.0,1032.0,0.0,265.0,122.0,1640.0,1004.0,32.0,48.0,1005.0,206.0,23
Maryland,4483607.0,344255.0,48901.0,1399.0,10241.0,11711.0,9811.0,21126.0,10142.0,19264.0,5360.0,1512.0,1451.0,11983.0,9524.0,16506.0,12665.0,57039.0,7013.0,39869.0,2456.0,0.0,4035.0,909.0,19355.0,27619.0,27.0,1925.0,12629.0,6365.0,24
Massachusetts,4823127.0,457990.0,70607.0,948.0,53724.0,43184.0,180975.0,17292.0,24700.0,36252.0,21812.0,3863.0,6762.0,6051.0,7937.0,15748.0,5378.0,98735.0,9206.0,15175.0,23023.0,318.0,3228.0,2745.0,35306.0,8810.0,54.0,1896.0,23620.0,6842.0,25
Michigan,8507947.0,274586.0,27451.0,1002.0,1072.0,20227.0,3440.0,42366.0,8711.0,11606.0,26966.0,13150.0,3049.0,2907.0,8809.0,14408.0,11244.0,37528.0,14061.0,15460.0,1576.0,5312.0,1548.0,2893.0,15009.0,14516.0,75.0,2985.0,96596.0,2388.0,26
Minnesota,4386970.0,183397.0,14502.0,255.0,528.0,2473.0,2381.0,25342.0,1175.0,13447.0,3519.0,3458.0,145.0,1607.0,1454.0,6700.0,2469.0,17695.0,3798.0,5443.0,6981.0,53058.0,1992.0,9736.0,19307.0,5260.0,29.0,592.0,8806.0,1546.0,27
