Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Alabama,4241429.0,149070.0,338.0,20.0,1790.0,1326.0,10069.0,878.0,1268.0,292.0,349.0,24.0,1080.0,2425.0,3238.0,1190.0,8703.0,2306.0,6660.0,836.0,160.0,835.0,802.0,6337.0,3025.0,79.0,132.0,3807.0,471.0,01
Alaska,550553.0,22475.0,154.0,0.0,497.0,281.0,3790.0,111.0,4465.0,447.0,29.0,18.0,111.0,0.0,196.0,133.0,1392.0,1902.0,4023.0,184.0,2693.0,835.0,1290.0,1303.0,14705.0,172.0,77.0,651.0,162.0,02
Arizona,4352680.0,1224570.0,635.0,426.0,8242.0,4191.0,22839.0,3105.0,6446.0,5789.0,8517.0,1555.0,6234.0,4238.0,7802.0,2287.0,27297.0,5870.0,11182.0,2024.0,170.0,2341.0,1483.0,19289.0,19732.0,84865.0,1710.0,15158.0,2361.0,04
Arkansas,2527232.0,141370.0,74.0,0.0,1089.0,1028.0,6042.0,167.0,505.0,320.0,240.0,32.0,290.0,595.0,1417.0,605.0,3238.0,978.0,1611.0,149.0,1854.0,439.0,3603.0,4732.0,2575.0,17.0,199.0,2393.0,34.0,05
California,19651209.0,9961284.0,5901.0,3862.0,63833.0,77598.0,114127.0,23405.0,148697.0,20177.0,23159.0,188449.0,190110.0,44019.0,145762.0,44016.0,1036982.0,141329.0,375383.0,78353.0,74633.0,45345.0,36319.0,512456.0,765033.0,1376.0,13072.0,144973.0,40750.0,06
Colorado,3912773.0,557825.0,285.0,120.0,5409.0,3299.0,26689.0,2130.0,14832.0,5143.0,2799.0,575.0,3725.0,849.0,4327.0,1583.0,18153.0,5671.0,15185.0,2025.0,2374.0,2342.0,2288.0,18395.0,7811.0,2975.0,1307.0,8991.0,1867.0,08
Connecticut,2656382.0,360746.0,13811.0,430.0,37151.0,36815.0,12066.0,8794.0,10922.0,37454.0,4261.0,634.0,1558.0,5882.0,10895.0,6200.0,25220.0,3248.0,6033.0,2190.0,0.0,1776.0,3229.0,8193.0,8076.0,26.0,3038.0,8394.0,2634.0,09
Delaware,739923.0,56025.0,1985.0,70.0,2379.0,697.0,3361.0,1244.0,949.0,964.0,227.0,69.0,287.0,2020.0,1946.0,1654.0,5754.0,650.0,1515.0,43.0,0.0,247.0,82.0,1207.0,2474.0,2.0,154.0,1254.0,174.0,10
District of Columbia,486147.0,40664.0,613.0,74.0,1457.0,1205.0,2933.0,544.0,1717.0,481.0,485.0,53.0,564.0,273.0,1171.0,304.0,3697.0,650.0,1202.0,32.0,53.0,361.0,47.0,1095.0,1496.0,0.0,178.0,1451.0,559.0,11
Florida,12951107.0,3566368.0,349480.0,6298.0,50503.0,86856.0,71438.0,21407.0,35706.0,24555.0,16840.0,2307.0,9473.0,18206.0,19923.0,15752.0,55442.0,12169.0,18944.0,5173.0,1453.0,10868.0,4082.0,57300.0,59344.0,87.0,10686.0,42879.0,19458.0,12
Georgia,7844652.0,693520.0,16055.0,554.0,4988.0,12862.0,26136.0,2572.0,14457.0,3621.0,8658.0,641.0,8840.0,18580.0,20510.0,8486.0,41117.0,8264.0,47259.0,3871.0,3064.0,3278.0,4945.0,40542.0,11903.0,257.0,954.0,14116.0,2824.0,13
Hawaii,947196.0,26779.0,396.0,36.0,668.0,1785.0,4716.0,236.0,1167.0,311.0,243.0,89.0,466.0,55.0,467.0,81.0,32054.0,45621.0,18079.0,242.0,29.0,1858.0,2357.0,8201.0,58197.0,13.0,123.0,534.0,360.0,15
Idaho,1298241.0,111878.0,49.0,11.0,719.0,1414.0,4789.0,334.0,2395.0,264.0,2167.0,34.0,344.0,59.0,362.0,17.0,2897.0,1884.0,1209.0,185.0,29.0,509.0,711.0,1006.0,1701.0,153.0,114.0,750.0,5.0,16
Illinois,9329971.0,1561322.0,5261.0,1869.0,40018.0,6895.0,47381.0,33322.0,41695.0,185433.0,30037.0,2436.0,6576.0,41457.0,38555.0,42177.0,91276.0,12362.0,49052.0,3034.0,269.0,6781.0,4316.0,21001.0,77739.0,72.0,3062.0,51497.0,6325.0,17
Indiana,5566819.0,271917.0,1138.0,219.0,3368.0,1792.0,36229.0,4258.0,4819.0,4983.0,7131.0,142.0,1290.0,3565.0,6407.0,3101.0,21535.0,5081.0,7675.0,1136.0,83.0,1388.0,620.0,5720.0,6145.0,135.0,934.0,8492.0,1233.0,18
Iowa,2645884.0,111984.0,38.0,177.0,1095.0,695.0,12652.0,468.0,2174.0,569.0,7713.0,93.0,400.0,557.0,2781.0,520.0,8670.0,1158.0,2936.0,519.0,309.0,1243.0,3984.0,8456.0,2358.0,54.0,96.0,4210.0,305.0,19
Kansas,2359914.0,191117.0,518.0,68.0,1339.0,1380.0,13513.0,361.0,2708.0,509.0,639.0,96.0,1571.0,644.0,2677.0,900.0,9921.0,1723.0,3484.0,882.0,1456.0,717.0,3397.0,12450.0,3685.0,490.0,123.0,4270.0,298.0,20
