Name,English only,Spanish,French,Yaddish,French Creole,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Alabama,4137110.0,113179.0,7678.0,23.0,438.0,1796.0,1294.0,10230.0,1003.0,1467.0,453.0,416.0,18.0,994.0,1248.0,3193.0,895.0,7766.0,2967.0,5450.0,804.0,37.0,876.0,921.0,5256.0,2141.0,39.0,154.0,4090.0,325.0,1,2009
Alabama,4194045.0,137617.0,7736.0,29.0,568.0,1638.0,1293.0,10017.0,967.0,1327.0,341.0,479.0,14.0,1303.0,1206.0,3471.0,958.0,8244.0,3170.0,5860.0,769.0,37.0,757.0,904.0,5716.0,2546.0,45.0,154.0,3889.0,510.0,1,2010
Alabama,4219401.0,144390.0,7510.0,9.0,293.0,1821.0,1294.0,10335.0,841.0,1305.0,290.0,372.0,14.0,1161.0,1580.0,3169.0,1047.0,8406.0,2676.0,6232.0,727.0,99.0,962.0,726.0,6258.0,2947.0,30.0,135.0,3656.0,593.0,1,2011
Alabama,4241429.0,149070.0,7259.0,20.0,338.0,1790.0,1326.0,10069.0,878.0,1268.0,292.0,349.0,24.0,1080.0,2425.0,3238.0,1190.0,8703.0,2306.0,6660.0,836.0,160.0,835.0,802.0,6337.0,3025.0,79.0,132.0,3807.0,471.0,1,2012
Alabama,4261611.0,151384.0,7379.0,18.0,333.0,1672.0,1374.0,10038.0,918.0,1325.0,384.0,465.0,50.0,1010.0,2630.0,3236.0,1306.0,9461.0,1814.0,7475.0,887.0,208.0,828.0,935.0,6839.0,3115.0,96.0,145.0,4560.0,410.0,1,2013
Alabama,4282398.0,150809.0,7701.0,45.0,353.0,1581.0,1459.0,9895.0,901.0,1529.0,435.0,446.0,34.0,896.0,2867.0,2889.0,1435.0,9765.0,1586.0,7689.0,699.0,213.0,988.0,1193.0,6950.0,3195.0,130.0,119.0,4549.0,471.0,1,2014
Alabama,4300026.0,150337.0,7080.0,48.0,698.0,1459.0,1274.0,9073.0,670.0,1615.0,443.0,311.0,101.0,760.0,2713.0,2867.0,1599.0,9619.0,1649.0,8331.0,749.0,286.0,1163.0,1353.0,7131.0,3570.0,124.0,227.0,4786.0,336.0,1,2015
Arkansas,2472084.0,122443.0,4802.0,33.0,56.0,1091.0,697.0,5997.0,241.0,629.0,270.0,474.0,17.0,337.0,558.0,762.0,722.0,2913.0,962.0,2039.0,0.0,1739.0,286.0,3101.0,4278.0,2131.0,17.0,206.0,2053.0,240.0,5,2009
Arkansas,2498432.0,131717.0,4645.0,22.0,97.0,1202.0,734.0,5401.0,133.0,477.0,307.0,287.0,13.0,312.0,360.0,1042.0,697.0,2969.0,979.0,1874.0,0.0,2391.0,270.0,3234.0,4322.0,2454.0,20.0,185.0,1769.0,269.0,5,2010
Arkansas,2512154.0,138017.0,4387.0,0.0,74.0,1189.0,937.0,5769.0,138.0,435.0,299.0,301.0,41.0,319.0,429.0,1142.0,716.0,3611.0,999.0,1872.0,25.0,1974.0,461.0,3628.0,4638.0,2505.0,18.0,225.0,1729.0,47.0,5,2011
Arkansas,2527232.0,141370.0,4175.0,0.0,74.0,1089.0,1028.0,6042.0,167.0,505.0,320.0,240.0,32.0,290.0,595.0,1417.0,605.0,3238.0,978.0,1611.0,149.0,1854.0,439.0,3603.0,4732.0,2575.0,17.0,199.0,2393.0,34.0,5,2012
Arkansas,2540974.0,143540.0,4326.0,0.0,93.0,963.0,1050.0,5488.0,144.0,515.0,315.0,211.0,100.0,519.0,917.0,1413.0,628.0,4125.0,942.0,1591.0,273.0,1584.0,438.0,3429.0,4589.0,2901.0,20.0,94.0,2704.0,25.0,5,2013
Arkansas,2556997.0,142081.0,3907.0,17.0,115.0,903.0,1166.0,5442.0,141.0,607.0,365.0,195.0,78.0,511.0,1104.0,1421.0,882.0,4708.0,941.0,1367.0,290.0,1280.0,463.0,3286.0,4749.0,2919.0,20.0,56.0,2440.0,10.0,5,2014
Arkansas,2566546.0,144270.0,3448.0,23.0,119.0,786.0,809.0,5268.0,188.0,734.0,519.0,288.0,76.0,523.0,1112.0,1423.0,1217.0,5332.0,990.0,1514.0,354.0,1436.0,672.0,2698.0,5206.0,2678.0,20.0,51.0,2471.0,12.0,5,2015
Louisiana,3759163.0,119593.0,137763.0,27.0,6589.0,3061.0,2187.0,5955.0,1037.0,1589.0,751.0,507.0,82.0,624.0,871.0,1349.0,1820.0,7404.0,1637.0,2734.0,286.0,0.0,782.0,1381.0,23056.0,2730.0,32.0,305.0,6982.0,92.0,22,2009
Louisiana,3764360.0,136282.0,136406.0,39.0,6118.0,2684.0,2476.0,5448.0,759.0,1955.0,700.0,738.0,25.0,752.0,843.0,1627.0,2060.0,8319.0,1882.0,2399.0,378.0,0.0,688.0,1893.0,24370.0,3437.0,71.0,356.0,6254.0,68.0,22,2010
Louisiana,3809055.0,144062.0,131157.0,47.0,6041.0,2344.0,2469.0,5457.0,506.0,2113.0,742.0,621.0,13.0,866.0,889.0,1744.0,2237.0,8792.0,2017.0,2276.0,242.0,76.0,627.0,1944.0,25512.0,4040.0,48.0,342.0,5908.0,162.0,22,2011
Louisiana,3850712.0,145951.0,125771.0,60.0,6132.0,2495.0,2958.0,5553.0,513.0,1897.0,850.0,830.0,51.0,1069.0,838.0,1568.0,2053.0,9100.0,2125.0,2769.0,396.0,71.0,588.0,1725.0,26526.0,4284.0,53.0,291.0,6043.0,273.0,22,2012
Louisiana,3887593.0,150424.0,119931.0,52.0,6706.0,2450.0,3117.0,5412.0,540.0,1779.0,844.0,990.0,63.0,1454.0,1079.0,1860.0,2223.0,9471.0,2079.0,3112.0,334.0,67.0,506.0,2002.0,26185.0,4580.0,45.0,303.0,6739.0,364.0,22,2013
Louisiana,3920006.0,155056.0,115272.0,54.0,7238.0,2072.0,2824.0,5320.0,788.0,1602.0,721.0,1024.0,130.0,1490.0,1251.0,1705.0,2053.0,9543.0,2175.0,2830.0,377.0,75.0,649.0,1896.0,27066.0,4706.0,55.0,353.0,7175.0,438.0,22,2014
Louisiana,3949236.0,155887.0,107616.0,47.0,7209.0,2087.0,2878.0,5188.0,932.0,1212.0,753.0,930.0,104.0,1559.0,921.0,2115.0,2082.0,10111.0,1899.0,2855.0,406.0,128.0,841.0,1444.0,29629.0,4375.0,39.0,183.0,8141.0,485.0,22,2015
Mississippi,2608866.0,56121.0,5506.0,0.0,198.0,965.0,275.0,3253.0,346.0,627.0,209.0,166.0,0.0,271.0,893.0,1148.0,709.0,3774.0,1438.0,1386.0,105.0,0.0,270.0,128.0,4928.0,2387.0,0.0,91.0,2150.0,58.0,28,2009
Mississippi,2629581.0,62571.0,5550.0,24.0,343.0,1033.0,266.0,3116.0,321.0,600.0,204.0,107.0,26.0,201.0,988.0,1143.0,667.0,3749.0,754.0,1392.0,143.0,4.0,278.0,205.0,5313.0,2299.0,0.0,77.0,2407.0,51.0,28,2010
Mississippi,2639754.0,65419.0,5230.0,50.0,309.0,1250.0,380.0,2898.0,177.0,565.0,196.0,73.0,30.0,216.0,1126.0,1179.0,500.0,4070.0,548.0,1273.0,102.0,1.0,246.0,171.0,6332.0,2309.0,0.0,89.0,2055.0,54.0,28,2011
Mississippi,2652230.0,65494.0,4792.0,40.0,325.0,1110.0,335.0,3086.0,184.0,526.0,140.0,102.0,27.0,133.0,1303.0,1292.0,485.0,4311.0,709.0,1317.0,82.0,4.0,264.0,124.0,5949.0,2544.0,0.0,65.0,1975.0,49.0,28,2012
