Name,English only,Spanish,French,Yaddish,French Creole,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Illinois,9360559.0,1476535.0,35996.0,2350.0,4792.0,43136.0,5812.0,52520.0,38335.0,40826.0,194583.0,32256.0,2653.0,6274.0,33595.0,32344.0,40154.0,79010.0,12759.0,47028.0,2832.0,500.0,5788.0,4630.0,19372.0,73509.0,99.0,3539.0,43625.0,5898.0,17,2009
Illinois,9315206.0,1517245.0,34665.0,1975.0,4745.0,40962.0,6650.0,49662.0,36371.0,40795.0,190192.0,28639.0,2425.0,6237.0,37809.0,34618.0,41738.0,83993.0,12952.0,48316.0,3060.0,430.0,6209.0,5460.0,19783.0,77002.0,95.0,3405.0,45793.0,5770.0,17,2010
Illinois,9324625.0,1545592.0,34943.0,1830.0,4820.0,41374.0,6565.0,47876.0,34835.0,41086.0,186227.0,28187.0,2469.0,7243.0,39058.0,36971.0,40448.0,87227.0,12602.0,49951.0,3272.0,352.0,6868.0,5301.0,20998.0,77727.0,107.0,3031.0,49893.0,6579.0,17,2011
Illinois,9329971.0,1561322.0,35159.0,1869.0,5261.0,40018.0,6895.0,47381.0,33322.0,41695.0,185433.0,30037.0,2436.0,6576.0,41457.0,38555.0,42177.0,91276.0,12362.0,49052.0,3034.0,269.0,6781.0,4316.0,21001.0,77739.0,72.0,3062.0,51497.0,6325.0,17,2012
Illinois,9342837.0,1570809.0,35613.0,1372.0,4727.0,40223.0,6699.0,45782.0,33302.0,41404.0,185121.0,31264.0,2794.0,6628.0,41596.0,37982.0,42613.0,94966.0,12611.0,49323.0,3650.0,415.0,7266.0,3931.0,20907.0,80655.0,53.0,2928.0,56524.0,6666.0,17,2013
Illinois,9347280.0,1586555.0,34492.0,1593.0,4500.0,38248.0,6838.0,44282.0,32100.0,41308.0,185087.0,30877.0,2475.0,6649.0,42759.0,40978.0,43617.0,96996.0,12494.0,47835.0,3333.0,464.0,6871.0,4202.0,20452.0,84242.0,53.0,2695.0,59626.0,6420.0,17,2014
Illinois,9332252.0,1600975.0,35043.0,1242.0,4442.0,36751.0,6706.0,42272.0,31451.0,41561.0,182179.0,31872.0,2202.0,6839.0,43284.0,42361.0,45658.0,101460.0,12785.0,47422.0,3462.0,504.0,6916.0,4228.0,20683.0,84223.0,16.0,3016.0,61541.0,6099.0,17,2015
Indiana,5464666.0,245303.0,14688.0,77.0,624.0,3691.0,1764.0,35090.0,4292.0,5799.0,4942.0,6822.0,193.0,953.0,2515.0,4610.0,2135.0,16233.0,5647.0,6469.0,1071.0,38.0,1203.0,1255.0,5962.0,5865.0,73.0,1238.0,5922.0,971.0,18,2009
Indiana,5514295.0,264317.0,13834.0,156.0,854.0,3909.0,1841.0,35711.0,4407.0,5539.0,5144.0,7498.0,202.0,1121.0,3158.0,6017.0,2225.0,18884.0,5282.0,6637.0,907.0,134.0,1260.0,989.0,5736.0,6567.0,38.0,1078.0,6882.0,1014.0,18,2010
Indiana,5544084.0,267472.0,13167.0,180.0,1250.0,3473.0,2020.0,36229.0,3951.0,5276.0,5309.0,7233.0,172.0,1346.0,3702.0,5752.0,2498.0,18965.0,5284.0,7132.0,1145.0,85.0,1251.0,956.0,5694.0,6715.0,114.0,899.0,7719.0,1111.0,18,2011
Indiana,5566819.0,271917.0,13150.0,219.0,1138.0,3368.0,1792.0,36229.0,4258.0,4819.0,4983.0,7131.0,142.0,1290.0,3565.0,6407.0,3101.0,21535.0,5081.0,7675.0,1136.0,83.0,1388.0,620.0,5720.0,6145.0,135.0,934.0,8492.0,1233.0,18,2012
Indiana,5588460.0,277381.0,13911.0,185.0,1438.0,3574.0,1878.0,35409.0,4391.0,4835.0,4965.0,7265.0,122.0,1480.0,4007.0,7225.0,3573.0,23119.0,5857.0,7588.0,1060.0,237.0,975.0,670.0,4951.0,5667.0,133.0,995.0,9017.0,1231.0,18,2013
Indiana,5614514.0,280273.0,12936.0,127.0,1656.0,3751.0,1751.0,34368.0,3764.0,4209.0,4627.0,6041.0,138.0,1503.0,3911.0,7473.0,3599.0,24702.0,6052.0,7384.0,1229.0,257.0,1008.0,679.0,5506.0,6530.0,73.0,885.0,9623.0,1113.0,18,2014
Indiana,5636420.0,282611.0,11873.0,55.0,1492.0,3359.0,2368.0,33698.0,4031.0,3817.0,4427.0,5733.0,142.0,1396.0,3729.0,7077.0,4245.0,26029.0,5658.0,7389.0,1296.0,344.0,918.0,642.0,6323.0,7225.0,92.0,911.0,9986.0,1184.0,18,2015
Iowa,2603189.0,98953.0,4821.0,60.0,136.0,1072.0,892.0,13073.0,497.0,1951.0,910.0,7441.0,41.0,486.0,342.0,1678.0,557.0,6455.0,1445.0,2486.0,334.0,189.0,1255.0,3437.0,7452.0,2181.0,28.0,104.0,2433.0,180.0,19,2009
Iowa,2625703.0,106888.0,5311.0,122.0,122.0,1067.0,708.0,12803.0,394.0,1922.0,812.0,7668.0,45.0,493.0,368.0,1758.0,629.0,7289.0,1358.0,2771.0,414.0,108.0,1404.0,3702.0,8258.0,2095.0,37.0,128.0,3236.0,279.0,19,2010
Iowa,2635601.0,109822.0,5158.0,103.0,107.0,1087.0,641.0,12434.0,463.0,1944.0,690.0,7761.0,75.0,371.0,575.0,2539.0,644.0,7767.0,1127.0,3289.0,430.0,223.0,1373.0,3594.0,8242.0,2333.0,39.0,130.0,3359.0,200.0,19,2011
