Name,English only,Spanish,French,Yaddish,French Creole,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Colorado,3743328.0,532705.0,16910.0,138.0,638.0,5695.0,2797.0,28699.0,2610.0,14189.0,4439.0,2994.0,570.0,3430.0,602.0,4134.0,1300.0,16346.0,6051.0,14592.0,1663.0,3389.0,2392.0,1812.0,16614.0,7056.0,2509.0,1246.0,7609.0,1961.0,8,2009
Colorado,3783688.0,542257.0,16751.0,123.0,466.0,5565.0,2828.0,27415.0,1964.0,13975.0,4810.0,2965.0,612.0,3264.0,737.0,4225.0,1691.0,18228.0,6177.0,15811.0,1700.0,3302.0,2421.0,1818.0,18807.0,7261.0,2672.0,1215.0,7825.0,1674.0,8,2010
Colorado,3852555.0,546341.0,16652.0,140.0,371.0,5294.0,3024.0,27070.0,2098.0,14779.0,5253.0,3031.0,628.0,3660.0,730.0,4112.0,1360.0,16983.0,5455.0,15966.0,1894.0,2672.0,2576.0,1908.0,18707.0,7860.0,2624.0,1221.0,7813.0,1851.0,8,2011
Colorado,3912773.0,557825.0,15774.0,120.0,285.0,5409.0,3299.0,26689.0,2130.0,14832.0,5143.0,2799.0,575.0,3725.0,849.0,4327.0,1583.0,18153.0,5671.0,15185.0,2025.0,2374.0,2342.0,2288.0,18395.0,7811.0,2975.0,1307.0,8991.0,1867.0,8,2012
Colorado,3976875.0,565058.0,16213.0,135.0,382.0,5767.0,3370.0,25675.0,1910.0,15124.0,5365.0,2531.0,583.0,4090.0,762.0,4171.0,1613.0,19020.0,6071.0,15629.0,2210.0,3008.0,1950.0,2175.0,20099.0,7293.0,2937.0,1322.0,9692.0,1650.0,8,2013
Colorado,4039626.0,576094.0,16509.0,167.0,631.0,5311.0,3218.0,25211.0,1898.0,15424.0,5065.0,2683.0,653.0,4196.0,899.0,4834.0,1471.0,20937.0,6176.0,16348.0,2155.0,3162.0,1938.0,1875.0,19738.0,7223.0,3068.0,1358.0,10210.0,2022.0,8,2014
Colorado,4106326.0,584233.0,16172.0,165.0,723.0,5489.0,3595.0,25102.0,2053.0,16198.0,4717.0,2826.0,526.0,4720.0,1020.0,5433.0,1454.0,22831.0,6471.0,16134.0,1602.0,3167.0,2323.0,1892.0,19112.0,7195.0,2449.0,1330.0,10219.0,1763.0,8,2015
Idaho,1235789.0,102251.0,3196.0,13.0,160.0,842.0,1439.0,4707.0,374.0,1815.0,289.0,1748.0,30.0,319.0,30.0,521.0,85.0,2011.0,1880.0,1222.0,135.0,0.0,782.0,664.0,1141.0,1477.0,295.0,205.0,816.0,103.0,16,2009
Idaho,1263694.0,106792.0,3338.0,10.0,174.0,781.0,1430.0,5045.0,359.0,2160.0,217.0,1915.0,33.0,279.0,124.0,360.0,52.0,2239.0,1956.0,1390.0,160.0,0.0,936.0,480.0,1018.0,1378.0,176.0,230.0,457.0,103.0,16,2010
Idaho,1283480.0,108674.0,3535.0,11.0,168.0,846.0,1336.0,4744.0,315.0,2085.0,297.0,2063.0,33.0,429.0,60.0,416.0,11.0,2648.0,1809.0,1413.0,156.0,44.0,649.0,487.0,877.0,1604.0,226.0,253.0,619.0,79.0,16,2011
